GEOID,pop,pop_moe,income,income_moe,units,units_moe,occupied,occupied_moe,pop65,pop65_moe,acs_year
060290001021,1835,455,72739.0,15988.0,795,173,765,176,196,103.18430113151904,2024
060290001022,1082,292,50517.0,24994.0,552,138,422,114,201,114.41153787970862,2024
060290001031,1906,868,36367.0,12326.0,702,185,673,194,177,108.01851693112621,2024
060290001032,497,366,51603.0,24814.0,164,86,164,86,65,71.02816342831905,2024
060290001033,2241,1365,,,808,437,743,437,123,98.42255838983256,2024
060290001041,1321,321,58750.0,9389.0,565,27,500,88,238,101.56771140475698,2024
060290001051,2296,495,74177.0,16786.0,1100,213,1049,188,372,140.47775624631822,2024
060290001052,2557,665,119375.0,46894.0,835,201,835,201,57,62.49799996799898,2024
060290001061,2382,350,77417.0,6972.0,883,84,866,86,122,87.20665112249179,2024
060290002011,746,416,11088.0,8025.0,364,156,326,160,123,101.99509792141973,2024
060290002012,1602,523,48764.0,10989.0,580,184,580,184,155,125.19185277005849,2024
060290002013,1175,312,33906.0,24559.0,377,118,377,118,132,96.44687656943589,2024
060290002014,487,236,31813.0,9652.0,223,145,223,145,25,54.22176684690383,2024
060290002021,1256,659,82529.0,37707.0,376,137,376,137,142,79.38513714795737,2024
060290002022,1752,710,46803.0,7492.0,484,174,484,174,107,66.92533152700851,2024
060290002023,1259,472,61316.0,21711.0,481,132,370,117,107,71.37926869897169,2024
060290003001,1195,521,50585.0,17011.0,523,193,410,168,380,281.06404963993526,2024
060290003002,1020,336,46985.0,12445.0,613,199,557,197,158,77.03246069028303,2024
060290003003,1325,405,27031.0,18999.0,520,126,520,126,256,111.8704608017684,2024
060290003004,726,453,97404.0,71188.0,285,205,285,205,58,60.249481325568276,2024
060290004001,1676,577,30601.0,4801.0,635,192,591,189,168,126.94880858046679,2024
060290004002,1483,705,44519.0,30351.0,543,152,473,154,174,138.02173741842262,2024
060290004003,1365,434,21611.0,6470.0,720,163,628,144,217,100.72239075796404,2024
060290005041,1562,356,83977.0,55964.0,546,111,505,95,317,98.43271813782245,2024
060290005042,1723,588,121563.0,111179.0,628,157,549,164,424,168.50519279832298,2024
060290005043,1414,345,40500.0,13315.0,651,137,632,137,186,97.48846085563153,2024
060290005051,2489,458,92301.0,30975.0,841,190,841,190,652,214.8394749574668,2024
