h3,canopy_pct,row_canopy_pct,canopy_m2,row_m2,assessed_m2,coverage_frac,canopy_source,canopy_year,canopy_quality
8929ac48043ffff,0.1345718318180326,0.0,156.0,1452.0,,,chm-legacy,2009-2020,coverage-unknown
8929ac48047ffff,2.4221339722340742,0.1199040767386091,2805.0,4798.0,,,chm-legacy,2009-2020,coverage-unknown
8929ac4804bffff,0.029541127814613,0.0,34.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
8929ac48053ffff,0.0,0.0,0.0,910.0,,,chm-legacy,2009-2020,coverage-unknown
8929ac48057ffff,0.0,0.0,0.0,5219.0,,,chm-legacy,2009-2020,coverage-unknown
8929ac4805bffff,0.0,0.0,0.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
8929ac480c3ffff,0.0,0.0,0.0,5967.0,,,chm-legacy,2009-2020,coverage-unknown
8929ac480cbffff,0.0,0.0,0.0,639.0,,,chm-legacy,2009-2020,coverage-unknown
8929ac480cfffff,0.0,0.0,0.0,5610.0,,,chm-legacy,2009-2020,coverage-unknown
8929ac480d3ffff,0.0,0.0,0.0,6261.0,,,chm-legacy,2009-2020,coverage-unknown
8929ac480dbffff,0.0065657726272939,0.0,8.0,121.0,,,chm-legacy,2009-2020,coverage-unknown
8929ac48203ffff,0.0,0.0,0.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
8929ac4820bffff,0.0,0.0,0.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
8929ac4820fffff,0.0,0.0,0.0,3928.0,,,chm-legacy,2009-2020,coverage-unknown
8929ac48213ffff,0.0,0.0,0.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
8929ac4821bffff,0.0,0.0,0.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
8929ac48223ffff,0.0,0.0,0.0,1037.0,,,chm-legacy,2009-2020,coverage-unknown
8929ac48227ffff,0.0,0.0,0.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
8929ac4822bffff,0.0,0.0,0.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
8929ac4822fffff,0.0,0.0,0.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
8929ac48233ffff,0.0,0.0,0.0,2840.0,,,chm-legacy,2009-2020,coverage-unknown
8929ac48237ffff,0.0,0.0,0.0,7223.0,,,chm-legacy,2009-2020,coverage-unknown
8929ac4823bffff,0.0,0.0,0.0,7068.0,,,chm-legacy,2009-2020,coverage-unknown
8929ac48243ffff,0.0,0.0,0.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
8929ac48247ffff,0.0,0.0,0.0,5115.0,,,chm-legacy,2009-2020,coverage-unknown
8929ac4824bffff,0.0,0.0,0.0,5558.0,,,chm-legacy,2009-2020,coverage-unknown
8929ac4824fffff,0.0,0.0,0.0,5720.0,,,chm-legacy,2009-2020,coverage-unknown
8929ac48253ffff,0.0,0.0,0.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
8929ac48257ffff,0.0,0.0,0.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
8929ac4825bffff,0.0492125984251968,0.0,57.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
8929ac48263ffff,0.0,0.0,0.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
8929ac48267ffff,0.0,0.0,0.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
8929ac4826bffff,0.0,0.0,0.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
8929ac4826fffff,0.0,0.0,0.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
8929ac48273ffff,0.0131233595800524,0.0,15.0,6480.0,,,chm-legacy,2009-2020,coverage-unknown
