h3,city,city_kind,city_geoid
8929ac48043ffff,Bakersfield,city,0603526
8929ac48047ffff,Bakersfield,city,0603526
8929ac4804bffff,Bakersfield,city,0603526
8929ac48053ffff,Bakersfield,city,0603526
8929ac48057ffff,Bakersfield,city,0603526
8929ac4805bffff,Bakersfield,city,0603526
8929ac480c3ffff,Bakersfield,city,0603526
8929ac480cbffff,Bakersfield,city,0603526
8929ac480cfffff,Bakersfield,city,0603526
8929ac480d3ffff,Bakersfield,city,0603526
8929ac480dbffff,Bakersfield,city,0603526
8929ac48203ffff,Bakersfield,city,0603526
8929ac4820bffff,Bakersfield,city,0603526
8929ac4820fffff,Bakersfield,city,0603526
8929ac48213ffff,Bakersfield,city,0603526
8929ac4821bffff,Bakersfield,city,0603526
8929ac48223ffff,Bakersfield,city,0603526
8929ac48227ffff,Bakersfield,city,0603526
8929ac4822bffff,Bakersfield,city,0603526
8929ac4822fffff,Bakersfield,city,0603526
8929ac48233ffff,Bakersfield,city,0603526
8929ac48237ffff,Bakersfield,city,0603526
8929ac4823bffff,Bakersfield,city,0603526
8929ac48243ffff,Bakersfield,city,0603526
8929ac48247ffff,Bakersfield,city,0603526
8929ac4824bffff,Bakersfield,city,0603526
8929ac4824fffff,Bakersfield,city,0603526
8929ac48253ffff,Bakersfield,city,0603526
8929ac48257ffff,Bakersfield,city,0603526
8929ac4825bffff,Bakersfield,city,0603526
8929ac48263ffff,Bakersfield,city,0603526
8929ac48267ffff,Bakersfield,city,0603526
8929ac4826bffff,Bakersfield,city,0603526
8929ac4826fffff,Bakersfield,city,0603526
8929ac48273ffff,Bakersfield,city,0603526
8929ac48277ffff,Bakersfield,city,0603526
8929ac4827bffff,Bakersfield,city,0603526
8929ac48283ffff,Bakersfield,city,0603526
8929ac4828bffff,Bakersfield,city,0603526
8929ac48293ffff,Bakersfield,city,0603526
8929ac48297ffff,Bakersfield,city,0603526
8929ac4829bffff,Bakersfield,city,0603526
8929ac482c3ffff,Bakersfield,city,0603526
8929ac482c7ffff,Bakersfield,city,0603526
8929ac482cbffff,Bakersfield,city,0603526
8929ac482cfffff,Bakersfield,city,0603526
8929ac482d3ffff,Bakersfield,city,0603526
8929ac482d7ffff,Bakersfield,city,0603526
8929ac482dbffff,Bakersfield,city,0603526
8929ac48343ffff,Bakersfield,city,0603526
8929ac48347ffff,Bakersfield,city,0603526
8929ac4834bffff,Bakersfield,city,0603526
8929ac4834fffff,Bakersfield,city,0603526
8929ac48353ffff,Bakersfield,city,0603526
8929ac48357ffff,Bakersfield,city,0603526
8929ac4835bffff,Bakersfield,city,0603526
8929ac48363ffff,Bakersfield,city,0603526
8929ac48367ffff,Bakersfield,city,0603526
8929ac4836bffff,Bakersfield,city,0603526
8929ac4836fffff,Bakersfield,city,0603526
8929ac4837bffff,Bakersfield,city,0603526
8929ac483c3ffff,Bakersfield,city,0603526
8929ac483cbffff,Bakersfield,city,0603526
8929ac483cfffff,Bakersfield,city,0603526
8929ac48603ffff,Bakersfield,city,0603526
8929ac48607ffff,Bakersfield,city,0603526
8929ac4860bffff,Bakersfield,city,0603526
8929ac4860fffff,Bakersfield,city,0603526
8929ac4861bffff,Bakersfield,city,0603526
8929ac48623ffff,Bakersfield,city,0603526
8929ac48627ffff,Bakersfield,city,0603526
8929ac4862bffff,Bakersfield,city,0603526
8929ac4862fffff,Bakersfield,city,0603526
8929ac48633ffff,Bakersfield,city,0603526
8929ac48637ffff,Bakersfield,city,0603526
8929ac4863bffff,Bakersfield,city,0603526
8929ac48663ffff,Bakersfield,city,0603526
8929ac48667ffff,Bakersfield,city,0603526
8929ac4866fffff,Bakersfield,city,0603526
8929ac48673ffff,Bakersfield,city,0603526
8929ac48677ffff,Bakersfield,city,0603526
8929ac486a7ffff,Bakersfield,city,0603526
8929ac486abffff,Bakersfield,city,0603526
8929ac486afffff,Bakersfield,city,0603526
8929ac48827ffff,Bakersfield,city,0603526
8929ac48867ffff,Bakersfield,city,0603526
8929ac4886fffff,Bakersfield,city,0603526
8929ac48923ffff,Bakersfield,city,0603526
8929ac48927ffff,Bakersfield,city,0603526
8929ac4892bffff,Bakersfield,city,0603526
8929ac4892fffff,Bakersfield,city,0603526
8929ac48933ffff,Bakersfield,city,0603526
8929ac48937ffff,Bakersfield,city,0603526
8929ac4893bffff,Bakersfield,city,0603526
8929ac48943ffff,Bakersfield,city,0603526
8929ac48947ffff,Bakersfield,city,0603526
8929ac4894bffff,Bakersfield,city,0603526
8929ac4894fffff,Bakersfield,city,0603526
8929ac48953ffff,Bakersfield,city,0603526
8929ac48957ffff,Bakersfield,city,0603526
8929ac4895bffff,Bakersfield,city,0603526
8929ac48963ffff,Bakersfield,city,0603526
8929ac48967ffff,Bakersfield,city,0603526
8929ac4896bffff,Bakersfield,city,0603526
8929ac4896fffff,Bakersfield,city,0603526
8929ac48973ffff,Bakersfield,city,0603526
8929ac48977ffff,Bakersfield,city,0603526
8929ac4897bffff,Bakersfield,city,0603526
8929ac489a3ffff,Bakersfield,city,0603526
8929ac489a7ffff,Bakersfield,city,0603526
8929ac489abffff,Bakersfield,city,0603526
8929ac489afffff,Bakersfield,city,0603526
8929ac489b7ffff,Bakersfield,city,0603526
8929ac489cbffff,Bakersfield,city,0603526
8929ac489cfffff,Bakersfield,city,0603526
8929ac48a37ffff,Bakersfield,city,0603526
8929ac48a6fffff,Bakersfield,city,0603526
8929ac48aa7ffff,Bakersfield,city,0603526
8929ac48aafffff,Bakersfield,city,0603526
8929ac48b03ffff,Bakersfield,city,0603526
8929ac48b07ffff,Bakersfield,city,0603526
8929ac48b0bffff,Bakersfield,city,0603526
8929ac48b0fffff,Bakersfield,city,0603526
8929ac48b13ffff,Bakersfield,city,0603526
8929ac48b17ffff,Bakersfield,city,0603526
8929ac48b1bffff,Bakersfield,city,0603526
8929ac48b23ffff,Bakersfield,city,0603526
8929ac48b27ffff,Bakersfield,city,0603526
8929ac48b2bffff,Bakersfield,city,0603526
8929ac48b2fffff,Bakersfield,city,0603526
8929ac48b33ffff,Bakersfield,city,0603526
8929ac48b37ffff,Bakersfield,city,0603526
8929ac48b3bffff,Bakersfield,city,0603526
8929ac48b47ffff,Bakersfield,city,0603526
8929ac48b4bffff,Bakersfield,city,0603526
8929ac48b4fffff,Bakersfield,city,0603526
8929ac48b57ffff,Bakersfield,city,0603526
8929ac48b63ffff,Bakersfield,city,0603526
8929ac48b67ffff,Bakersfield,city,0603526
8929ac48b6bffff,Bakersfield,city,0603526
8929ac48b6fffff,Bakersfield,city,0603526
8929ac48b73ffff,Bakersfield,city,0603526
8929ac48b77ffff,Bakersfield,city,0603526
8929ac48b7bffff,Bakersfield,city,0603526
8929ac48b83ffff,Bakersfield,city,0603526
8929ac48b87ffff,Bakersfield,city,0603526
8929ac48b8bffff,Bakersfield,city,0603526
8929ac48b8fffff,Bakersfield,city,0603526
8929ac48b97ffff,Bakersfield,city,0603526
8929ac48b9bffff,Bakersfield,city,0603526
8929ac48ba3ffff,Bakersfield,city,0603526
8929ac48ba7ffff,Bakersfield,city,0603526
8929ac48babffff,Bakersfield,city,0603526
8929ac48bafffff,Bakersfield,city,0603526
8929ac48bb3ffff,Bakersfield,city,0603526
8929ac48bb7ffff,Bakersfield,city,0603526
8929ac48bbbffff,Bakersfield,city,0603526
8929ac48bc3ffff,Bakersfield,city,0603526
8929ac48bc7ffff,Bakersfield,city,0603526
8929ac48bcbffff,Bakersfield,city,0603526
8929ac48bcfffff,Bakersfield,city,0603526
8929ac48bd3ffff,Bakersfield,city,0603526
8929ac48bd7ffff,Bakersfield,city,0603526
8929ac48bdbffff,Bakersfield,city,0603526
8929ac49183ffff,Bakersfield,city,0603526
8929ac49187ffff,Bakersfield,city,0603526
8929ac49193ffff,Bakersfield,city,0603526
8929ac49197ffff,Bakersfield,city,0603526
8929ac491a3ffff,Bakersfield,city,0603526
8929ac491b3ffff,Bakersfield,city,0603526
8929ac491b7ffff,Bakersfield,city,0603526
8929ac49507ffff,Bakersfield,city,0603526
8929ac49523ffff,Bakersfield,city,0603526
8929ac49527ffff,Bakersfield,city,0603526
8929ac4952bffff,Bakersfield,city,0603526
8929ac4952fffff,Bakersfield,city,0603526
8929ac49533ffff,Bakersfield,city,0603526
8929ac49537ffff,Bakersfield,city,0603526
8929ac4953bffff,Bakersfield,city,0603526
8929ac495a7ffff,Bakersfield,city,0603526
8929ac495abffff,Bakersfield,city,0603526
8929ac495afffff,Bakersfield,city,0603526
8929ac49803ffff,Bakersfield,city,0603526
8929ac49807ffff,Bakersfield,city,0603526
8929ac4980bffff,Bakersfield,city,0603526
8929ac4980fffff,Bakersfield,city,0603526
8929ac49813ffff,Bakersfield,city,0603526
8929ac49817ffff,Bakersfield,city,0603526
8929ac4981bffff,Bakersfield,city,0603526
8929ac49827ffff,Bakersfield,city,0603526
8929ac49833ffff,Bakersfield,city,0603526
8929ac49837ffff,Bakersfield,city,0603526
8929ac49883ffff,Bakersfield,city,0603526
8929ac49887ffff,Bakersfield,city,0603526
8929ac4988bffff,Bakersfield,city,0603526
8929ac4988fffff,Bakersfield,city,0603526
8929ac49893ffff,Bakersfield,city,0603526
8929ac49897ffff,Bakersfield,city,0603526
8929ac4989bffff,Bakersfield,city,0603526
8929ac498a3ffff,Bakersfield,city,0603526
8929ac498a7ffff,Bakersfield,city,0603526
8929ac498abffff,Bakersfield,city,0603526
8929ac498afffff,Bakersfield,city,0603526
8929ac498b3ffff,Bakersfield,city,0603526
8929ac498b7ffff,Bakersfield,city,0603526
8929ac498bbffff,Bakersfield,city,0603526
8929ac498c7ffff,Bakersfield,city,0603526
8929ac498d7ffff,Bakersfield,city,0603526
8929ac49923ffff,Bakersfield,city,0603526
8929ac49927ffff,Bakersfield,city,0603526
8929ac4992bffff,Bakersfield,city,0603526
8929ac4992fffff,Bakersfield,city,0603526
8929ac49933ffff,Bakersfield,city,0603526
8929ac49937ffff,Bakersfield,city,0603526
8929ac4993bffff,Bakersfield,city,0603526
8929ac4994bffff,Bakersfield,city,0603526
8929ac4994fffff,Bakersfield,city,0603526
8929ac4995bffff,Bakersfield,city,0603526
8929ac49963ffff,Bakersfield,city,0603526
8929ac49967ffff,Bakersfield,city,0603526
8929ac4996bffff,Bakersfield,city,0603526
8929ac4996fffff,Bakersfield,city,0603526
8929ac49973ffff,Bakersfield,city,0603526
8929ac49977ffff,Bakersfield,city,0603526
8929ac4997bffff,Bakersfield,city,0603526
8929ac499a7ffff,Bakersfield,city,0603526
8929ac499abffff,Bakersfield,city,0603526
8929ac499afffff,Bakersfield,city,0603526
8929ac499dbffff,Bakersfield,city,0603526
8929ac49b03ffff,Bakersfield,city,0603526
8929ac49b07ffff,Bakersfield,city,0603526
8929ac49b0bffff,Bakersfield,city,0603526
8929ac49b0fffff,Bakersfield,city,0603526
8929ac49b13ffff,Bakersfield,city,0603526
8929ac49b17ffff,Bakersfield,city,0603526
8929ac49b1bffff,Bakersfield,city,0603526
8929ac49b23ffff,Bakersfield,city,0603526
8929ac49b27ffff,Bakersfield,city,0603526
8929ac49b2bffff,Bakersfield,city,0603526
8929ac49b2fffff,Bakersfield,city,0603526
8929ac49b33ffff,Bakersfield,city,0603526
8929ac49b37ffff,Bakersfield,city,0603526
8929ac49b3bffff,Bakersfield,city,0603526
8929ac49b63ffff,Bakersfield,city,0603526
8929ac49b67ffff,Bakersfield,city,0603526
8929ac49b6fffff,Bakersfield,city,0603526
8929ac49b73ffff,Bakersfield,city,0603526
8929ac49b77ffff,Bakersfield,city,0603526
8929ac49b87ffff,Bakersfield,city,0603526
8929ac49b8bffff,Bakersfield,city,0603526
8929ac49b8fffff,Bakersfield,city,0603526
8929ac49ba3ffff,Bakersfield,city,0603526
8929ac49ba7ffff,Bakersfield,city,0603526
8929ac49babffff,Bakersfield,city,0603526
8929ac49bafffff,Bakersfield,city,0603526
8929ac49bb3ffff,Bakersfield,city,0603526
