h3,name,holc,access_min,access_km,street_m,access_src,access_snap_m,access_quality
8929ac48043ffff,Weedpatch SW 62,,127.2,10.18,80.0,routed,1256.0,approach-review
8929ac48047ffff,Weedpatch SW 67,,128.2,10.25,273.0,routed,1509.0,approach-review
8929ac4804bffff,Weedpatch SW 55,,123.4,9.87,0.0,routed,950.0,approach-review
8929ac48053ffff,Weedpatch SW 68,,135.2,10.82,59.0,routed,566.0,approach-review
8929ac48057ffff,Weedpatch SW 71,,132.9,10.63,296.0,routed,386.0,approach-review
8929ac4805bffff,Weedpatch SW 59,,123.5,9.88,0.0,routed,960.0,approach-review
8929ac480c3ffff,Weedpatch SW 77,,142.4,11.39,345.0,routed,165.0,approach-review
8929ac480cbffff,Weedpatch SW 72,,139.6,11.17,38.0,routed,842.0,approach-review
8929ac480cfffff,Weedpatch SW 75,,137.4,10.99,317.0,routed,739.0,approach-review
8929ac480d3ffff,Weedpatch SW 79,,153.4,12.27,364.0,routed,291.0,approach-review
8929ac480dbffff,Weedpatch SW 76,,144.7,11.58,3.0,routed,353.0,approach-review
8929ac48203ffff,Weedpatch SW 35,,93.8,7.51,0.0,routed,781.0,approach-review
8929ac4820bffff,Weedpatch SW 26,,84.5,6.76,0.0,routed,1611.0,approach-review
8929ac4820fffff,Weedpatch SW 31,,91.3,7.31,253.0,routed,1786.0,approach-review
8929ac48213ffff,Weedpatch SW 39,,97.2,7.78,0.0,routed,1053.0,approach-review
8929ac4821bffff,Weedpatch SW 32,,93.2,7.45,0.0,routed,730.0,approach-review
8929ac48223ffff,Weedpatch W 17,,98.9,7.91,51.0,routed,1448.0,approach-review
8929ac48227ffff,Weedpatch W 22,,96.9,7.76,0.0,routed,1292.0,approach-review
8929ac4822bffff,Weedpatch W 12,,85.8,6.87,0.0,routed,1347.0,approach-review
8929ac4822fffff,Weedpatch W 16,,94.3,7.55,0.0,routed,1084.0,approach-review
8929ac48233ffff,Weedpatch SW 42,,99.6,7.97,168.0,routed,1246.0,approach-review
8929ac48237ffff,Weedpatch SW 45,,103.5,8.28,410.0,routed,1151.0,approach-review
8929ac4823bffff,Weedpatch SW 36,,95.5,7.64,403.0,routed,515.0,approach-review
8929ac48243ffff,Weedpatch SW 14,,77.2,6.18,0.0,routed,1162.0,approach-review
8929ac48247ffff,Weedpatch SW 18,,79.5,6.36,290.0,routed,1317.0,approach-review
8929ac4824bffff,Weedpatch SW 7,,72.7,5.82,323.0,routed,800.0,approach-review
8929ac4824fffff,Weedpatch SW 10,,74.7,5.97,330.0,routed,957.0,approach-review
8929ac48253ffff,Weedpatch SW 20,,82.3,6.59,0.0,routed,1065.0,approach-review
8929ac48257ffff,Weedpatch SW 22,,84.8,6.78,0.0,routed,1260.0,approach-review
8929ac4825bffff,Weedpatch SW 12,,76.4,6.11,0.0,routed,1096.0,approach-review
8929ac48263ffff,Weedpatch SW 19,,76.0,6.08,0.0,routed,1287.0,approach-review
8929ac48267ffff,Weedpatch W 8,,80.5,6.44,0.0,routed,1121.0,approach-review
8929ac4826bffff,Weedpatch SW 11,,70.9,5.67,0.0,routed,1169.0,approach-review
8929ac4826fffff,Weedpatch W 4,,71.8,5.74,0.0,routed,1238.0,approach-review
8929ac48273ffff,Weedpatch SW 21,,82.4,6.59,366.0,routed,1554.0,approach-review
8929ac48277ffff,Weedpatch SW 27,,84.8,6.78,0.0,routed,1466.0,approach-review
8929ac4827bffff,Weedpatch SW 13,,77.8,6.22,0.0,routed,1206.0,approach-review
8929ac48283ffff,Weedpatch SW 47,,108.1,8.65,0.0,routed,1520.0,approach-review
8929ac4828bffff,Weedpatch SW 43,,101.2,8.09,0.0,routed,1369.0,approach-review
8929ac48293ffff,Weedpatch SW 50,,115.5,9.24,0.0,routed,1292.0,approach-review
8929ac48297ffff,Weedpatch SW 52,,119.3,9.54,0.0,routed,619.0,approach-review
8929ac4829bffff,Weedpatch SW 46,,111.3,8.91,0.0,routed,963.0,approach-review
8929ac482c3ffff,Weedpatch SW 34,,99.2,7.94,0.0,routed,1212.0,approach-review
8929ac482c7ffff,Weedpatch SW 37,,97.5,7.8,0.0,routed,1076.0,approach-review
8929ac482cbffff,Weedpatch SW 25,,97.5,7.8,0.0,routed,1079.0,approach-review
8929ac482cfffff,Weedpatch SW 28,,94.6,7.57,0.0,routed,847.0,approach-review
8929ac482d3ffff,Weedpatch SW 40,,103.4,8.27,0.0,routed,329.0,approach-review
8929ac482d7ffff,Weedpatch SW 41,,101.9,8.16,0.0,routed,1431.0,approach-review
8929ac482dbffff,Weedpatch SW 33,,99.8,7.99,0.0,routed,1275.0,approach-review
8929ac48343ffff,Weedpatch W 26,,93.2,7.45,263.0,routed,832.0,approach-review
