h3,lst_c,green_pct
8929ac48043ffff,44.61,35.96
8929ac48047ffff,44.94,17.87
8929ac4804bffff,51.12,5.2
8929ac48053ffff,40.59,45.0
8929ac48057ffff,41.86,25.51
8929ac4805bffff,50.26,16.87
8929ac480c3ffff,40.91,35.0
8929ac480cbffff,42.32,45.0
8929ac480cfffff,41.55,26.62
8929ac480d3ffff,40.75,39.4
8929ac480dbffff,42.63,45.0
8929ac48203ffff,43.72,29.88
8929ac4820bffff,48.88,11.93
8929ac4820fffff,37.78,45.0
8929ac48213ffff,48.35,23.88
8929ac4821bffff,48.24,14.97
8929ac48223ffff,38.95,43.67
8929ac48227ffff,37.38,44.7
8929ac4822bffff,40.86,25.99
8929ac4822fffff,40.62,29.31
8929ac48233ffff,38.39,45.0
8929ac48237ffff,38.78,45.0
8929ac4823bffff,38.54,42.25
8929ac48243ffff,52.04,4.38
8929ac48247ffff,50.42,6.04
8929ac4824bffff,48.87,14.34
8929ac4824fffff,43.67,29.47
8929ac48253ffff,52.66,3.86
8929ac48257ffff,51.1,6.44
8929ac4825bffff,51.82,4.76
8929ac48263ffff,40.07,35.87
8929ac48267ffff,43.14,6.71
8929ac4826bffff,43.17,25.74
8929ac4826fffff,40.64,30.81
8929ac48273ffff,45.02,25.02
8929ac48277ffff,44.02,26.28
8929ac4827bffff,40.23,41.63
8929ac48283ffff,43.42,35.82
8929ac4828bffff,54.44,14.74
8929ac48293ffff,51.54,2.58
8929ac48297ffff,49.9,10.14
8929ac4829bffff,49.93,13.93
8929ac482c3ffff,54.63,2.72
8929ac482c7ffff,54.79,3.55
8929ac482cbffff,54.57,3.47
8929ac482cfffff,54.03,3.83
8929ac482d3ffff,48.93,11.79
8929ac482d7ffff,54.23,4.86
8929ac482dbffff,53.92,2.76
8929ac48343ffff,40.06,41.24
8929ac48347ffff,51.02,8.9
8929ac4834bffff,38.75,45.0
8929ac4834fffff,46.05,18.73
8929ac48353ffff,38.78,39.86
8929ac48357ffff,49.61,11.89
8929ac4835bffff,36.83,45.0
8929ac48363ffff,41.45,20.88
8929ac48367ffff,45.86,22.21
8929ac4836bffff,37.72,45.0
8929ac4836fffff,35.59,45.0
8929ac4837bffff,43.37,5.22
8929ac483c3ffff,43.68,23.12
8929ac483cbffff,40.65,37.51
8929ac483cfffff,36.81,30.31
8929ac48603ffff,52.13,3.77
8929ac48607ffff,53.61,2.64
8929ac4860bffff,43.06,5.02
8929ac4860fffff,51.82,3.58
8929ac4861bffff,41.32,26.44
8929ac48623ffff,54.96,3.26
8929ac48627ffff,51.66,15.01
8929ac4862bffff,53.18,3.48
8929ac4862fffff,54.47,2.23
8929ac48633ffff,54.63,3.0
8929ac48637ffff,51.61,13.22
8929ac4863bffff,53.43,3.94
8929ac48663ffff,44.8,31.17
8929ac48667ffff,50.63,4.33
8929ac4866fffff,42.73,26.29
8929ac48673ffff,44.5,11.69
8929ac48677ffff,51.44,5.98
8929ac486a7ffff,43.03,43.91
8929ac486abffff,54.51,3.59
8929ac486afffff,52.97,9.73
8929ac48827ffff,41.38,40.31
8929ac48867ffff,46.24,18.33
8929ac4886fffff,49.78,5.85
8929ac48923ffff,47.34,11.39
8929ac48927ffff,48.07,13.66
8929ac4892bffff,51.35,8.61
8929ac4892fffff,48.18,19.28
8929ac48933ffff,47.69,9.03
8929ac48937ffff,43.59,3.6
8929ac4893bffff,46.34,28.83
8929ac48943ffff,40.55,37.41
8929ac48947ffff,45.52,22.7
8929ac4894bffff,44.74,31.09
8929ac4894fffff,42.42,35.35
8929ac48953ffff,38.89,45.0
8929ac48957ffff,42.09,41.01
8929ac4895bffff,46.72,21.31
8929ac48963ffff,50.23,5.95
8929ac48967ffff,49.89,5.89
8929ac4896bffff,50.24,9.08
8929ac4896fffff,49.74,8.79
8929ac48973ffff,46.13,24.6
8929ac48977ffff,45.74,23.23
8929ac4897bffff,49.52,10.05
8929ac489a3ffff,37.22,43.99
8929ac489a7ffff,45.85,21.52
8929ac489abffff,45.32,22.09
8929ac489afffff,47.18,19.69
8929ac489b7ffff,40.61,37.94
8929ac489cbffff,41.44,35.49
8929ac489cfffff,38.91,45.0
8929ac48a37ffff,52.75,5.83
8929ac48a6fffff,45.67,30.04
8929ac48aa7ffff,38.23,45.0
8929ac48aafffff,47.39,13.54
8929ac48b03ffff,50.61,8.92
8929ac48b07ffff,50.91,10.24
8929ac48b0bffff,51.45,6.6
8929ac48b0fffff,49.93,8.72
8929ac48b13ffff,52.59,7.94
8929ac48b17ffff,51.99,8.08
8929ac48b1bffff,51.39,6.49
8929ac48b23ffff,49.46,12.19
8929ac48b27ffff,50.33,9.1
8929ac48b2bffff,51.49,8.4
8929ac48b2fffff,49.36,11.96
8929ac48b33ffff,49.0,11.67
8929ac48b37ffff,48.59,12.3
8929ac48b3bffff,49.33,12.12
8929ac48b47ffff,49.63,9.44
8929ac48b4bffff,49.58,14.97
8929ac48b4fffff,49.01,14.4
8929ac48b57ffff,49.16,14.82
8929ac48b63ffff,52.24,5.08
8929ac48b67ffff,52.67,3.49
8929ac48b6bffff,49.05,11.63
8929ac48b6fffff,55.11,7.41
8929ac48b73ffff,52.38,6.28
8929ac48b77ffff,50.94,7.51
8929ac48b7bffff,50.02,7.72
8929ac48b83ffff,50.76,10.16
8929ac48b87ffff,50.82,9.87
8929ac48b8bffff,51.48,4.59
8929ac48b8fffff,52.48,5.9
8929ac48b97ffff,49.17,18.89
8929ac48b9bffff,51.66,6.81
8929ac48ba3ffff,52.18,11.03
8929ac48ba7ffff,49.23,10.88
8929ac48babffff,51.19,9.18
8929ac48bafffff,50.09,9.21
8929ac48bb3ffff,49.77,12.37
8929ac48bb7ffff,50.72,9.62
8929ac48bbbffff,51.94,8.65
8929ac48bc3ffff,51.01,2.21
8929ac48bc7ffff,51.65,5.2
8929ac48bcbffff,54.39,6.37
8929ac48bcfffff,52.05,9.64
8929ac48bd3ffff,44.92,17.56
8929ac48bd7ffff,50.8,4.48
8929ac48bdbffff,50.4,3.34
8929ac49183ffff,41.26,27.29
8929ac49187ffff,41.41,36.02
8929ac49193ffff,40.66,36.92
8929ac49197ffff,45.27,9.99
8929ac491a3ffff,41.75,19.68
8929ac491b3ffff,40.74,45.0
8929ac491b7ffff,40.44,37.22
8929ac49507ffff,49.5,13.07
8929ac49523ffff,45.71,11.52
8929ac49527ffff,51.45,5.04
8929ac4952bffff,47.33,15.41
8929ac4952fffff,45.23,10.57
8929ac49533ffff,46.94,10.65
8929ac49537ffff,52.16,4.77
8929ac4953bffff,47.33,12.95
8929ac495a7ffff,47.8,23.68
8929ac495abffff,48.56,18.79
8929ac495afffff,51.85,6.23
8929ac49803ffff,43.06,24.04
8929ac49807ffff,47.98,11.7
8929ac4980bffff,46.75,20.21
