h3,land,land_frac,wc_code
8929ac48043ffff,cropland,0.675,40
8929ac48047ffff,cropland,0.655,40
8929ac4804bffff,cropland,0.767,40
8929ac48053ffff,cropland,0.978,40
8929ac48057ffff,grassland,0.76,30
8929ac4805bffff,cropland,0.613,40
8929ac480c3ffff,cropland,0.674,40
8929ac480cbffff,cropland,0.992,40
8929ac480cfffff,grassland,0.751,30
8929ac480d3ffff,cropland,0.725,40
8929ac480dbffff,cropland,0.993,40
8929ac48203ffff,grassland,0.641,30
8929ac4820bffff,cropland,0.99,40
8929ac4820fffff,cropland,0.914,40
8929ac48213ffff,grassland,0.569,30
8929ac4821bffff,cropland,0.845,40
8929ac48223ffff,cropland,0.947,40
8929ac48227ffff,cropland,1.0,40
8929ac4822bffff,cropland,1.0,40
8929ac4822fffff,cropland,1.0,40
8929ac48233ffff,cropland,0.894,40
8929ac48237ffff,cropland,0.9,40
8929ac4823bffff,cropland,0.977,40
8929ac48243ffff,cropland,0.875,40
8929ac48247ffff,cropland,0.838,40
8929ac4824bffff,cropland,0.919,40
8929ac4824fffff,cropland,0.972,40
8929ac48253ffff,cropland,0.747,40
8929ac48257ffff,cropland,0.916,40
8929ac4825bffff,cropland,1.0,40
8929ac48263ffff,cropland,1.0,40
8929ac48267ffff,cropland,1.0,40
8929ac4826bffff,cropland,0.993,40
8929ac4826fffff,cropland,1.0,40
8929ac48273ffff,cropland,0.872,40
8929ac48277ffff,cropland,0.707,40
8929ac4827bffff,cropland,1.0,40
8929ac48283ffff,cropland,0.896,40
8929ac4828bffff,grassland,0.593,30
8929ac48293ffff,bare ground,0.733,60
8929ac48297ffff,bare ground,0.414,60
8929ac4829bffff,bare ground,0.46,60
8929ac482c3ffff,bare ground,0.983,60
8929ac482c7ffff,bare ground,0.861,60
8929ac482cbffff,cropland,0.569,40
8929ac482cfffff,bare ground,0.598,60
8929ac482d3ffff,bare ground,0.641,60
8929ac482d7ffff,bare ground,0.675,60
8929ac482dbffff,bare ground,0.555,60
8929ac48343ffff,cropland,0.822,40
8929ac48347ffff,cropland,0.633,40
8929ac4834bffff,cropland,1.0,40
8929ac4834fffff,cropland,0.931,40
8929ac48353ffff,cropland,0.916,40
8929ac48357ffff,grassland,0.523,30
8929ac4835bffff,cropland,1.0,40
8929ac48363ffff,cropland,0.922,40
8929ac48367ffff,cropland,0.415,40
8929ac4836bffff,cropland,0.933,40
8929ac4836fffff,cropland,1.0,40
8929ac4837bffff,cropland,0.998,40
8929ac483c3ffff,grassland,0.377,30
8929ac483cbffff,cropland,0.744,40
8929ac483cfffff,cropland,0.988,40
8929ac48603ffff,bare ground,0.734,60
8929ac48607ffff,bare ground,0.711,60
8929ac4860bffff,cropland,0.91,40
8929ac4860fffff,cropland,0.552,40
8929ac4861bffff,cropland,0.949,40
8929ac48623ffff,cropland,0.781,40
8929ac48627ffff,cropland,0.644,40
8929ac4862bffff,cropland,0.684,40
8929ac4862fffff,cropland,0.81,40
8929ac48633ffff,grassland,0.468,30
8929ac48637ffff,grassland,0.455,30
8929ac4863bffff,cropland,0.617,40
8929ac48663ffff,cropland,0.52,40
8929ac48667ffff,bare ground,0.679,60
8929ac4866fffff,grassland,0.708,30
8929ac48673ffff,cropland,0.824,40
8929ac48677ffff,cropland,0.43,40
8929ac486a7ffff,cropland,0.953,40
8929ac486abffff,bare ground,0.5,60
8929ac486afffff,grassland,0.846,30
8929ac48827ffff,grassland,0.429,30
8929ac48867ffff,bare ground,0.365,60
8929ac4886fffff,grassland,0.639,30
8929ac48923ffff,bare ground,0.47,60
8929ac48927ffff,developed,0.619,50
8929ac4892bffff,grassland,0.474,30
8929ac4892fffff,developed,0.765,50
8929ac48933ffff,bare ground,0.653,60
8929ac48937ffff,bare ground,0.856,60
8929ac4893bffff,cropland,0.99,40
8929ac48943ffff,cropland,0.589,40
8929ac48947ffff,cropland,0.936,40
8929ac4894bffff,grassland,0.441,30
8929ac4894fffff,woodland,0.586,10
8929ac48953ffff,woodland,0.713,10
8929ac48957ffff,cropland,0.8,40
8929ac4895bffff,grassland,0.522,30
8929ac48963ffff,developed,0.616,50
8929ac48967ffff,developed,0.4,50
8929ac4896bffff,developed,0.867,50
8929ac4896fffff,developed,0.872,50
8929ac48973ffff,cropland,0.892,40
8929ac48977ffff,cropland,0.588,40
8929ac4897bffff,developed,0.385,50
8929ac489a3ffff,woodland,0.856,10
8929ac489a7ffff,grassland,0.524,30
8929ac489abffff,cropland,0.342,40
8929ac489afffff,bare ground,0.554,60
