id,previous_rank,current_rank,previous_score,current_score,previous_pop,current_pop,previous_ac,current_ac,rank_change
2630,1,1,100.0,100.0,514,514,97.52,97.52,0
2634,2,2,99.5,99.5,522,522,97.51,97.51,0
2636,3,3,98.5,98.5,658,658,97.3,97.3,0
1513,4,4,96.4,96.4,601,601,97.3,97.3,0
1514,5,5,96.4,96.4,599,599,97.15,97.15,0
1518,6,6,95.9,95.9,503,503,97.25,97.25,0
1470,7,7,95.8,95.8,445,445,97.35,97.35,0
1589,8,8,95.8,95.8,620,620,97.3,97.3,0
1591,9,9,95.0,95.0,455,455,97.35,97.35,0
1515,10,10,95.0,95.0,446,446,97.37,97.37,0
1517,11,11,94.1,94.1,635,635,97.34,97.34,0
1605,12,12,92.5,92.5,526,526,97.89,97.89,0
1519,13,13,92.3,92.3,538,538,97.72,97.72,0
1453,14,14,91.5,91.5,335,335,96.9,96.9,0
1694,15,15,90.7,90.7,432,432,97.86,97.86,0
1415,16,16,90.5,90.5,420,420,97.82,97.82,0
1797,17,17,89.7,89.7,457,457,97.9,97.9,0
1789,18,18,89.6,89.6,365,365,97.75,97.75,0
1530,19,19,88.4,88.4,457,457,98.1,98.1,0
1795,20,20,87.9,87.9,451,451,97.9,97.9,0
1785,21,21,87.8,87.8,461,461,97.9,97.9,0
1804,22,22,87.6,87.6,434,434,98.4,98.4,0
1410,23,23,87.2,87.2,337,337,97.94,97.94,0
2632,24,24,86.8,86.8,323,323,97.36,97.36,0
1602,25,25,86.8,86.8,474,474,97.9,97.9,0
2660,26,26,86.0,86.0,332,332,97.58,97.58,0
2722,27,27,85.7,85.7,423,423,98.3,98.3,0
1788,28,28,84.8,84.8,315,315,97.6,97.6,0
2301,29,29,84.2,84.2,468,468,98.9,98.9,0
2382,30,30,84.1,84.1,433,433,98.9,98.9,0
2249,31,31,84.1,84.1,447,447,98.95,98.95,0
1454,32,32,83.5,83.5,368,368,97.09,97.09,0
2664,33,33,83.5,83.5,256,256,97.52,97.52,0
2735,34,34,83.4,83.4,474,474,98.66,98.66,0
1416,35,35,83.4,83.4,376,376,98.1,98.1,0
2726,36,36,83.0,83.0,413,413,98.3,98.3,0
1457,37,37,82.7,82.7,217,217,97.0,97.0,0
1409,38,38,82.6,82.6,261,261,98.04,98.04,0
1524,39,39,82.3,82.3,405,405,97.57,97.57,0
1581,40,40,81.6,81.6,224,224,97.47,97.47,0
1620,41,41,81.4,81.4,371,371,98.4,98.4,0
2739,42,42,81.3,81.3,359,359,98.3,98.3,0
1617,43,43,81.3,81.3,263,263,97.6,97.6,0
1791,44,44,81.1,81.1,294,294,97.84,97.84,0
2554,45,45,81.0,81.0,549,549,99.1,99.1,0
1451,46,46,81.0,81.0,211,211,96.9,96.9,0
2285,47,47,80.8,80.8,506,506,99.0,99.0,0
1616,48,48,80.5,80.5,310,310,97.96,97.96,0
2733,49,49,80.3,80.3,384,384,98.78,98.78,0
1471,50,50,80.2,80.2,295,295,97.45,97.45,0
1526,51,51,80.2,80.2,407,407,98.03,98.03,0
1405,52,52,80.1,80.1,461,461,99.1,99.1,0
1422,53,53,80.0,80.0,529,529,99.1,99.1,0
2744,54,54,79.6,79.6,441,441,99.43,99.43,0
2208,55,55,79.4,79.4,607,607,99.0,99.0,0
1584,56,56,79.3,79.3,225,225,97.46,97.46,0
2204,57,57,78.9,78.9,422,422,99.0,99.0,0
2289,58,58,78.9,78.9,569,569,99.05,99.05,0
2328,59,59,78.8,78.8,420,420,98.9,98.9,0
1452,60,60,78.8,78.8,211,211,96.9,96.9,0
1607,61,61,78.6,78.6,228,228,97.45,97.45,0
1619,62,62,78.3,78.3,223,223,97.3,97.3,0
2741,63,63,78.2,78.2,429,429,99.47,99.47,0
2223,64,64,78.1,78.1,503,503,99.6,99.6,0
2734,65,65,78.1,78.1,318,318,98.3,98.3,0
1603,66,66,78.1,78.1,281,281,97.46,97.46,0
1618,67,67,78.1,78.1,226,226,97.37,97.37,0
2746,68,68,78.0,78.0,447,447,99.4,99.4,0
1432,69,69,78.0,78.0,591,591,99.1,99.1,0
1601,70,70,77.9,77.9,448,448,99.1,99.1,0
1621,71,71,77.8,77.8,365,365,98.5,98.5,0
2262,72,72,77.8,77.8,373,373,98.5,98.5,0
2207,73,73,77.8,77.8,432,432,99.04,99.04,0
1592,74,74,77.7,77.7,226,226,97.36,97.36,0
2742,75,75,77.5,77.5,530,530,99.4,99.4,0
1469,76,76,77.4,77.4,322,322,97.4,97.4,0
1597,77,77,77.4,77.4,437,437,99.1,99.1,0
2265,78,78,77.3,77.3,373,373,98.5,98.5,0
1418,79,79,77.1,77.1,245,245,98.05,98.05,0
2662,80,80,77.0,77.0,322,322,98.1,98.1,0
2251,81,81,77.0,77.0,301,301,98.5,98.5,0
2283,82,82,77.0,77.0,488,488,99.02,99.02,0
2840,83,83,76.7,76.7,293,293,98.3,98.3,0
2561,84,84,76.6,76.6,555,555,98.72,98.72,0
1447,85,85,76.6,76.6,219,219,97.6,97.6,0
2530,86,86,76.4,76.4,447,447,98.7,98.7,0
1790,87,87,76.3,76.3,223,223,97.65,97.65,0
2720,88,88,76.3,76.3,476,476,98.9,98.9,0
1582,89,89,76.1,76.1,229,229,97.4,97.4,0
1606,90,90,76.0,76.0,239,239,97.9,97.9,0
2738,91,91,75.9,75.9,318,318,98.3,98.3,0
2526,92,92,75.8,75.8,543,543,98.75,98.75,0
2286,93,93,75.5,75.5,350,350,99.02,99.02,0
2635,94,94,75.5,75.5,322,322,98.1,98.1,0
1594,95,95,75.5,75.5,229,229,97.4,97.4,0
2267,96,96,75.4,75.4,360,360,98.65,98.65,0
1599,97,97,75.4,75.4,330,330,98.68,98.68,0
2727,98,98,75.0,75.0,532,532,99.15,99.15,0
1596,99,99,74.9,74.9,261,261,97.9,97.9,0
2250,100,100,74.9,74.9,308,308,98.5,98.5,0
1588,101,101,74.7,74.7,291,291,97.35,97.35,0
2226,102,102,74.6,74.6,408,408,99.46,99.46,0
1459,103,103,74.6,74.6,182,182,97.6,97.6,0
1414,104,104,74.5,74.5,238,238,98.1,98.1,0
2365,105,105,74.4,74.4,392,392,99.23,99.23,0
1763,106,106,74.3,74.3,304,304,97.7,97.7,0
2287,107,107,74.1,74.1,425,425,99.3,99.3,0
2375,108,108,74.1,74.1,414,414,99.2,99.2,0
2263,109,109,74.1,74.1,372,372,98.5,98.5,0
1786,110,110,74.0,74.0,228,228,97.7,97.7,0
2808,111,111,74.0,74.0,726,726,99.2,99.2,0
2241,112,112,74.0,74.0,324,324,99.1,99.1,0
1595,113,113,74.0,74.0,350,350,98.68,98.68,0
1593,114,114,73.9,73.9,223,223,97.3,97.3,0
2832,115,115,73.8,73.8,307,307,98.5,98.5,0
1520,116,116,73.7,73.7,364,364,98.5,98.5,0
1439,117,117,73.6,73.6,157,157,97.29,97.29,0
1462,118,118,73.4,73.4,190,190,97.19,97.19,0
2740,119,119,73.4,73.4,294,294,98.3,98.3,0
1420,120,120,73.4,73.4,371,371,99.1,99.1,0
1590,121,121,73.4,73.4,254,254,97.4,97.4,0
1802,122,122,73.3,73.3,346,346,98.25,98.25,0
2202,123,123,73.3,73.3,332,332,99.3,99.3,0
2370,124,124,73.1,73.1,367,367,99.18,99.18,0
2736,125,125,73.1,73.1,232,232,98.45,98.45,0
804,126,126,73.0,73.0,437,437,99.6,99.6,0
2450,127,127,73.0,73.0,439,439,99.5,99.5,0
2224,128,128,72.8,72.8,500,500,99.6,99.6,0
2565,129,129,72.7,72.7,606,606,98.72,98.72,0
1759,130,130,72.7,72.7,261,261,97.7,97.7,0
2452,131,131,72.7,72.7,408,408,99.35,99.35,0
2757,132,132,72.5,72.5,475,475,99.41,99.41,0
2451,133,133,72.5,72.5,405,405,99.18,99.18,0
1542,134,134,72.5,72.5,311,311,99.05,99.05,0
2243,135,135,72.4,72.4,337,337,99.1,99.1,0
2103,136,136,72.4,72.4,482,482,99.45,99.45,0
2833,137,137,72.4,72.4,267,267,98.68,98.68,0
2724,138,138,72.4,72.4,466,466,99.29,99.29,0
2233,139,139,72.4,72.4,431,431,99.2,99.2,0
974,140,140,72.3,72.3,507,507,99.9,99.9,0
2266,141,141,72.3,72.3,342,342,98.98,98.98,0
2845,142,142,72.3,72.3,341,341,99.09,99.09,0
2236,143,143,72.3,72.3,334,334,99.3,99.3,0
2229,144,144,72.2,72.2,298,298,99.42,99.42,0
1456,145,145,72.2,72.2,150,150,97.4,97.4,0
2885,146,146,72.1,72.1,448,448,99.9,99.9,0
3612,147,147,72.1,72.1,458,458,99.7,99.7,0
2279,148,148,72.1,72.1,361,361,99.47,99.47,0
2259,149,149,72.1,72.1,360,360,99.17,99.17,0
2826,150,150,71.9,71.9,324,324,98.25,98.25,0
1793,151,151,71.9,71.9,118,118,97.7,97.7,0
2819,152,152,71.8,71.8,305,305,98.41,98.41,0
2558,153,153,71.4,71.4,602,602,99.1,99.1,0
2369,154,154,71.4,71.4,385,385,99.2,99.2,0
2247,155,155,71.4,71.4,266,266,99.1,99.1,0
2731,156,156,71.3,71.3,595,595,99.3,99.3,0
2728,157,157,71.3,71.3,318,318,98.56,98.56,0
2737,158,158,71.2,71.2,312,312,99.04,99.04,0
2730,159,159,71.2,71.2,293,293,98.3,98.3,0
805,160,160,71.1,71.1,414,414,99.61,99.61,0
2759,161,161,71.1,71.1,380,380,99.5,99.5,0
1400,162,162,71.1,71.1,294,294,99.07,99.07,0
2658,163,163,71.1,71.1,300,300,98.1,98.1,0
2846,164,164,71.1,71.1,523,523,99.67,99.67,0
1799,165,165,71.0,71.0,346,346,98.23,98.23,0
1801,166,166,71.0,71.0,292,292,98.4,98.4,0
2453,167,167,71.0,71.0,467,467,99.5,99.5,0
2825,168,168,70.9,70.9,336,336,98.62,98.62,0
1484,169,169,70.8,70.8,221,221,97.9,97.9,0
2264,170,170,70.7,70.7,373,373,98.79,98.79,0
2569,171,171,70.6,70.6,400,400,99.1,99.1,0
1508,172,172,70.5,70.5,444,444,99.5,99.5,0
2541,173,173,70.4,70.4,444,444,99.3,99.3,0
2231,174,174,70.4,70.4,383,383,99.3,99.3,0
1424,175,175,70.4,70.4,348,348,99.1,99.1,0
2818,176,176,70.4,70.4,202,202,98.4,98.4,0
1598,177,177,70.3,70.3,333,333,98.55,98.55,0
2661,178,178,70.3,70.3,290,290,98.1,98.1,0
2353,179,179,70.3,70.3,337,337,99.67,99.67,0
