h3,canopy_pct,row_canopy_pct,canopy_m2,row_m2,assessed_m2,coverage_frac,canopy_source,canopy_year,canopy_quality
8828301001fffff,0.0,0.0,0.0,0.0,1325.52,0.001731368164760695,usfs-2022,2022,partial
8828301003fffff,44.091546006539,57.537688442211056,1359.0,183.0,3083.04,0.004027566231728579,usfs-2022,2022,partial
8828301005fffff,0.0,0.0,0.0,0.0,1907.28,0.0024910737587347403,usfs-2022,2022,partial
8828301007fffff,17.81304702751419,33.270211216314635,60409.0,13193.0,339128.28,0.44299264529876614,usfs-2022,2022,partial
8828301009fffff,23.87712421921527,21.025195482189403,182702.0,15708.0,,,chm-legacy,2009-2020,coverage-unknown
882830100bfffff,24.985450749632804,84.90322580645162,191156.0,2022.0,,,chm-legacy,2009-2020,coverage-unknown
882830100dfffff,25.808804520441704,0.0,197497.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
8828301011fffff,19.494924890851237,4.636247211435181,91048.0,33241.0,467032.32,0.610241788055363,usfs-2022,2022,partial
8828301013fffff,23.730082636221677,13.57300355202942,181409.0,121493.0,764468.64,0.9990221826025066,usfs-2022,2022,full
8828301015fffff,7.774717495945842,2.3181454836131095,5437.0,1760.0,69928.2,0.09136425007422892,usfs-2022,2022,partial
8828301017fffff,29.413776844271077,20.232185301234853,123515.0,66811.0,419922.0,0.5487228048955559,usfs-2022,2022,partial
8828301019fffff,36.85547371094742,5.4911838790931995,281911.0,21612.0,,,chm-legacy,2009-2020,coverage-unknown
882830101bfffff,51.02414063632139,12.122797837083551,36759.0,1814.0,72042.84,0.09414059186325192,usfs-2022,2022,partial
882830101dfffff,12.421915759050384,0.4830917874396135,95023.0,3560.0,,,chm-legacy,2009-2020,coverage-unknown
8828301029fffff,0.0433851493556843,0.1833180568285976,332.0,6273.0,,,chm-legacy,2009-2020,coverage-unknown
882830102bfffff,0.0,0.0,0.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
8828301031fffff,0.0410833067907474,0.0,314.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
8828301039fffff,17.875083105562535,0.0,136738.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
882830103bfffff,0.4362276692978811,100.0,3337.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
882830103dfffff,0.0,0.0,0.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
8828301041fffff,7.054927085691058,1.180195739781232,53994.0,19774.0,,,chm-legacy,2009-2020,coverage-unknown
8828301043fffff,2.3758298783922287,0.889967637540453,18181.0,14112.0,,,chm-legacy,2009-2020,coverage-unknown
8828301045fffff,4.224109662431473,0.3019489431786988,32331.0,20920.0,,,chm-legacy,2009-2020,coverage-unknown
8828301047fffff,5.715921737403776,8.832612723903646,43743.0,17004.0,,,chm-legacy,2009-2020,coverage-unknown
8828301049fffff,9.502686867846762,7.5075075075075075,72733.0,1774.0,,,chm-legacy,2009-2020,coverage-unknown
882830104bfffff,10.40563315248759,31.39710645648888,79633.0,18300.0,,,chm-legacy,2009-2020,coverage-unknown
882830104dfffff,28.711444486526933,1.4035087719298245,219770.0,6474.0,,,chm-legacy,2009-2020,coverage-unknown
8828301051fffff,22.94879846321506,0.0,175574.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
8828301053fffff,27.35806780960829,0.0,209279.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
8828301055fffff,13.61729649819828,0.0,104189.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
8828301057fffff,40.40494055177191,20.12779552715655,309104.0,7200.0,,,chm-legacy,2009-2020,coverage-unknown
8828301059fffff,10.426124424452624,0.0,79773.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
882830105bfffff,9.563111731378871,0.0,73159.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
882830105dfffff,8.449116322051518,0.0,64651.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
8828301061fffff,12.219118631547358,14.024071166928309,93524.0,9464.0,,,chm-legacy,2009-2020,coverage-unknown
8828301063fffff,4.375386661003333,0.0,33484.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
8828301065fffff,0.0,0.0,0.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
8828301067fffff,0.0,0.0,0.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
8828301069fffff,43.875081964185114,42.959641255605376,335840.0,3663.0,,,chm-legacy,2009-2020,coverage-unknown
882830106bfffff,30.285930659967857,0.0,231790.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
882830106dfffff,39.89946236276587,23.176349568406458,54662.0,6184.0,136999.44,0.1788586462288843,usfs-2022,2022,partial
88283010c1fffff,29.527027027027025,11.458686697358857,52230.0,13155.0,176889.6,0.23121145474370888,usfs-2022,2022,partial
88283010c3fffff,0.0073852175638936,0.0,56.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
88283010c5fffff,9.386190636151023,9.55058927086899,21325.0,19976.0,227198.88,0.2969491705701436,usfs-2022,2022,partial
88283010c7fffff,0.0092365100770324,0.0,71.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
88283010c9fffff,3.255674414001287,0.27605244996549344,11368.0,7283.0,349188.48,0.45639155607627296,usfs-2022,2022,partial
88283010cbfffff,5.2109374641633375,1.0369749659578926,4090.0,6803.0,78481.08,0.1025895586816821,usfs-2022,2022,partial
88283010cdfffff,22.456414780053784,12.417771973764996,109152.0,64706.0,486061.56,0.6352400003372678,usfs-2022,2022,partial
88283010d1fffff,0.0,0.0,0.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
88283010d9fffff,0.1219917932793612,0.0,932.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
88283010dbfffff,0.0,0.0,0.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
88283010ddfffff,0.0,0.0,0.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
88283010e9fffff,7.183984503879351,10.133678309616213,4860.0,750.0,67650.48,0.08841291818763995,usfs-2022,2022,partial
88283010edfffff,0.3276449251954332,0.7936507936507936,2506.0,8640.0,,,chm-legacy,2009-2020,coverage-unknown
882830110dfffff,0.0,0.0,0.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
8828301141fffff,2.7241305544975525,0.41961161529561014,20676.0,25716.0,758976.84,0.9905948329069141,usfs-2022,2022,full
8828301143fffff,3.884690353246931,0.0,4090.0,0.0,105274.8,0.13742071858194976,usfs-2022,2022,partial
8828301145fffff,1.328564866840188,0.0,9934.0,0.0,747712.08,0.9758231114075786,usfs-2022,2022,partial
8828301147fffff,0.0,0.0,0.0,0.0,366785.28,0.4787500628865245,usfs-2022,2022,partial
8828301149fffff,6.212827734932004,2.1123343131273917,47605.0,50832.0,766236.6,1.0,usfs-2022,2022,full
882830114bfffff,0.7597198553855875,0.0,4926.0,0.0,648333.72,0.8462467329480818,usfs-2022,2022,partial
882830114dfffff,1.8460698607895607,3.4747188231801838,14146.0,21071.0,766287.36,0.9999976172185898,usfs-2022,2022,full
8828301159fffff,0.0,0.0,0.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
