h3,lidar_pct,lidar_coverage
8828301001fffff,20.0372,1.0
8828301003fffff,29.0825,1.0
8828301005fffff,3.4582,1.0
8828301007fffff,12.0571,1.0
8828301009fffff,21.5023,1.0
882830100bfffff,22.9026,1.0
882830100dfffff,23.8956,1.0
8828301011fffff,15.0831,1.0
8828301013fffff,18.7446,1.0
8828301015fffff,19.1947,1.0
8828301017fffff,11.4378,1.0
8828301019fffff,32.5229,1.0
882830101bfffff,31.1145,1.0
882830101dfffff,10.3021,1.0
8828301029fffff,0.0,0.3189
882830102bfffff,0.0,0.5672
8828301031fffff,0.0,0.2154
8828301039fffff,15.7718,1.0
882830103bfffff,0.7553,0.8313
882830103dfffff,0.0,0.6052
8828301041fffff,6.6661,1.0
8828301043fffff,2.779,1.0
8828301045fffff,4.4118,1.0
8828301047fffff,6.6579,1.0
8828301049fffff,8.8357,1.0
882830104bfffff,9.1736,1.0
882830104dfffff,24.8259,1.0
8828301051fffff,22.4597,1.0
8828301053fffff,26.4474,1.0
8828301055fffff,13.2375,1.0
8828301057fffff,35.8953,1.0
8828301059fffff,9.7299,1.0
882830105bfffff,9.1136,1.0
882830105dfffff,7.9984,1.0
8828301061fffff,11.6736,1.0
8828301063fffff,3.8106,1.0
8828301065fffff,0.0,0.9771
8828301067fffff,0.0,0.432
8828301069fffff,40.0496,1.0
882830106bfffff,28.3108,1.0
882830106dfffff,33.5117,1.0
88283010c1fffff,16.4163,1.0
88283010c3fffff,0.1239,0.9954
88283010c5fffff,3.0927,1.0
88283010c7fffff,0.0,0.5714
88283010c9fffff,3.2274,1.0
88283010cbfffff,4.5106,1.0
88283010cdfffff,11.8258,1.0
88283010d1fffff,0.0,0.1669
88283010d9fffff,0.0,0.6017
88283010ddfffff,0.0,0.9996
88283010e9fffff,1.5075,0.7189
88283010edfffff,0.0,0.2149
882830110dfffff,0.0,0.3194
8828301141fffff,3.214,1.0
8828301143fffff,0.9778,0.8801
8828301145fffff,0.6933,1.0
8828301147fffff,0.0001,1.0
8828301149fffff,11.391,1.0
882830114bfffff,2.082,1.0
882830114dfffff,2.0336,1.0
8828301159fffff,0.0,0.727
882830115dfffff,0.0,0.7457
8828301161fffff,0.4712,1.0
8828301163fffff,0.0,0.5063
8828301165fffff,0.0,1.0
8828301167fffff,0.0,0.5969
8828301169fffff,0.0654,1.0
882830116bfffff,0.0,1.0
882830116dfffff,0.8141,1.0
8828301201fffff,16.1593,1.0
8828301203fffff,8.7925,1.0
8828301205fffff,20.5018,1.0
8828301207fffff,53.5016,1.0
8828301209fffff,8.0236,1.0
882830120bfffff,2.974,1.0
882830120dfffff,21.0679,1.0
8828301211fffff,20.8751,1.0
8828301213fffff,18.4298,1.0
8828301215fffff,8.5702,1.0
8828301217fffff,15.5383,1.0
8828301219fffff,27.1024,1.0
882830121bfffff,34.9142,1.0
882830121dfffff,4.3068,1.0
8828301221fffff,17.271,1.0
8828301223fffff,5.6896,1.0
8828301225fffff,45.3552,1.0
8828301227fffff,9.3896,1.0
8828301229fffff,19.8542,1.0
882830122bfffff,33.8005,1.0
882830122dfffff,15.5811,1.0
8828301231fffff,20.496,1.0
8828301233fffff,10.1083,1.0
8828301235fffff,1.4092,1.0
8828301237fffff,3.3882,1.0
8828301239fffff,29.0292,1.0
882830123bfffff,39.3444,1.0
882830123dfffff,22.6647,1.0
8828301241fffff,40.5034,1.0
8828301243fffff,46.2281,1.0
8828301245fffff,7.0901,1.0
8828301247fffff,10.1755,1.0
8828301249fffff,59.4442,1.0
882830124bfffff,44.9738,1.0
882830124dfffff,36.7327,1.0
8828301251fffff,30.6601,1.0
8828301253fffff,12.9406,1.0
8828301255fffff,25.5493,1.0
8828301257fffff,9.2282,1.0
8828301259fffff,3.3829,1.0
882830125bfffff,5.5227,1.0
882830125dfffff,31.0049,1.0
8828301261fffff,20.2367,1.0
8828301263fffff,12.5984,1.0
8828301265fffff,26.3416,1.0
8828301267fffff,22.7095,1.0
8828301269fffff,30.8549,1.0
882830126bfffff,17.5871,1.0
882830126dfffff,17.3028,1.0
8828301281fffff,15.5958,1.0
8828301283fffff,7.6543,1.0
8828301285fffff,8.1665,1.0
8828301287fffff,8.7914,1.0
8828301289fffff,11.1569,1.0
882830128bfffff,10.431,1.0
882830128dfffff,6.6574,1.0
8828301291fffff,0.0,0.0423
8828301295fffff,4.1581,0.8496
8828301297fffff,0.0,0.0137
8828301299fffff,1.3219,0.7677
882830129dfffff,6.032,0.9944
88283012a1fffff,5.1798,1.0
88283012a3fffff,2.7981,1.0
88283012a5fffff,19.7195,1.0
88283012a7fffff,6.1708,1.0
88283012a9fffff,3.6749,1.0
88283012abfffff,5.2733,1.0
88283012adfffff,11.5411,1.0
88283012b1fffff,4.8568,0.9677
88283012b3fffff,0.0,0.1083
88283012b5fffff,5.7145,1.0
88283012b7fffff,2.9767,0.9997
88283012b9fffff,6.1691,1.0
88283012bbfffff,1.1739,0.7037
88283012bdfffff,4.7159,1.0
88283012c1fffff,9.825,1.0
88283012c3fffff,14.6796,1.0
88283012c5fffff,11.8812,1.0
88283012c7fffff,9.4654,1.0
88283012c9fffff,22.0463,1.0
88283012cbfffff,23.7759,1.0
88283012cdfffff,29.2357,1.0
88283012d1fffff,10.7559,1.0
88283012d3fffff,7.4818,1.0
88283012d5fffff,13.6789,1.0
88283012d7fffff,8.8755,1.0
88283012d9fffff,10.6077,1.0
88283012dbfffff,15.9785,1.0
88283012ddfffff,12.7892,1.0
88283012e1fffff,8.9478,1.0
88283012e3fffff,3.0199,1.0
88283012e5fffff,5.3793,1.0
88283012e7fffff,3.6553,1.0
