h3,pop,pct65,income,ac_est,ac_src,occupied,ac_homes,ac_covered_homes,ac_coverage,acs_year
8828301001fffff,67.0,19.95,108585.45625579731,63.17,lace,27.797551484330633,17.55904323318375,27.797551484330633,1.0,2024
8828301003fffff,84.0,39.86,91379.45652743921,59.19,lace,43.088694187423684,25.504251334259646,43.088694187423684,1.0,2024
8828301005fffff,84.0,39.67,91540.10016591896,59.22,lace,42.86524313425889,25.384959457507907,42.86524313425889,1.0,2024
8828301007fffff,85.0,41.04,90357.08363563682,59.0,lace,44.25596255204508,26.111024712822502,44.25596255204508,1.0,2024
8828301009fffff,79.0,34.78,95763.69880577404,60.06,lace,38.48893947546366,23.1147550940404,38.48893947546366,1.0,2024
882830100bfffff,83.0,38.89,92211.11182198382,59.35,lace,42.17095652658862,25.027580262310003,42.17095652658862,1.0,2024
882830100dfffff,66.0,18.62,109729.24612900129,63.5,lace,27.0058083410843,17.148074466723806,27.0058083410843,1.0,2024
8828301011fffff,85.0,41.04,90357.0,59.0,lace,44.24319738186592,26.10348645530089,44.24319738186592,1.0,2024
8828301013fffff,348.0,25.94,120232.52910475414,59.0,lace,158.97037979316372,93.79252407796659,158.97037979316372,1.0,2024
8828301015fffff,93.0,39.25,96804.6873404369,59.0,lace,47.72827186508299,28.159680400398965,47.72827186508299,1.0,2024
8828301017fffff,518.0,23.31,154376.15025755396,59.0,lace,235.91672625083564,139.19086848799304,235.91672625083564,1.0,2024
8828301019fffff,208.0,27.33,88348.63526064395,59.08,lace,93.14720006545133,55.033697887197015,93.14720006545133,1.0,2024
882830101bfffff,246.0,26.5,87250.16749242555,59.07,lace,109.17919310795295,64.49588622590777,109.17919310795295,1.0,2024
882830101dfffff,87.0,40.76,90204.55802205633,59.0,lace,44.81186774323841,26.439001968510663,44.81186774323841,1.0,2024
8828301029fffff,5.0,41.04,90357.0,59.0,lace,2.4117479424295403,1.4229312860334287,2.4117479424295403,1.0,2024
882830102bfffff,22.0,41.04,90357.0,59.0,lace,11.387128002173029,6.718405521282087,11.387128002173029,1.0,2024
8828301031fffff,0.0,41.04,90357.0,59.0,lace,0.014743743373703553,0.008698808590485097,0.014743743373703553,1.0,2024
8828301039fffff,85.0,41.04,90357.0,59.0,lace,44.004105624077575,25.962422318205768,44.004105624077575,1.0,2024
882830103bfffff,121.0,27.84,138031.30939142773,59.0,lace,56.84705670987846,33.53976345882829,56.84705670987846,1.0,2024
882830103dfffff,25.0,41.04,90357.0,59.0,lace,12.90990922586711,7.616846443261595,12.90990922586711,1.0,2024
8828301041fffff,44.0,35.89,107777.40422002751,63.26,lace,20.454974536811665,12.940284372550838,20.454974536811665,1.0,2024
8828301043fffff,70.0,34.81,106555.30371175255,59.28,lace,33.47741282621002,19.84449408489361,33.47741282621002,1.0,2024
8828301045fffff,65.0,23.85,106486.13876454228,62.67,lace,27.986059730682047,17.538044966792622,27.986059730682047,1.0,2024
8828301047fffff,78.0,33.55,96826.60646424878,60.28,lace,37.462143463136314,22.581647077253546,37.462143463136314,1.0,2024
8828301049fffff,21.0,26.13,142368.0,77.1,lace,7.5852571065114995,5.848233229120366,7.5852571065114995,1.0,2024
882830104bfffff,32.0,16.88,157733.79545850964,66.88,lace,10.593430009189394,7.08507879745134,10.593430009189394,1.0,2024
882830104dfffff,21.0,26.12,142363.93598632998,77.1,lace,7.586602292577294,5.849123155164195,7.586602292577294,1.0,2024
8828301051fffff,43.0,11.98,165875.0,60.9,lace,13.794627093001107,8.400927899637674,13.794627093001107,1.0,2024
8828301053fffff,43.0,11.98,165875.0,60.9,lace,13.792678077713358,8.399740949327434,13.792678077713358,1.0,2024
8828301055fffff,67.0,33.1,110987.59770903851,59.36,lace,31.158281886875812,18.49610788836708,31.158281886875812,1.0,2024
