h3,city,city_kind,city_geoid
8828301001fffff,Unincorporated,none,
8828301003fffff,Unincorporated,none,
8828301005fffff,Unincorporated,none,
8828301007fffff,Unincorporated,none,
8828301009fffff,Unincorporated,none,
882830100bfffff,Unincorporated,none,
882830100dfffff,Unincorporated,none,
8828301011fffff,Crockett,cdp,0617274
8828301013fffff,Crockett,cdp,0617274
8828301015fffff,Unincorporated,none,
8828301017fffff,Crockett,cdp,0617274
8828301019fffff,Unincorporated,none,
882830101bfffff,Unincorporated,none,
882830101dfffff,Unincorporated,none,
8828301029fffff,Unincorporated,none,
882830102bfffff,Unincorporated,none,
8828301031fffff,Unincorporated,none,
8828301039fffff,Unincorporated,none,
882830103bfffff,Unincorporated,none,
882830103dfffff,Unincorporated,none,
8828301041fffff,Unincorporated,none,
8828301043fffff,Unincorporated,none,
8828301045fffff,Unincorporated,none,
8828301047fffff,Unincorporated,none,
8828301049fffff,Unincorporated,none,
882830104bfffff,Unincorporated,none,
882830104dfffff,Unincorporated,none,
8828301051fffff,Unincorporated,none,
8828301053fffff,Unincorporated,none,
8828301055fffff,Unincorporated,none,
8828301057fffff,Unincorporated,none,
8828301059fffff,Unincorporated,none,
882830105bfffff,Unincorporated,none,
882830105dfffff,Unincorporated,none,
8828301061fffff,Unincorporated,none,
8828301063fffff,Unincorporated,none,
8828301065fffff,Unincorporated,none,
8828301067fffff,Unincorporated,none,
8828301069fffff,Unincorporated,none,
882830106bfffff,Unincorporated,none,
882830106dfffff,Unincorporated,none,
88283010c1fffff,Unincorporated,none,
88283010c3fffff,Unincorporated,none,
88283010c5fffff,Unincorporated,none,
88283010c7fffff,Unincorporated,none,
88283010c9fffff,Unincorporated,none,
88283010cbfffff,Unincorporated,none,
88283010cdfffff,Crockett,cdp,0617274
88283010d1fffff,Unincorporated,none,
88283010d9fffff,Rodeo,cdp,0662490
88283010dbfffff,Unincorporated,none,
88283010ddfffff,Unincorporated,none,
88283010e9fffff,Unincorporated,none,
88283010edfffff,Unincorporated,none,
882830110dfffff,Martinez,city,0646114
8828301141fffff,Martinez,city,0646114
8828301143fffff,Martinez,city,0646114
8828301145fffff,Martinez,city,0646114
8828301147fffff,Martinez,city,0646114
8828301149fffff,Martinez,city,0646114
882830114bfffff,Martinez,city,0646114
882830114dfffff,Unincorporated,none,
8828301159fffff,Martinez,city,0646114
882830115dfffff,Martinez,city,0646114
8828301161fffff,Unincorporated,none,
8828301163fffff,Unincorporated,none,
8828301165fffff,Unincorporated,none,
8828301167fffff,Unincorporated,none,
8828301169fffff,Unincorporated,none,
882830116bfffff,Martinez,city,0646114
882830116dfffff,Unincorporated,none,
8828301201fffff,Unincorporated,none,
8828301203fffff,Unincorporated,none,
8828301205fffff,Unincorporated,none,
8828301207fffff,Unincorporated,none,
8828301209fffff,Unincorporated,none,
882830120bfffff,Unincorporated,none,
882830120dfffff,Unincorporated,none,
8828301211fffff,Hercules,city,0633308
8828301213fffff,Hercules,city,0633308
8828301215fffff,Unincorporated,none,
8828301217fffff,Hercules,city,0633308
8828301219fffff,Unincorporated,none,
882830121bfffff,Pinole,city,0657288
882830121dfffff,Unincorporated,none,
8828301221fffff,Unincorporated,none,
8828301223fffff,Unincorporated,none,
8828301225fffff,Unincorporated,none,
8828301227fffff,Unincorporated,none,
8828301229fffff,Unincorporated,none,
882830122bfffff,Unincorporated,none,
882830122dfffff,Unincorporated,none,
8828301231fffff,Hercules,city,0633308
8828301233fffff,Unincorporated,none,
8828301235fffff,Unincorporated,none,
8828301237fffff,Unincorporated,none,
8828301239fffff,Unincorporated,none,
882830123bfffff,Hercules,city,0633308
882830123dfffff,Unincorporated,none,
8828301241fffff,Unincorporated,none,
8828301243fffff,Unincorporated,none,
8828301245fffff,Unincorporated,none,
8828301247fffff,Unincorporated,none,
8828301249fffff,Unincorporated,none,
882830124bfffff,Unincorporated,none,
882830124dfffff,Unincorporated,none,
8828301251fffff,Unincorporated,none,
8828301253fffff,Unincorporated,none,
8828301255fffff,Unincorporated,none,
8828301257fffff,Unincorporated,none,
8828301259fffff,Unincorporated,none,
882830125bfffff,Unincorporated,none,
882830125dfffff,Unincorporated,none,
8828301261fffff,Unincorporated,none,
8828301263fffff,Unincorporated,none,
8828301265fffff,Unincorporated,none,
8828301267fffff,Unincorporated,none,
8828301269fffff,Unincorporated,none,
882830126bfffff,Unincorporated,none,
882830126dfffff,Unincorporated,none,
8828301281fffff,Hercules,city,0633308
8828301283fffff,Hercules,city,0633308
8828301285fffff,Rodeo,cdp,0662490
8828301287fffff,Rodeo,cdp,0662490
8828301289fffff,Hercules,city,0633308
882830128bfffff,Hercules,city,0633308
882830128dfffff,Hercules,city,0633308
8828301291fffff,Hercules,city,0633308
8828301293fffff,Hercules,city,0633308
8828301295fffff,Hercules,city,0633308
8828301297fffff,Hercules,city,0633308
8828301299fffff,Hercules,city,0633308
882830129bfffff,Hercules,city,0633308
882830129dfffff,Hercules,city,0633308
88283012a1fffff,Rodeo,cdp,0662490
88283012a3fffff,Rodeo,cdp,0662490
88283012a5fffff,Unincorporated,none,
88283012a7fffff,Unincorporated,none,
88283012a9fffff,Rodeo,cdp,0662490
88283012abfffff,Rodeo,cdp,0662490
88283012adfffff,Unincorporated,none,
88283012b1fffff,Rodeo,cdp,0662490
88283012b3fffff,Unincorporated,none,
88283012b5fffff,Rodeo,cdp,0662490
88283012b7fffff,Rodeo,cdp,0662490
88283012b9fffff,Rodeo,cdp,0662490
88283012bbfffff,Rodeo,cdp,0662490
88283012bdfffff,Rodeo,cdp,0662490
88283012c1fffff,Hercules,city,0633308
88283012c3fffff,Hercules,city,0633308
88283012c5fffff,Hercules,city,0633308
88283012c7fffff,Hercules,city,0633308
88283012c9fffff,Pinole,city,0657288
88283012cbfffff,Hercules,city,0633308
88283012cdfffff,Hercules,city,0633308
88283012d1fffff,Hercules,city,0633308
88283012d3fffff,Hercules,city,0633308
88283012d5fffff,Hercules,city,0633308
88283012d7fffff,Hercules,city,0633308
88283012d9fffff,Pinole,city,0657288
88283012dbfffff,Pinole,city,0657288
88283012ddfffff,Hercules,city,0633308
88283012e1fffff,Unincorporated,none,
88283012e3fffff,Unincorporated,none,
88283012e5fffff,Unincorporated,none,
88283012e7fffff,Unincorporated,none,
88283012e9fffff,Hercules,city,0633308
88283012ebfffff,Unincorporated,none,
88283012edfffff,Hercules,city,0633308
8828301301fffff,Martinez,city,0646114
8828301303fffff,Martinez,city,0646114
8828301305fffff,Martinez,city,0646114
8828301307fffff,Martinez,city,0646114
8828301309fffff,Martinez,city,0646114
882830130bfffff,Unincorporated,none,
882830130dfffff,Martinez,city,0646114
8828301311fffff,Unincorporated,none,
8828301313fffff,Unincorporated,none,
8828301315fffff,Unincorporated,none,
8828301317fffff,Unincorporated,none,
8828301319fffff,Unincorporated,none,
882830131bfffff,Unincorporated,none,
882830131dfffff,Unincorporated,none,
8828301321fffff,Martinez,city,0646114
8828301323fffff,Unincorporated,none,
8828301325fffff,Vine Hill,cdp,0682842
8828301327fffff,Unincorporated,none,
8828301329fffff,Martinez,city,0646114
882830132bfffff,Martinez,city,0646114
882830132dfffff,Martinez,city,0646114
8828301331fffff,Martinez,city,0646114
8828301333fffff,Martinez,city,0646114
8828301335fffff,Martinez,city,0646114
8828301337fffff,Martinez,city,0646114
8828301339fffff,Martinez,city,0646114
882830133bfffff,Martinez,city,0646114
882830133dfffff,Martinez,city,0646114
8828301341fffff,Martinez,city,0646114
8828301343fffff,Unincorporated,none,
8828301345fffff,Martinez,city,0646114
