h3,name,holc,access_min,access_km,street_m,access_src,access_snap_m,access_quality
8828301001fffff,Waterstone Terrace SW 2,,46.6,3.73,1002.0,routed,436.0,approach-review
8828301003fffff,Crockett SE 3,,43.4,3.47,2573.0,routed,551.0,approach-review
8828301005fffff,Benicia,,32.8,2.63,281.0,routed,173.0,approach-review
8828301007fffff,Waterstone Terrace SW,,33.5,2.68,1826.0,routed,134.0,approach-review
8828301009fffff,Rancho Benicia SW 5,,60.8,4.86,1107.0,routed,536.0,approach-review
882830100bfffff,Crockett SE 4,,59.9,4.79,744.0,routed,638.0,approach-review
882830100dfffff,Rancho Benicia SW 2,,51.6,4.13,0.0,routed,394.0,approach-review
8828301011fffff,Crockett,,16.0,1.28,2513.0,routed,307.0,approach-review
8828301013fffff,Alexander Park,,0.6,0.05,10850.0,routed,25.0,network-estimate
8828301015fffff,Crockett E 2,,26.3,2.1,2534.0,routed,346.0,approach-review
8828301017fffff,Crockett E,,12.8,1.02,6418.0,routed,152.0,approach-review
8828301019fffff,Crockett S,,29.9,2.39,1270.0,routed,232.0,approach-review
882830101bfffff,Valona S,,13.4,1.07,759.0,routed,349.0,approach-review
882830101dfffff,Crockett SE,,32.5,2.6,199.0,routed,490.0,approach-review
8828301029fffff,Rancho Benicia,,42.7,3.41,355.0,routed,929.0,approach-review
882830102bfffff,Waterstone Terrace,,40.2,3.21,0.0,routed,780.0,approach-review
8828301031fffff,Hampton Bay,,50.6,4.04,0.0,routed,1059.0,approach-review
8828301039fffff,Aqua Vista Condominium SW,,39.6,3.17,0.0,routed,243.0,approach-review
882830103bfffff,Glen Cove SE,,33.5,2.68,11.0,routed,505.0,approach-review
882830103dfffff,Aqua Vista Condominium,,40.8,3.26,0.0,routed,765.0,approach-review
8828301041fffff,Rancho Benicia SW 6,,63.8,5.1,1117.0,routed,315.0,approach-review
8828301043fffff,Crockett SE 6,,64.0,5.12,786.0,routed,186.0,approach-review
8828301045fffff,Martinez W 7,,45.9,3.67,1177.0,routed,475.0,approach-review
8828301047fffff,Rancho Benicia SW 4,,64.1,5.13,1040.0,routed,360.0,approach-review
8828301049fffff,Martinez W 10,,87.5,7.0,102.0,routed,606.0,approach-review
882830104bfffff,Crockett SE 7,,77.7,6.22,1487.0,routed,53.0,network-estimate
882830104dfffff,Martinez W 8,,61.7,4.93,364.0,routed,576.0,approach-review
8828301051fffff,Crockett S 3,,47.9,3.83,0.0,routed,545.0,approach-review
8828301053fffff,Crockett S 2,,37.7,3.02,0.0,routed,548.0,approach-review
8828301055fffff,Crockett SE 5,,52.2,4.17,0.0,routed,578.0,approach-review
8828301057fffff,Crockett SE 2,,42.7,3.41,502.0,routed,336.0,approach-review
8828301059fffff,Crockett S 5,,71.2,5.7,0.0,routed,319.0,approach-review
882830105bfffff,Valona S 4,,59.5,4.76,0.0,routed,309.0,approach-review
882830105dfffff,Crockett S 4,,71.9,5.75,0.0,routed,820.0,approach-review
8828301061fffff,Rancho Benicia S 3,,47.4,3.79,607.0,routed,369.0,approach-review
8828301063fffff,Rancho Benicia SW,,36.3,2.91,0.0,routed,422.0,approach-review
8828301065fffff,Rancho Benicia S 2,,26.3,2.11,0.0,routed,1125.0,approach-review
8828301067fffff,Rancho Benicia S,,41.7,3.34,0.0,routed,1246.0,approach-review
8828301069fffff,Martinez W 4,,37.8,3.02,360.0,routed,223.0,approach-review
882830106bfffff,Rancho Benicia SW 3,,51.7,4.14,0.0,routed,59.0,network-estimate
882830106dfffff,Martinez NW 3,,17.4,1.39,1300.0,routed,630.0,approach-review
88283010c1fffff,Valona W,,19.1,1.53,2456.0,routed,240.0,approach-review
88283010c3fffff,Carquinez Highlands Mobile Home Park SW,,32.5,2.6,0.0,routed,505.0,approach-review
88283010c5fffff,Valona N,,11.7,0.94,1674.0,routed,270.0,approach-review
88283010c7fffff,Carquinez Highlands Mobile Home Park,,24.1,1.93,0.0,routed,958.0,approach-review
88283010c9fffff,Valona W 2,,36.9,2.95,1172.0,routed,414.0,approach-review
88283010cbfffff,Bayo Vista NE 2,,35.3,2.82,887.0,routed,235.0,approach-review
88283010cdfffff,Valona,,13.7,1.1,5674.0,routed,283.0,approach-review
88283010d1fffff,Bay Village Apartments,,47.8,3.82,0.0,routed,1675.0,approach-review
88283010d9fffff,Bayo Vista N 2,,38.0,3.04,0.0,routed,948.0,approach-review
88283010dbfffff,Bayo Vista N 4,,49.4,3.95,0.0,routed,1853.0,approach-review
88283010ddfffff,Bayo Vista N 3,,43.3,3.46,0.0,routed,627.0,approach-review
88283010e9fffff,Crockett N,,10.1,0.8,60.0,routed,489.0,approach-review
88283010edfffff,Glen Cove,,22.3,1.78,496.0,routed,989.0,approach-review
882830110dfffff,Maingate Townhomes E 2,,89.9,7.19,0.0,routed,1073.0,approach-review
8828301141fffff,Mountain View N 3,,38.2,3.06,1834.0,routed,179.0,approach-review
8828301143fffff,Maingate Townhomes SE 2,,41.1,3.29,0.0,routed,341.0,approach-review
8828301145fffff,Vine Hill N 4,,66.5,5.32,0.0,routed,419.0,approach-review
8828301147fffff,Maingate Townhomes E,,50.7,4.06,0.0,routed,839.0,approach-review
8828301149fffff,Mountain View N 2,,23.7,1.89,4130.0,routed,74.0,network-estimate
882830114bfffff,Martinez NE 2,,28.7,2.3,0.0,routed,196.0,approach-review
882830114dfffff,Mountain View NE 2,,35.7,2.86,1615.0,routed,408.0,approach-review
8828301159fffff,Maingate Townhomes,,25.6,2.05,0.0,routed,605.0,approach-review
882830115dfffff,Maingate Townhomes SE,,28.9,2.31,185.0,routed,346.0,approach-review
8828301161fffff,Vine Hill N 7,,79.8,6.38,170.0,routed,981.0,approach-review
8828301163fffff,Maingate Townhomes E 4,,88.6,7.09,0.0,routed,1002.0,approach-review
8828301165fffff,Vine Hill N 8,,92.2,7.38,0.0,routed,1650.0,approach-review
8828301167fffff,Maingate Townhomes E 5,,91.6,7.33,0.0,routed,1932.0,approach-review
8828301169fffff,Vine Hill N 5,,67.9,5.43,0.0,routed,48.0,network-estimate
882830116bfffff,Maingate Townhomes E 3,,78.5,6.28,0.0,routed,158.0,approach-review
882830116dfffff,Vine Hill N 6,,73.7,5.9,910.0,routed,843.0,approach-review
8828301201fffff,Carriage Hills North E 6,,80.9,6.47,0.0,routed,494.0,approach-review
8828301203fffff,Carriage Hills North NE 8,,61.8,4.94,0.0,routed,454.0,approach-review
8828301205fffff,Carriage Hills North E 8,,116.6,9.33,160.0,routed,328.0,approach-review
8828301207fffff,Carriage Hills North NE 12,,63.8,5.1,0.0,routed,687.0,approach-review
8828301209fffff,Carriage Hills North E 5,,71.0,5.68,790.0,routed,269.0,approach-review
882830120bfffff,Carriage Hills North E 4,,58.9,4.71,0.0,routed,150.0,approach-review
882830120dfffff,Carriage Hills North E 7,,91.4,7.31,1002.0,routed,383.0,approach-review
8828301211fffff,Carriage Hills North NE 6,,26.9,2.16,3924.0,routed,247.0,approach-review
8828301213fffff,Carriage Hills North N 4,,12.0,0.96,8400.0,routed,96.0,network-estimate
8828301215fffff,Carriage Hills North NE 7,,33.4,2.67,0.0,routed,538.0,approach-review
8828301217fffff,Carriage Hills North NE 9,,26.4,2.11,943.0,routed,480.0,approach-review
8828301219fffff,Carriage Hills North NE 3,,38.5,3.08,0.0,routed,467.0,approach-review
882830121bfffff,Carriage Hills North N 3,,27.0,2.16,687.0,routed,126.0,approach-review
882830121dfffff,Carriage Hills North NE 5,,41.2,3.3,0.0,routed,298.0,approach-review
8828301221fffff,Martinez SW 10,,80.3,6.42,0.0,routed,487.0,approach-review
8828301223fffff,Martinez W 11,,83.7,6.7,450.0,routed,839.0,approach-review
8828301225fffff,Martinez SW 9,,66.7,5.34,831.0,routed,222.0,approach-review
8828301227fffff,Martinez W 9,,73.8,5.9,395.0,routed,382.0,approach-review
8828301229fffff,Alhambra Valley W 15,,99.5,7.96,751.0,routed,540.0,approach-review
882830122bfffff,Carriage Hills North NE 15,,99.0,7.92,697.0,routed,501.0,approach-review
882830122dfffff,Alhambra Valley NW 6,,89.0,7.12,853.0,routed,219.0,approach-review
8828301231fffff,Carriage Hills North NE 13,,66.1,5.29,744.0,routed,505.0,approach-review
8828301233fffff,Alexandria Victoria By the Bay E 5,,60.8,4.86,0.0,routed,232.0,approach-review
8828301235fffff,Crockett S 7,,82.3,6.59,0.0,routed,640.0,approach-review
8828301237fffff,Crockett S 6,,72.6,5.81,313.0,routed,196.0,approach-review
8828301239fffff,Carriage Hills North NE 10,,53.2,4.26,0.0,routed,267.0,approach-review
882830123bfffff,Carriage Hills North NE 11,,40.1,3.21,0.0,routed,426.0,approach-review
882830123dfffff,Carriage Hills North NE 14,,67.9,5.43,878.0,routed,345.0,approach-review
8828301241fffff,Carriage Hills South E 6,,97.9,7.83,0.0,routed,415.0,approach-review
8828301243fffff,Carriage Hills South E 4,,83.9,6.71,0.0,routed,594.0,approach-review
8828301245fffff,Carriage Hills South E 9,,100.7,8.06,1219.0,routed,110.0,approach-review
8828301247fffff,Carriage Hills South E 7,,89.5,7.16,1484.0,routed,276.0,approach-review
8828301249fffff,Carriage Hills South E 5,,94.3,7.54,241.0,routed,600.0,approach-review
882830124bfffff,Carriage Hills South E 3,,102.0,8.16,0.0,routed,1187.0,approach-review
882830124dfffff,Carriage Hills South E 8,,109.1,8.73,1689.0,routed,233.0,approach-review
8828301251fffff,Carriage Hills North E 2,,63.7,5.1,0.0,routed,826.0,approach-review
8828301253fffff,Carriage Hills North NE,,58.3,4.66,1319.0,routed,220.0,approach-review
8828301255fffff,Carriage Hills North E 3,,76.8,6.14,852.0,routed,737.0,approach-review
8828301257fffff,Carriage Hills North NE 4,,51.8,4.15,998.0,routed,356.0,approach-review
8828301259fffff,Carriage Hills South E,,80.5,6.44,0.0,routed,214.0,approach-review
882830125bfffff,Carriage Hills North E,,72.5,5.8,1775.0,routed,339.0,approach-review
882830125dfffff,Carriage Hills South E 2,,93.3,7.46,0.0,routed,1126.0,approach-review
8828301261fffff,Alhambra Valley W 14,,112.2,8.97,1142.0,routed,368.0,approach-review
8828301263fffff,Carriage Hills North E 9,,111.0,8.88,138.0,routed,321.0,approach-review
8828301265fffff,Alhambra Valley W 10,,100.3,8.02,1513.0,routed,443.0,approach-review
8828301267fffff,Alhambra Valley W 13,,103.7,8.29,450.0,routed,757.0,approach-review
8828301269fffff,Carriage Hills South E 13,,107.4,8.6,957.0,routed,233.0,approach-review
882830126bfffff,Carriage Hills South E 10,,98.2,7.86,1151.0,routed,548.0,approach-review
882830126dfffff,Alhambra Valley W 11,,110.6,8.85,2129.0,routed,209.0,approach-review
8828301281fffff,Alexandria Victoria By the Bay E,,23.3,1.86,9097.0,routed,71.0,network-estimate
8828301283fffff,Alexandria Victoria By the Bay N,,14.3,1.14,12007.0,routed,140.0,approach-review
8828301285fffff,Alexandria Victoria By the Bay E 2,,34.8,2.78,6064.0,routed,85.0,network-estimate
8828301287fffff,Bayo Vista S,,22.8,1.82,6500.0,routed,50.0,network-estimate
8828301289fffff,Valley Oak Villas NE,,17.2,1.38,7459.0,routed,63.0,network-estimate
882830128bfffff,Alexandria Victoria By the Bay,,22.2,1.78,6068.0,routed,136.0,approach-review
882830128dfffff,Alexandria Victoria By the Bay SE,,23.3,1.87,6310.0,routed,136.0,approach-review
8828301291fffff,Dylan Apartment Homes N,,43.1,3.45,0.0,routed,749.0,approach-review
8828301293fffff,Dylan Apartment Homes NW,,32.5,2.6,0.0,routed,1634.0,approach-review
8828301295fffff,Rodeo W,,10.8,0.86,4192.0,routed,170.0,approach-review
8828301297fffff,Rodeo W 2,,16.3,1.31,0.0,routed,887.0,approach-review
8828301299fffff,Hercules,,25.9,2.07,1666.0,routed,171.0,approach-review
882830129bfffff,Hercules NW,,37.1,2.97,0.0,routed,1093.0,approach-review
882830129dfffff,Dylan Apartment Homes,,31.0,2.48,3920.0,routed,90.0,network-estimate
88283012a1fffff,Bayo Vista E 3,,48.2,3.86,344.0,routed,233.0,approach-review
88283012a3fffff,Bayo Vista E 2,,36.4,2.91,1274.0,routed,283.0,approach-review
88283012a5fffff,Valona S 2,,30.4,2.44,0.0,routed,658.0,approach-review
88283012a7fffff,Valona SW,,51.5,4.12,0.0,routed,205.0,approach-review
88283012a9fffff,Bayo Vista SE 2,,40.9,3.27,761.0,routed,363.0,approach-review
88283012abfffff,Bayo Vista SE,,37.3,2.98,0.0,routed,341.0,approach-review
88283012adfffff,Valona S 3,,60.1,4.81,0.0,routed,881.0,approach-review
88283012b1fffff,Bayo Vista,,15.6,1.25,2534.0,routed,98.0,network-estimate
88283012b3fffff,Bayo Vista NW,,29.2,2.34,0.0,routed,702.0,approach-review
88283012b5fffff,Bayo Vista NE,,29.1,2.33,1441.0,routed,280.0,approach-review
88283012b7fffff,Bayo Vista N,,28.6,2.28,609.0,routed,138.0,approach-review
88283012b9fffff,Rodeo,,5.4,0.43,12179.0,routed,149.0,approach-review
88283012bbfffff,Bayo Vista W,,8.3,0.67,1379.0,routed,292.0,approach-review
88283012bdfffff,Bayo Vista E,,22.1,1.77,630.0,routed,171.0,approach-review
88283012c1fffff,Valley Oak Villas SE,,17.7,1.42,4590.0,routed,306.0,approach-review
88283012c3fffff,Valley Oak Villas,,19.9,1.59,10167.0,routed,208.0,approach-review
88283012c5fffff,Valley Oak Villas E 2,,1.9,0.15,7677.0,routed,121.0,approach-review
88283012c7fffff,Valley Oak Villas E,,13.5,1.08,9299.0,routed,100.0,network-estimate
88283012c9fffff,Valley Oak Villas SE 2,,33.7,2.69,2758.0,routed,326.0,approach-review
88283012cbfffff,Westwood SE,,25.9,2.08,3552.0,routed,219.0,approach-review
88283012cdfffff,Valley Oak Villas SE 3,,14.3,1.14,371.0,routed,463.0,approach-review
88283012d1fffff,Glenwood,,16.0,1.28,11980.0,routed,129.0,approach-review
88283012d3fffff,Olympian Hills W,,22.4,1.79,8456.0,routed,134.0,approach-review
