h3,lst_c,green_pct
8828301001fffff,38.64,24.81
8828301003fffff,36.96,29.19
8828301005fffff,33.68,0.3
8828301007fffff,35.18,10.33
8828301009fffff,39.43,24.43
882830100bfffff,38.21,26.18
882830100dfffff,38.52,27.7
8828301011fffff,39.22,23.25
8828301013fffff,39.09,21.77
8828301015fffff,37.71,24.8
8828301017fffff,31.43,4.01
8828301019fffff,37.08,34.83
882830101bfffff,38.27,31.37
882830101dfffff,41.43,20.63
8828301029fffff,22.51,0.0
882830102bfffff,22.09,0.0
8828301031fffff,22.77,0.0
8828301039fffff,31.39,0.05
882830103bfffff,23.72,0.0
882830103dfffff,22.15,0.0
8828301041fffff,40.91,15.18
8828301043fffff,42.54,14.13
8828301045fffff,40.09,15.41
8828301047fffff,41.28,15.96
8828301049fffff,39.81,19.53
882830104bfffff,40.94,17.96
882830104dfffff,38.37,26.68
8828301051fffff,39.49,24.18
8828301053fffff,39.96,26.05
8828301055fffff,40.58,21.21
8828301057fffff,36.68,33.86
8828301059fffff,40.47,16.87
882830105bfffff,44.83,15.92
882830105dfffff,42.17,18.07
8828301061fffff,26.27,0.0
8828301063fffff,25.78,0.0
8828301065fffff,21.98,0.0
8828301067fffff,21.93,0.0
8828301069fffff,35.29,34.73
882830106bfffff,38.11,28.0
882830106dfffff,31.19,17.57
88283010c1fffff,33.32,16.06
88283010c3fffff,22.47,0.0
88283010c5fffff,27.61,0.0
88283010c7fffff,22.79,0.0
88283010c9fffff,41.7,11.44
88283010cbfffff,37.16,1.39
88283010cdfffff,40.82,19.54
88283010d1fffff,23.02,0.0
88283010d9fffff,21.31,0.0
88283010dbfffff,21.67,0.0
88283010ddfffff,21.81,0.0
88283010e9fffff,24.25,0.0
88283010edfffff,24.78,0.0
882830110dfffff,22.04,0.0
8828301141fffff,40.31,18.29
8828301143fffff,25.67,0.0
8828301145fffff,34.64,29.09
8828301147fffff,26.42,0.11
8828301149fffff,43.55,6.92
882830114bfffff,34.18,14.75
882830114dfffff,37.29,17.83
8828301159fffff,21.99,0.0
882830115dfffff,22.5,0.0
8828301161fffff,27.37,10.12
8828301163fffff,22.34,0.0
8828301165fffff,27.7,17.44
8828301167fffff,22.11,0.0
8828301169fffff,35.58,24.15
882830116bfffff,28.93,1.47
882830116dfffff,31.67,23.47
8828301201fffff,40.38,21.33
8828301203fffff,41.15,18.74
8828301205fffff,41.73,24.96
8828301207fffff,35.07,40.09
8828301209fffff,41.21,18.5
882830120bfffff,43.59,14.33
882830120dfffff,40.73,24.98
8828301211fffff,40.32,26.99
8828301213fffff,41.1,25.61
8828301215fffff,43.1,18.38
8828301217fffff,42.36,21.02
8828301219fffff,41.35,28.86
882830121bfffff,38.78,32.39
882830121dfffff,45.37,16.09
8828301221fffff,39.21,23.48
8828301223fffff,40.8,17.5
8828301225fffff,36.44,37.28
8828301227fffff,40.91,19.03
8828301229fffff,39.97,23.9
882830122bfffff,38.38,29.47
882830122dfffff,40.47,21.45
8828301231fffff,38.47,29.6
8828301233fffff,40.34,22.27
8828301235fffff,40.82,13.04
8828301237fffff,42.03,13.52
8828301239fffff,40.15,28.46
882830123bfffff,38.12,36.45
882830123dfffff,39.6,25.28
8828301241fffff,36.66,36.59
8828301243fffff,35.39,36.38
8828301245fffff,40.22,17.23
8828301247fffff,40.42,22.54
8828301249fffff,33.25,45.0
882830124bfffff,34.79,40.87
882830124dfffff,37.99,32.08
8828301251fffff,38.32,29.67
8828301253fffff,43.59,22.32
8828301255fffff,38.98,27.2
8828301257fffff,43.03,19.89
8828301259fffff,43.02,16.16
882830125bfffff,41.65,19.42
882830125dfffff,37.35,30.63
8828301261fffff,41.11,25.53
8828301263fffff,42.98,20.83
8828301265fffff,39.82,24.4
8828301267fffff,40.12,25.91
8828301269fffff,38.48,30.9
882830126bfffff,40.21,23.5
882830126dfffff,42.54,21.75
8828301281fffff,43.93,20.19
8828301283fffff,43.24,19.2
8828301285fffff,46.66,15.98
8828301287fffff,44.77,15.55
8828301289fffff,44.48,15.83
882830128bfffff,42.63,17.25
882830128dfffff,44.93,16.16
8828301291fffff,21.44,0.0
8828301293fffff,20.76,0.0
8828301295fffff,32.52,0.0
8828301297fffff,21.14,0.0
8828301299fffff,28.48,0.0
882830129bfffff,21.02,0.0
882830129dfffff,37.94,8.47
88283012a1fffff,44.13,14.45
88283012a3fffff,44.6,10.62
88283012a5fffff,40.69,25.37
88283012a7fffff,41.65,17.23
88283012a9fffff,45.61,13.55
88283012abfffff,45.49,14.51
88283012adfffff,45.13,17.93
88283012b1fffff,36.89,0.0
88283012b3fffff,21.57,0.0
88283012b5fffff,42.93,6.92
88283012b7fffff,31.34,0.0
88283012b9fffff,43.93,15.7
