h3,land,land_frac,wc_code
8828301001fffff,grassland,0.713,30
8828301003fffff,grassland,0.52,30
8828301005fffff,open water,0.411,80
8828301007fffff,grassland,0.453,30
8828301009fffff,grassland,0.765,30
882830100bfffff,grassland,0.694,30
882830100dfffff,grassland,0.68,30
8828301011fffff,grassland,0.532,30
8828301013fffff,developed,0.554,50
8828301015fffff,grassland,0.63,30
8828301017fffff,open water,0.41,80
8828301019fffff,woodland,0.539,10
882830101bfffff,grassland,0.487,30
882830101dfffff,grassland,0.826,30
8828301029fffff,open water,0.976,80
882830102bfffff,open water,1.0,80
8828301031fffff,open water,0.981,80
8828301039fffff,open water,0.412,80
882830103bfffff,open water,0.919,80
882830103dfffff,open water,1.0,80
8828301041fffff,grassland,0.818,30
8828301043fffff,grassland,0.95,30
8828301045fffff,grassland,0.891,30
8828301047fffff,grassland,0.927,30
8828301049fffff,grassland,0.884,30
882830104bfffff,grassland,0.797,30
882830104dfffff,grassland,0.691,30
8828301051fffff,grassland,0.733,30
8828301053fffff,grassland,0.692,30
8828301055fffff,grassland,0.828,30
8828301057fffff,woodland,0.498,10
8828301059fffff,grassland,0.896,30
882830105bfffff,grassland,0.886,30
882830105dfffff,grassland,0.913,30
8828301061fffff,open water,0.72,80
8828301063fffff,open water,0.807,80
8828301065fffff,open water,1.0,80
8828301067fffff,open water,1.0,80
8828301069fffff,woodland,0.506,10
882830106bfffff,grassland,0.613,30
882830106dfffff,woodland,0.477,10
88283010c1fffff,woodland,0.408,10
88283010c3fffff,open water,0.983,80
88283010c5fffff,open water,0.649,80
88283010c7fffff,open water,0.984,80
88283010c9fffff,grassland,0.766,30
88283010cbfffff,grassland,0.325,30
88283010cdfffff,grassland,0.457,30
88283010d1fffff,open water,0.879,80
88283010d9fffff,open water,0.978,80
88283010dbfffff,open water,0.959,80
88283010ddfffff,open water,0.997,80
88283010e9fffff,open water,0.92,80
88283010edfffff,open water,0.898,80
882830110dfffff,open water,1.0,80
8828301141fffff,developed,0.355,50
8828301143fffff,open water,0.8,80
8828301145fffff,wetland,0.337,90
8828301147fffff,open water,0.559,80
8828301149fffff,developed,0.76,50
882830114bfffff,open water,0.263,80
882830114dfffff,open water,0.302,80
8828301159fffff,open water,1.0,80
882830115dfffff,open water,0.992,80
8828301161fffff,open water,0.526,80
8828301163fffff,open water,0.997,80
8828301165fffff,wetland,0.338,90
8828301167fffff,open water,1.0,80
8828301169fffff,grassland,0.457,30
882830116bfffff,open water,0.505,80
882830116dfffff,open water,0.39,80
8828301201fffff,grassland,0.744,30
8828301203fffff,grassland,0.896,30
8828301205fffff,grassland,0.629,30
8828301207fffff,woodland,0.636,10
8828301209fffff,grassland,0.827,30
882830120bfffff,grassland,0.977,30
882830120dfffff,grassland,0.688,30
8828301211fffff,grassland,0.356,30
8828301213fffff,developed,0.351,50
8828301215fffff,grassland,0.879,30
8828301217fffff,grassland,0.763,30
8828301219fffff,grassland,0.633,30
882830121bfffff,woodland,0.475,10
882830121dfffff,grassland,0.97,30
8828301221fffff,grassland,0.774,30
8828301223fffff,grassland,0.89,30
8828301225fffff,woodland,0.561,10
8828301227fffff,grassland,0.867,30
8828301229fffff,grassland,0.767,30
882830122bfffff,grassland,0.616,30
882830122dfffff,grassland,0.743,30
8828301231fffff,grassland,0.613,30
8828301233fffff,grassland,0.717,30
8828301235fffff,grassland,0.995,30
8828301237fffff,grassland,0.886,30
8828301239fffff,grassland,0.624,30
882830123bfffff,woodland,0.529,10
882830123dfffff,grassland,0.659,30
8828301241fffff,woodland,0.494,10
8828301243fffff,woodland,0.519,10
8828301245fffff,grassland,0.849,30
8828301247fffff,grassland,0.625,30
8828301249fffff,woodland,0.836,10
882830124bfffff,woodland,0.662,10
882830124dfffff,grassland,0.506,30
8828301251fffff,grassland,0.652,30
8828301253fffff,grassland,0.791,30
8828301255fffff,grassland,0.681,30
8828301257fffff,grassland,0.872,30
8828301259fffff,grassland,0.974,30
882830125bfffff,grassland,0.814,30
882830125dfffff,grassland,0.632,30
8828301261fffff,grassland,0.729,30
8828301263fffff,grassland,0.772,30
8828301265fffff,grassland,0.675,30
8828301267fffff,grassland,0.713,30
8828301269fffff,grassland,0.548,30
882830126bfffff,grassland,0.72,30
882830126dfffff,grassland,0.778,30
8828301281fffff,developed,0.576,50
8828301283fffff,developed,0.772,50
8828301285fffff,developed,0.554,50
8828301287fffff,developed,0.614,50
8828301289fffff,developed,0.604,50
882830128bfffff,developed,0.445,50
882830128dfffff,grassland,0.427,30
8828301291fffff,open water,1.0,80
8828301293fffff,open water,1.0,80
8828301295fffff,open water,0.467,80
8828301297fffff,open water,1.0,80
8828301299fffff,open water,0.676,80
882830129bfffff,open water,1.0,80
882830129dfffff,developed,0.353,50
88283012a1fffff,grassland,0.829,30
88283012a3fffff,grassland,0.484,30
88283012a5fffff,grassland,0.696,30
88283012a7fffff,grassland,0.877,30
88283012a9fffff,grassland,0.824,30
88283012abfffff,grassland,0.791,30
88283012adfffff,grassland,0.875,30
88283012b1fffff,developed,0.494,50
88283012b3fffff,open water,1.0,80
88283012b5fffff,developed,0.725,50
88283012b7fffff,open water,0.492,80
88283012b9fffff,developed,0.774,50
88283012bbfffff,open water,0.81,80
88283012bdfffff,developed,0.518,50
88283012c1fffff,grassland,0.441,30
88283012c3fffff,developed,0.575,50
88283012c5fffff,developed,0.569,50
88283012c7fffff,developed,0.623,50
88283012c9fffff,grassland,0.459,30
88283012cbfffff,grassland,0.444,30
88283012cdfffff,grassland,0.586,30
88283012d1fffff,developed,0.615,50
88283012d3fffff,developed,0.504,50
88283012d5fffff,developed,0.533,50
88283012d7fffff,developed,0.521,50
88283012d9fffff,developed,0.542,50
88283012dbfffff,developed,0.606,50
88283012ddfffff,developed,0.475,50
88283012e1fffff,grassland,0.803,30
88283012e3fffff,grassland,0.719,30
88283012e5fffff,grassland,0.858,30
88283012e7fffff,grassland,0.735,30
88283012e9fffff,grassland,0.647,30
88283012ebfffff,grassland,0.575,30
88283012edfffff,grassland,0.573,30
8828301301fffff,woodland,0.412,10
8828301303fffff,grassland,0.817,30
