id,previous_rank,current_rank,previous_score,current_score,previous_pop,current_pop,previous_ac,current_ac,rank_change
641,1,1,100.0,100.0,2824,2824,48.76,48.76,0
597,2,2,99.5,99.5,3243,3243,46.19,46.19,0
598,3,3,98.7,98.7,5824,5824,47.6,47.6,0
601,4,4,98.2,98.2,5022,5022,48.44,48.44,0
840,5,5,97.9,97.9,2771,2771,48.42,48.42,0
637,6,6,97.8,97.8,3116,3116,49.04,49.04,0
595,7,7,97.7,97.7,4591,4591,47.69,47.69,0
624,8,8,97.5,97.5,3441,3441,49.29,49.29,0
626,9,9,97.5,97.5,4267,4267,49.85,49.85,0
642,10,10,97.1,97.1,3506,3506,47.57,47.57,0
638,11,11,96.6,96.6,4887,4887,46.59,46.59,0
625,12,12,96.3,96.3,3431,3431,50.52,50.52,0
614,13,13,95.8,95.8,3344,3344,48.41,48.41,0
632,14,14,95.7,95.7,4604,4604,51.42,51.42,0
640,15,15,95.5,95.5,3036,3036,50.53,50.53,0
830,16,16,95.4,95.4,3626,3626,49.37,49.37,0
618,17,17,94.8,94.8,3481,3481,50.6,50.6,0
613,18,18,94.1,94.1,3927,3927,47.49,47.49,0
839,19,19,93.5,93.5,3772,3772,48.41,48.41,0
599,20,20,93.2,93.2,4951,4951,50.53,50.53,0
619,21,21,92.9,92.9,2248,2248,50.49,50.49,0
831,22,22,92.8,92.8,3245,3245,50.38,50.38,0
600,23,23,92.5,92.5,2259,2259,49.82,49.82,0
855,24,24,92.2,92.2,2997,2997,53.58,53.58,0
622,25,25,91.5,91.5,4378,4378,48.96,48.96,0
616,26,26,91.4,91.4,2433,2433,50.03,50.03,0
856,27,27,91.0,91.0,2408,2408,54.91,54.91,0
643,28,28,90.7,90.7,2492,2492,55.14,55.14,0
145,29,29,90.1,90.1,2548,2548,52.4,52.4,0
612,30,30,87.0,87.0,2571,2571,53.52,53.52,0
623,31,31,86.0,86.0,1955,1955,53.32,53.32,0
620,32,32,85.9,85.9,1899,1899,47.97,47.97,0
610,33,33,85.7,85.7,3093,3093,53.29,53.29,0
835,34,34,85.3,85.3,1973,1973,49.92,49.92,0
738,35,35,84.4,84.4,2058,2058,53.21,53.21,0
764,36,36,84.4,84.4,2623,2623,51.92,51.92,0
838,37,37,84.0,84.0,2066,2066,54.44,54.44,0
775,38,38,82.1,82.1,2083,2083,54.42,54.42,0
692,39,39,82.0,82.0,2350,2350,53.97,53.97,0
843,40,40,81.2,81.2,1622,1622,51.85,51.85,0
779,41,41,80.9,80.9,1912,1912,52.54,52.54,0
832,42,42,80.9,80.9,2142,2142,56.17,56.17,0
777,43,43,80.9,80.9,2294,2294,56.3,56.3,0
1955,44,44,80.8,80.8,2563,2563,76.49,76.49,0
765,45,45,80.3,80.3,2307,2307,52.96,52.96,0
833,46,46,80.0,80.0,2059,2059,57.04,57.04,0
1249,47,47,79.4,79.4,2742,2742,66.88,66.88,0
1907,48,48,78.7,78.7,2797,2797,71.28,71.28,0
766,49,49,77.7,77.7,1922,1922,53.09,53.09,0
639,50,50,77.7,77.7,2005,2005,60.74,60.74,0
1903,51,51,77.5,77.5,2870,2870,71.89,71.89,0
155,52,52,77.0,77.0,2250,2250,57.84,57.84,0
763,53,53,76.8,76.8,2074,2074,55.62,55.62,0
774,54,54,76.6,76.6,1646,1646,53.62,53.62,0
1446,55,55,76.3,76.3,3212,3212,76.99,76.99,0
596,56,56,76.2,76.2,1400,1400,49.6,49.6,0
1225,57,57,75.7,75.7,4427,4427,67.24,67.24,0
151,58,58,75.7,75.7,1932,1932,60.14,60.14,0
762,59,59,75.2,75.2,1981,1981,56.17,56.17,0
836,60,60,75.1,75.1,1522,1522,51.39,51.39,0
1379,61,61,74.5,74.5,2499,2499,73.6,73.6,0
750,62,62,74.0,74.0,1682,1682,55.11,55.11,0
636,63,63,73.9,73.9,1103,1103,47.76,47.76,0
837,64,64,73.7,73.7,1555,1555,56.05,56.05,0
1406,65,65,72.6,72.6,3288,3288,74.93,74.93,0
852,66,66,72.5,72.5,1969,1969,62.48,62.48,0
1905,67,67,72.5,72.5,2360,2360,75.71,75.71,0
1902,68,68,72.4,72.4,2127,2127,72.51,72.51,0
1405,69,69,72.3,72.3,1964,1964,73.53,73.53,0
1307,70,70,72.2,72.2,1999,1999,71.34,71.34,0
1305,71,71,72.1,72.1,2201,2201,70.18,70.18,0
609,72,72,71.9,71.9,1751,1751,52.04,52.04,0
1450,73,73,71.8,71.8,2420,2420,74.5,74.5,0
1254,74,74,71.5,71.5,4417,4417,68.39,68.39,0
734,75,75,71.4,71.4,1269,1269,53.7,53.7,0
1940,76,76,71.4,71.4,2756,2756,83.45,83.45,0
1252,77,77,71.3,71.3,3208,3208,67.75,67.75,0
123,78,78,71.2,71.2,1407,1407,56.04,56.04,0
602,79,79,71.2,71.2,988,988,51.41,51.41,0
1906,80,80,70.6,70.6,2101,2101,76.3,76.3,0
1908,81,81,70.5,70.5,2298,2298,71.46,71.46,0
693,82,82,70.4,70.4,1721,1721,57.6,57.6,0
604,83,83,70.4,70.4,1514,1514,51.6,51.6,0
157,84,84,70.4,70.4,1933,1933,58.8,58.8,0
1953,85,85,70.1,70.1,2274,2274,80.18,80.18,0
150,86,86,70.1,70.1,1897,1897,60.76,60.76,0
1959,87,87,70.0,70.0,1809,1809,74.62,74.62,0
156,88,88,69.7,69.7,1878,1878,67.73,67.73,0
149,89,89,69.6,69.6,1956,1956,68.3,68.3,0
1958,90,90,69.5,69.5,2231,2231,78.18,78.18,0
1900,91,91,69.2,69.2,1961,1961,76.49,76.49,0
158,92,92,69.2,69.2,2062,2062,70.91,70.91,0
1311,93,93,69.2,69.2,2016,2016,71.38,71.38,0
1336,94,94,69.1,69.1,2061,2061,75.68,75.68,0
159,95,95,69.1,69.1,1492,1492,56.04,56.04,0
1996,96,96,68.7,68.7,2449,2449,85.84,85.84,0
691,97,97,68.5,68.5,1634,1634,57.43,57.43,0
1255,98,98,68.1,68.1,1777,1777,68.12,68.12,0
1994,99,99,67.7,67.7,3561,3561,83.46,83.46,0
760,100,100,67.7,67.7,1348,1348,56.22,56.22,0
1310,101,101,67.5,67.5,1529,1529,69.17,69.17,0
1250,102,102,67.4,67.4,5100,5100,66.66,66.66,0
736,103,103,67.3,67.3,1055,1055,56.7,56.7,0
1964,104,104,67.2,67.2,1787,1787,70.32,70.32,0
615,105,105,67.1,67.1,2103,2103,60.49,60.49,0
1503,106,106,66.9,66.9,4708,4708,67.77,67.77,0
778,107,107,66.6,66.6,960,960,56.52,56.52,0
1995,108,108,66.6,66.6,2892,2892,81.86,81.86,0
627,109,109,66.4,66.4,951,951,61.51,61.51,0
1984,110,110,65.7,65.7,2352,2352,86.98,86.98,0
1475,111,111,65.7,65.7,1679,1679,69.9,69.9,0
628,112,112,65.6,65.6,676,676,54.57,54.57,0
1215,113,113,65.6,65.6,2292,2292,70.43,70.43,0
1971,114,114,65.5,65.5,2032,2032,82.33,82.33,0
160,115,115,65.2,65.2,1767,1767,54.59,54.59,0
1939,116,116,65.2,65.2,2782,2782,90.55,90.55,0
630,117,117,65.1,65.1,531,531,50.98,50.98,0
1241,118,118,64.4,64.4,2433,2433,75.58,75.58,0
1992,119,119,64.4,64.4,2545,2545,86.54,86.54,0
684,120,120,64.4,64.4,1414,1414,55.39,55.39,0
1798,121,121,64.2,64.2,2581,2581,95.48,95.48,0
1937,122,122,64.2,64.2,2382,2382,89.34,89.34,0
1938,123,123,64.1,64.1,1978,1978,86.62,86.62,0
122,124,124,64.1,64.1,1087,1087,60.9,60.9,0
120,125,125,63.6,63.6,1473,1473,62.14,62.14,0
1899,126,126,62.9,62.9,2357,2357,93.28,93.28,0
1501,127,127,62.9,62.9,1587,1587,73.71,73.71,0
1921,128,128,62.6,62.6,1714,1714,79.07,79.07,0
834,129,129,62.6,62.6,1444,1444,47.4,47.4,0
124,130,130,62.5,62.5,893,893,60.1,60.1,0
608,131,131,62.4,62.4,494,494,50.34,50.34,0
1933,132,132,62.4,62.4,1864,1864,74.72,74.72,0
690,133,133,62.1,62.1,1645,1645,55.81,55.81,0
761,134,134,62.0,62.0,1411,1411,67.41,67.41,0
1042,135,135,61.9,61.9,2026,2026,88.07,88.07,0
125,136,136,61.9,61.9,1545,1545,73.67,73.67,0
1381,137,137,61.9,61.9,1248,1248,74.87,74.87,0
161,138,138,61.9,61.9,1203,1203,66.65,66.65,0
752,139,139,61.9,61.9,998,998,55.72,55.72,0
803,140,140,61.7,61.7,173,173,47.3,47.3,0
776,141,141,61.6,61.6,1292,1292,54.97,54.97,0
799,142,142,61.6,61.6,254,254,47.33,47.33,0
1040,143,143,61.6,61.6,2373,2373,89.25,89.25,0
1262,144,144,61.6,61.6,2323,2323,85.02,85.02,0
695,145,145,61.6,61.6,1247,1247,56.16,56.16,0
1227,146,146,61.5,61.5,1690,1690,72.08,72.08,0
1904,147,147,61.4,61.4,1706,1706,79.11,79.11,0
129,148,148,61.4,61.4,934,934,65.11,65.11,0
