h3,lidar_pct,lidar_coverage
8928301b493ffff,0.0,1.0
8928301b49bffff,0.0,1.0
8928301b4d3ffff,0.0,1.0
892830c5027ffff,0.5949,1.0
892830c502fffff,1.0,1.0
892830c5037ffff,0.8096,1.0
892830c50a7ffff,0.5034,1.0
892830c50afffff,1.0124,1.0
892830c5103ffff,0.0,1.0
892830c5107ffff,0.0,1.0
892830c510bffff,0.0,1.0
892830c510fffff,0.0,1.0
892830c5113ffff,0.0,1.0
892830c5117ffff,0.0,1.0
892830c511bffff,0.0,1.0
892830c5123ffff,0.0,1.0
892830c5127ffff,0.894,1.0
892830c512bffff,0.6497,1.0
892830c512fffff,0.0,1.0
892830c5133ffff,0.0,1.0
892830c5137ffff,0.084,1.0
892830c513bffff,0.0,1.0
892830c5143ffff,0.0,1.0
892830c5147ffff,0.0199,1.0
892830c514bffff,0.0,1.0
892830c514fffff,0.0676,1.0
892830c5153ffff,0.0086,1.0
892830c5157ffff,0.0,1.0
892830c515bffff,0.5494,1.0
892830c5163ffff,0.0009,1.0
892830c5167ffff,1.7865,1.0
892830c516bffff,2.3728,1.0
892830c516fffff,1.7434,1.0
892830c5173ffff,0.0029,1.0
892830c5177ffff,0.1098,1.0
892830c517bffff,0.2059,1.0
892830c518bffff,0.0,1.0
892830c51abffff,0.0,1.0
892830c51c3ffff,0.0,1.0
892830c51c7ffff,0.0,1.0
892830c51cbffff,0.0,1.0
892830c51cfffff,0.0,1.0
892830c51d3ffff,0.0,1.0
892830c51d7ffff,0.0,1.0
892830c51dbffff,0.0,1.0
892830c5203ffff,2.4583,1.0
892830c5207ffff,1.0,1.0
892830c520bffff,8.1277,1.0
892830c520fffff,1.2011,1.0
892830c5217ffff,1.0,1.0
892830c5223ffff,1.8979,1.0
892830c5227ffff,1.0601,1.0
892830c522bffff,12.5743,1.0
892830c522fffff,12.6551,1.0
892830c5233ffff,1.0,1.0
892830c5237ffff,1.8568,1.0
892830c523bffff,1.0,1.0
892830c5243ffff,9.5131,1.0
892830c5247ffff,3.0672,1.0
892830c524bffff,10.0,1.0
892830c524fffff,9.4465,1.0
892830c5253ffff,9.4701,1.0
892830c5257ffff,4.1872,1.0
892830c525bffff,10.0,1.0
892830c5263ffff,2.6718,1.0
892830c5267ffff,5.0194,1.0
892830c526bffff,7.3118,1.0
892830c526fffff,8.5946,1.0
892830c5273ffff,6.0936,1.0
892830c5277ffff,4.3728,1.0
892830c527bffff,5.1375,1.0
892830c52a3ffff,0.9829,1.0
892830c52abffff,1.0,1.0
892830c52afffff,0.8265,1.0
892830c52bbffff,1.0,1.0
892830c52c3ffff,2.4648,1.0
892830c52cbffff,9.887,1.0
892830c52cfffff,4.3622,1.0
892830c52d3ffff,2.7184,1.0
892830c52dbffff,5.9469,1.0
892830c5303ffff,8.5089,1.0
892830c5307ffff,3.2769,1.0
892830c530bffff,5.1139,1.0
892830c530fffff,10.7941,1.0
892830c5317ffff,4.7678,1.0
892830c5323ffff,2.6397,1.0
892830c5327ffff,0.9478,1.0
892830c532bffff,4.1234,1.0
892830c532fffff,8.2883,1.0
892830c5333ffff,3.0,1.0
892830c5337ffff,2.6749,1.0
892830c533bffff,4.7565,1.0
892830c5343ffff,10.426,1.0
892830c5347ffff,8.9053,1.0
892830c534bffff,6.6702,1.0
892830c534fffff,7.9499,1.0
892830c5353ffff,2.1552,1.0
892830c5357ffff,6.7162,1.0
892830c535bffff,5.0785,1.0
892830c5363ffff,8.1911,1.0
892830c5367ffff,6.4793,1.0
892830c536bffff,8.0047,1.0
892830c536fffff,7.784,1.0
892830c5373ffff,5.4179,1.0
892830c5377ffff,11.8565,1.0
892830c537bffff,4.4668,1.0
892830c5387ffff,3.8127,1.0
892830c538fffff,6.8764,1.0
892830c5397ffff,1.1162,1.0
892830c53a3ffff,1.721,1.0
892830c53a7ffff,3.0648,1.0
892830c53abffff,2.4308,1.0
892830c53afffff,3.7453,1.0
892830c53b3ffff,1.1569,1.0
