h3,canopy_pct,row_canopy_pct,row_m2,canopy_m2,assessed_m2,coverage_frac,flat_frac
8928301b493ffff,0.0,0.0,0.0,0.0,178660.8,1.0,1.0
8928301b49bffff,0.0,0.0,0.0,0.0,178672.32,1.0,1.0
8928301b4d3ffff,0.0,0.0,0.0,0.0,178683.84,1.0,1.0
892830c5027ffff,0.7203820525644956,0.0,0.0,790.0,178505.28,1.0,0.9751
892830c502fffff,0.0,0.0,0.0,0.0,178548.48,1.0,0.9906
892830c5037ffff,0.345331170979272,0.0,0.0,379.0,178472.16,1.0,0.9885
892830c50a7ffff,0.0,0.0,0.0,0.0,178452.0,1.0,1.0
892830c50afffff,0.0,0.0,0.0,0.0,178459.2,1.0,1.0
892830c5103ffff,0.0,0.0,0.0,0.0,178521.12,1.0,0.9994
892830c5107ffff,0.0,0.0,0.0,0.0,178524.0,1.0,1.0
892830c510bffff,0.0,0.0,0.0,0.0,178529.76,1.0,0.9974
892830c510fffff,0.0,0.0,0.0,0.0,178532.64,1.0,1.0
892830c5113ffff,0.0,0.0,0.0,0.0,178464.96,1.0,0.9995
892830c5117ffff,0.0,0.0,0.0,0.0,178476.48,1.0,0.9999
892830c511bffff,0.0,0.0,0.0,0.0,178505.28,1.0,1.0
892830c5123ffff,0.0,0.0,0.0,0.0,178518.24,1.0,1.0
892830c5127ffff,1.1300665456745311,0.0,0.0,1238.0,178524.0,1.0,0.9531
892830c512bffff,0.7122001580874643,0.0,0.0,780.0,178534.08,1.0,0.9571
892830c512fffff,0.0,0.0,0.0,0.0,178536.96,1.0,0.9993
892830c5133ffff,0.0,0.0,0.0,0.0,178525.44,1.0,0.9999
892830c5137ffff,0.24684984108033106,0.0,0.0,270.0,178505.28,1.0,0.9949
892830c513bffff,0.0,0.0,0.0,0.0,178528.32,1.0,0.9997
892830c5143ffff,0.0,0.0,0.0,0.0,178548.48,1.0,0.9999
892830c5147ffff,0.0,0.0,0.0,0.0,178547.04,1.0,0.9925
892830c514bffff,0.0,0.0,0.0,0.0,178558.56,1.0,0.9969
892830c514fffff,0.07661661048115231,0.0,0.0,84.0,178551.36,1.0,0.9476
892830c5153ffff,0.0,0.0,0.0,0.0,178522.56,1.0,0.9984
