h3,city,city_kind,city_geoid
8928301b493ffff,Bay Point,cdp,0604415
8928301b49bffff,Bay Point,cdp,0604415
8928301b4d3ffff,Bay Point,cdp,0604415
892830c5027ffff,Pittsburg,city,0657456
892830c502fffff,Pittsburg,city,0657456
892830c5037ffff,Pittsburg,city,0657456
892830c50a7ffff,Pittsburg,city,0657456
892830c50afffff,Pittsburg,city,0657456
892830c5103ffff,Pittsburg,city,0657456
892830c5107ffff,Pittsburg,city,0657456
892830c510bffff,Pittsburg,city,0657456
892830c510fffff,Pittsburg,city,0657456
892830c5113ffff,Pittsburg,city,0657456
892830c5117ffff,Pittsburg,city,0657456
892830c511bffff,Pittsburg,city,0657456
892830c5123ffff,Pittsburg,city,0657456
892830c5127ffff,Pittsburg,city,0657456
892830c512bffff,Pittsburg,city,0657456
892830c512fffff,Pittsburg,city,0657456
892830c5133ffff,Pittsburg,city,0657456
892830c5137ffff,Pittsburg,city,0657456
892830c513bffff,Pittsburg,city,0657456
892830c5143ffff,Pittsburg,city,0657456
892830c5147ffff,Pittsburg,city,0657456
892830c514bffff,Pittsburg,city,0657456
892830c514fffff,Pittsburg,city,0657456
892830c5153ffff,Pittsburg,city,0657456
892830c5157ffff,Pittsburg,city,0657456
892830c515bffff,Pittsburg,city,0657456
892830c5163ffff,Pittsburg,city,0657456
892830c5167ffff,Pittsburg,city,0657456
892830c516bffff,Pittsburg,city,0657456
892830c516fffff,Pittsburg,city,0657456
892830c5173ffff,Pittsburg,city,0657456
892830c5177ffff,Pittsburg,city,0657456
892830c517bffff,Pittsburg,city,0657456
892830c518bffff,Pittsburg,city,0657456
892830c51abffff,Pittsburg,city,0657456
892830c51c3ffff,Pittsburg,city,0657456
892830c51c7ffff,Pittsburg,city,0657456
892830c51cbffff,Pittsburg,city,0657456
892830c51cfffff,Pittsburg,city,0657456
892830c51d3ffff,Pittsburg,city,0657456
892830c51d7ffff,Pittsburg,city,0657456
892830c51dbffff,Pittsburg,city,0657456
892830c5203ffff,Pittsburg,city,0657456
892830c5207ffff,Pittsburg,city,0657456
892830c520bffff,Pittsburg,city,0657456
892830c520fffff,Pittsburg,city,0657456
892830c5217ffff,Pittsburg,city,0657456
892830c5223ffff,Pittsburg,city,0657456
892830c5227ffff,Pittsburg,city,0657456
892830c522bffff,Pittsburg,city,0657456
892830c522fffff,Pittsburg,city,0657456
892830c5233ffff,Pittsburg,city,0657456
892830c5237ffff,Pittsburg,city,0657456
892830c523bffff,Pittsburg,city,0657456
892830c5243ffff,Pittsburg,city,0657456
892830c5247ffff,Pittsburg,city,0657456
892830c524bffff,Pittsburg,city,0657456
892830c524fffff,Pittsburg,city,0657456
892830c5253ffff,Pittsburg,city,0657456
892830c5257ffff,Pittsburg,city,0657456
892830c525bffff,Pittsburg,city,0657456
892830c5263ffff,Pittsburg,city,0657456
892830c5267ffff,Pittsburg,city,0657456
892830c526bffff,Pittsburg,city,0657456
892830c526fffff,Pittsburg,city,0657456
892830c5273ffff,Pittsburg,city,0657456
892830c5277ffff,Pittsburg,city,0657456
892830c527bffff,Pittsburg,city,0657456
892830c52a3ffff,Pittsburg,city,0657456
892830c52abffff,Pittsburg,city,0657456
892830c52afffff,Pittsburg,city,0657456
892830c52bbffff,Pittsburg,city,0657456
892830c52c3ffff,Pittsburg,city,0657456
892830c52cbffff,Pittsburg,city,0657456
892830c52cfffff,Pittsburg,city,0657456
892830c52d3ffff,Pittsburg,city,0657456
892830c52dbffff,Pittsburg,city,0657456
892830c5303ffff,Pittsburg,city,0657456
