h3,name,holc,access_min,access_km,street_m,access_src,access_snap_m,access_quality
8928301b493ffff,Shore Acres N 8,,117.7,9.42,0.0,routed,1249.0,approach-review
8928301b49bffff,Shore Acres N 10,,117.3,9.38,0.0,routed,1634.0,approach-review
8928301b4d3ffff,Shore Acres NE 19,,116.9,9.35,0.0,routed,1604.0,approach-review
892830c5027ffff,Oak Hills S 11,,95.2,7.62,361.0,routed,824.0,approach-review
892830c502fffff,Oak Hills S 9,,96.7,7.74,0.0,routed,461.0,approach-review
892830c5037ffff,Oak Hills S 14,,91.0,7.28,370.0,routed,484.0,approach-review
892830c50a7ffff,Oak Hills S 20,,83.1,6.65,340.0,routed,409.0,approach-review
892830c50afffff,Oak Hills S 17,,87.5,7.0,283.0,routed,201.0,approach-review
892830c5103ffff,Oak Hills SW 7,,108.3,8.67,0.0,routed,283.0,approach-review
892830c5107ffff,Vista Del Mar SW 7,,80.8,6.47,0.0,routed,380.0,approach-review
892830c510bffff,Oak Hills SW 5,,106.9,8.55,0.0,routed,168.0,approach-review
892830c510fffff,Vista Del Mar S 3,,103.4,8.27,0.0,routed,400.0,approach-review
892830c5113ffff,Oak Hills SW 9,,83.6,6.69,0.0,routed,338.0,approach-review
892830c5117ffff,Oak Hills SW 10,,81.4,6.51,0.0,routed,334.0,approach-review
892830c511bffff,Oak Hills SW 6,,110.5,8.84,0.0,routed,274.0,approach-review
892830c5123ffff,Vista Del Mar SW 6,,90.5,7.24,95.0,routed,168.0,approach-review
892830c5127ffff,Positano at San Marco S 7,,68.9,5.51,0.0,routed,357.0,approach-review
892830c512bffff,Vista Del Mar SW 4,,91.7,7.33,978.0,routed,257.0,approach-review
892830c512fffff,Vista Del Mar W 4,,90.1,7.21,0.0,routed,212.0,approach-review
892830c5133ffff,Vista Del Mar SW 8,,78.1,6.25,0.0,routed,165.0,approach-review
892830c5137ffff,Vista Del Mar SW 9,,68.8,5.51,0.0,routed,354.0,approach-review
892830c513bffff,Vista Del Mar SW 5,,90.8,7.27,165.0,routed,197.0,approach-review
892830c5143ffff,Oak Hills S 6,,97.2,7.78,0.0,routed,499.0,approach-review
892830c5147ffff,Oak Hills SW 3,,99.7,7.98,0.0,routed,514.0,approach-review
892830c514bffff,Oak Hills S 4,,93.3,7.47,0.0,routed,191.0,approach-review
892830c514fffff,Oak Hills S 3,,94.6,7.57,0.0,routed,248.0,approach-review
892830c5153ffff,Oak Hills S 10,,99.8,7.98,0.0,routed,419.0,approach-review
892830c5157ffff,Oak Hills S 8,,111.2,8.9,0.0,routed,515.0,approach-review
892830c515bffff,Oak Hills S 7,,95.1,7.61,287.0,routed,329.0,approach-review
892830c5163ffff,Vista Del Mar S 2,,98.9,7.91,305.0,routed,280.0,approach-review
892830c5167ffff,Vista Del Mar SW 2,,97.4,7.79,1081.0,routed,158.0,approach-review
892830c516bffff,Vista Del Mar S,,93.0,7.44,1164.0,routed,166.0,approach-review
892830c516fffff,Vista Del Mar SW,,97.2,7.78,1042.0,routed,137.0,approach-review
892830c5173ffff,Oak Hills SW 4,,101.4,8.11,0.0,routed,243.0,approach-review
892830c5177ffff,Vista Del Mar SW 3,,95.4,7.64,882.0,routed,295.0,approach-review
892830c517bffff,Oak Hills SW 2,,95.4,7.63,134.0,routed,310.0,approach-review
892830c518bffff,Oak Hills SW 11,,84.2,6.74,0.0,routed,410.0,approach-review
892830c51abffff,Vista Del Mar SW 10,,72.5,5.8,0.0,routed,561.0,approach-review
892830c51c3ffff,Oak Hills S 15,,92.6,7.41,0.0,routed,611.0,approach-review
892830c51c7ffff,Oak Hills SW 8,,92.9,7.43,0.0,routed,320.0,approach-review
892830c51cbffff,Oak Hills S 13,,92.8,7.42,0.0,routed,627.0,approach-review
892830c51cfffff,Oak Hills S 12,,108.6,8.69,0.0,routed,120.0,approach-review
892830c51d3ffff,Oak Hills S 19,,84.4,6.75,0.0,routed,345.0,approach-review
892830c51d7ffff,Oak Hills S 18,,85.2,6.82,0.0,routed,410.0,approach-review
892830c51dbffff,Oak Hills S 16,,88.6,7.09,0.0,routed,291.0,approach-review
892830c5203ffff,Woodland Hills Apartment Homes W 4,,32.7,2.61,0.0,routed,217.0,approach-review
892830c5207ffff,Woodland Hills Apartment Homes W 7,,36.7,2.94,0.0,routed,541.0,approach-review
892830c520bffff,Woodland Hills Apartment Homes W 3,,33.1,2.65,0.0,routed,413.0,approach-review
892830c520fffff,Woodland Hills Apartment Homes W 5,,36.9,2.95,0.0,routed,556.0,approach-review
892830c5217ffff,Woodland Hills Apartment Homes W 6,,35.1,2.81,0.0,routed,409.0,approach-review
892830c5223ffff,Woodland Hills Apartment Homes W 12,,53.3,4.27,0.0,routed,257.0,approach-review
892830c5227ffff,Emerald Cove Mobile Home Park S 5,,54.4,4.35,0.0,routed,328.0,approach-review
