h3,lst_c,green_pct
8928301b493ffff,22.26,0.0
8928301b49bffff,22.17,0.0
8928301b4d3ffff,22.16,0.0
892830c5027ffff,42.87,16.52
892830c502fffff,41.57,11.58
892830c5037ffff,43.36,13.03
892830c50a7ffff,46.88,13.41
892830c50afffff,43.76,12.66
892830c5103ffff,45.3,10.93
892830c5107ffff,46.13,12.41
892830c510bffff,44.32,13.29
892830c510fffff,44.41,11.56
892830c5113ffff,46.07,12.38
892830c5117ffff,45.83,12.98
892830c511bffff,45.66,11.94
892830c5123ffff,45.21,12.88
892830c5127ffff,45.41,14.74
892830c512bffff,45.96,11.16
892830c512fffff,42.8,13.57
892830c5133ffff,46.34,14.02
892830c5137ffff,43.71,14.11
892830c513bffff,45.64,12.91
892830c5143ffff,45.18,12.81
892830c5147ffff,42.61,14.44
892830c514bffff,45.15,11.55
892830c514fffff,44.65,13.07
892830c5153ffff,44.87,12.79
892830c5157ffff,44.24,12.47
892830c515bffff,44.12,19.05
892830c5163ffff,45.69,13.22
892830c5167ffff,46.08,12.71
892830c516bffff,47.15,9.03
892830c516fffff,48.15,7.9
892830c5173ffff,44.98,12.8
892830c5177ffff,44.18,10.8
892830c517bffff,44.61,17.85
892830c518bffff,44.53,13.24
892830c51abffff,45.84,12.91
892830c51c3ffff,45.44,11.6
892830c51c7ffff,46.58,11.87
892830c51cbffff,44.24,12.99
892830c51cfffff,45.37,11.99
892830c51d3ffff,46.18,13.38
892830c51d7ffff,44.23,12.72
892830c51dbffff,45.03,13.47
892830c5203ffff,46.72,9.99
892830c5207ffff,44.52,8.44
892830c520bffff,46.44,11.69
892830c520fffff,44.67,9.03
892830c5217ffff,46.3,8.58
892830c5223ffff,45.51,10.84
892830c5227ffff,46.17,9.4
892830c522bffff,48.92,14.4
892830c522fffff,47.63,16.67
892830c5233ffff,46.3,9.08
892830c5237ffff,47.79,9.91
892830c523bffff,46.58,8.81
892830c5243ffff,49.31,16.07
892830c5247ffff,46.82,10.72
892830c524bffff,49.32,14.32
892830c524fffff,48.36,11.12
892830c5253ffff,49.32,15.76
892830c5257ffff,46.94,10.51
892830c525bffff,49.6,16.61
892830c5263ffff,46.15,11.61
892830c5267ffff,47.9,11.85
892830c526bffff,47.62,11.46
892830c526fffff,46.75,14.89
892830c5273ffff,45.54,12.02
892830c5277ffff,46.28,11.38
892830c527bffff,46.84,9.96
892830c52a3ffff,45.68,8.96
892830c52abffff,46.62,7.96
892830c52afffff,47.83,10.05
892830c52bbffff,45.38,8.91
892830c52c3ffff,48.68,11.15
892830c52cbffff,49.64,15.29
892830c52cfffff,47.9,13.86
892830c52d3ffff,48.03,9.94
892830c52dbffff,46.53,13.48
892830c5303ffff,42.77,17.33
892830c5307ffff,46.35,13.36
892830c530bffff,46.48,14.72
892830c530fffff,45.91,16.75
892830c5317ffff,45.5,12.26
892830c5323ffff,48.05,7.13
892830c5327ffff,48.51,5.77
892830c532bffff,47.24,5.5
892830c532fffff,47.08,11.84
892830c5333ffff,46.58,16.53
892830c5337ffff,47.34,12.85
892830c533bffff,47.82,13.56
892830c5343ffff,47.89,19.73
892830c5347ffff,48.22,16.04
892830c534bffff,48.65,13.97
892830c534fffff,49.24,14.73
892830c5353ffff,44.99,10.22
892830c5357ffff,48.44,15.24
892830c535bffff,47.9,12.05
892830c5363ffff,46.56,10.57
892830c5367ffff,46.86,9.13
892830c536bffff,46.89,9.23
892830c536fffff,47.78,14.84
892830c5373ffff,47.68,14.93
892830c5377ffff,46.28,15.31
892830c537bffff,47.57,8.8
892830c5387ffff,44.97,13.98
892830c538fffff,45.87,15.06
892830c5397ffff,42.01,11.92
892830c53a3ffff,45.94,10.52
892830c53a7ffff,46.96,12.64
892830c53abffff,47.04,10.13
892830c53afffff,46.05,14.67
892830c53b3ffff,45.58,10.58
892830c53b7ffff,45.96,11.76
892830c53bbffff,46.04,10.31
892830c53c3ffff,47.78,9.61
892830c53c7ffff,47.36,8.64
892830c53cbffff,43.45,9.53
892830c53cfffff,46.42,11.52
892830c53dbffff,48.62,9.3
892830c564bffff,46.98,12.16
892830c564fffff,46.46,9.23
892830c566bffff,51.53,8.68
892830c567bffff,47.87,9.6
892830c5803ffff,43.81,11.53
892830c5807ffff,48.04,12.87
892830c580bffff,44.41,10.8
892830c580fffff,44.46,11.3
892830c5813ffff,45.08,12.54
892830c5817ffff,47.78,12.84
892830c581bffff,47.55,11.34
892830c5833ffff,46.86,12.78
892830c5843ffff,45.28,15.55
892830c5847ffff,45.68,12.0
892830c584bffff,44.84,13.73
892830c584fffff,44.73,11.6
892830c5853ffff,45.71,14.99
892830c5857ffff,46.62,12.99
892830c585bffff,46.24,18.03
892830c5873ffff,44.65,12.45
892830c5883ffff,45.93,11.7
892830c5887ffff,44.74,10.59
892830c588bffff,46.2,12.48
892830c588fffff,46.79,11.9
892830c5893ffff,45.67,12.91
892830c5897ffff,44.35,12.06
892830c589bffff,46.3,11.41
892830c58a3ffff,44.41,11.61
892830c58a7ffff,40.84,11.62
892830c58abffff,45.38,12.4
892830c58afffff,45.75,12.03
892830c58b3ffff,44.35,11.01
892830c58b7ffff,42.4,12.22
892830c58bbffff,46.16,11.37
892830c58c3ffff,46.31,13.34
892830c58c7ffff,47.48,13.1
892830c58cbffff,45.97,9.17
892830c58cfffff,45.92,15.3
892830c58d3ffff,45.32,10.41
892830c58d7ffff,48.38,10.37
892830c58dbffff,45.39,13.71
892830c5a03ffff,31.89,38.13
892830c5a07ffff,31.1,37.1
892830c5a0bffff,29.94,21.38
892830c5a0fffff,29.3,39.6
892830c5a13ffff,42.65,15.75
892830c5a17ffff,41.09,18.26
892830c5a1bffff,36.84,5.85
892830c5a2bffff,22.53,0.0
892830c5a3bffff,26.94,25.75
892830c5a43ffff,29.85,39.17
892830c5a47ffff,28.34,31.91
892830c5a4bffff,28.51,37.41
892830c5a4fffff,26.27,16.2
892830c5a53ffff,31.71,22.71
892830c5a57ffff,30.36,26.8
892830c5a5bffff,29.86,40.27
892830c5a63ffff,22.45,0.0
892830c5a67ffff,22.32,0.0
892830c5a6bffff,22.37,0.0
892830c5a6fffff,22.29,0.0
892830c5a73ffff,25.79,9.52
892830c5a77ffff,23.2,0.0
892830c5a7bffff,22.97,0.0
892830c5a83ffff,45.87,12.61
892830c5a87ffff,45.02,16.5
892830c5a8bffff,45.94,12.96
892830c5a8fffff,46.12,13.52
892830c5a93ffff,42.72,25.96
892830c5a97ffff,44.24,12.6
892830c5a9bffff,44.97,17.09
892830c5aa3ffff,43.98,16.21
892830c5aa7ffff,43.57,19.6
892830c5aabffff,37.39,27.26
892830c5ab3ffff,45.54,14.06
892830c5ab7ffff,45.96,10.77
892830c5abbffff,46.04,13.8
892830c5ac3ffff,44.52,10.83
892830c5ac7ffff,45.01,7.22
892830c5acbffff,41.19,13.78
892830c5acfffff,34.38,0.0
892830c5ad3ffff,46.53,13.65
892830c5ad7ffff,46.63,12.62
