h3,land,land_frac,wc_code
8928301b493ffff,open water,1.0,80
8928301b49bffff,open water,1.0,80
8928301b4d3ffff,open water,1.0,80
892830c5027ffff,grassland,0.984,30
892830c502fffff,grassland,1.0,30
892830c5037ffff,grassland,1.0,30
892830c50a7ffff,grassland,0.983,30
892830c50afffff,grassland,0.996,30
892830c5103ffff,grassland,0.999,30
892830c5107ffff,grassland,1.0,30
892830c510bffff,grassland,1.0,30
892830c510fffff,grassland,1.0,30
892830c5113ffff,grassland,1.0,30
892830c5117ffff,grassland,1.0,30
892830c511bffff,grassland,1.0,30
892830c5123ffff,grassland,1.0,30
892830c5127ffff,grassland,0.991,30
892830c512bffff,grassland,0.941,30
892830c512fffff,grassland,1.0,30
892830c5133ffff,grassland,1.0,30
892830c5137ffff,grassland,0.993,30
892830c513bffff,grassland,1.0,30
892830c5143ffff,grassland,1.0,30
892830c5147ffff,grassland,1.0,30
892830c514bffff,grassland,0.998,30
892830c514fffff,grassland,0.97,30
892830c5153ffff,grassland,1.0,30
892830c5157ffff,grassland,1.0,30
892830c515bffff,grassland,0.962,30
892830c5163ffff,grassland,0.997,30
892830c5167ffff,grassland,0.909,30
892830c516bffff,developed,0.808,50
892830c516fffff,developed,0.601,50
892830c5173ffff,grassland,1.0,30
892830c5177ffff,grassland,1.0,30
892830c517bffff,grassland,0.955,30
892830c518bffff,grassland,1.0,30
892830c51abffff,grassland,1.0,30
892830c51c3ffff,grassland,1.0,30
892830c51c7ffff,grassland,0.996,30
892830c51cbffff,grassland,1.0,30
892830c51cfffff,grassland,1.0,30
892830c51d3ffff,grassland,1.0,30
892830c51d7ffff,grassland,1.0,30
892830c51dbffff,grassland,0.999,30
892830c5203ffff,grassland,0.954,30
892830c5207ffff,grassland,0.983,30
892830c520bffff,grassland,0.812,30
892830c520fffff,grassland,0.984,30
892830c5217ffff,grassland,0.99,30
892830c5223ffff,grassland,0.953,30
892830c5227ffff,grassland,0.997,30
892830c522bffff,grassland,0.851,30
892830c522fffff,grassland,0.436,30
892830c5233ffff,grassland,0.976,30
892830c5237ffff,grassland,0.944,30
892830c523bffff,grassland,0.985,30
892830c5243ffff,developed,0.812,50
892830c5247ffff,grassland,0.703,30
892830c524bffff,developed,0.903,50
892830c524fffff,developed,0.752,50
892830c5253ffff,developed,0.771,50
892830c5257ffff,grassland,0.623,30
892830c525bffff,developed,0.864,50
892830c5263ffff,grassland,0.769,30
892830c5267ffff,grassland,0.928,30
892830c526bffff,grassland,0.524,30
892830c526fffff,grassland,0.429,30
892830c5273ffff,grassland,0.961,30
892830c5277ffff,grassland,0.948,30
892830c527bffff,grassland,0.634,30
892830c52a3ffff,grassland,0.953,30
892830c52abffff,grassland,0.985,30
892830c52afffff,grassland,0.93,30
892830c52bbffff,grassland,1.0,30
892830c52c3ffff,grassland,0.836,30
892830c52cbffff,developed,0.879,50
892830c52cfffff,grassland,0.587,30
892830c52d3ffff,grassland,0.992,30
892830c52dbffff,grassland,0.678,30
892830c5303ffff,grassland,0.733,30
892830c5307ffff,developed,0.581,50
892830c530bffff,grassland,0.539,30
892830c530fffff,developed,0.783,50
892830c5317ffff,grassland,0.681,30
892830c5323ffff,developed,0.801,50
892830c5327ffff,cropland,0.334,40
892830c532bffff,developed,0.799,50
892830c532fffff,developed,0.585,50
892830c5333ffff,developed,0.916,50
892830c5337ffff,developed,0.812,50
892830c533bffff,developed,0.72,50
892830c5343ffff,developed,0.705,50
892830c5347ffff,developed,0.719,50
892830c534bffff,developed,0.729,50
892830c534fffff,developed,0.909,50
892830c5353ffff,grassland,0.796,30
892830c5357ffff,developed,0.664,50
892830c535bffff,developed,0.562,50
892830c5363ffff,developed,0.545,50
892830c5367ffff,developed,0.722,50
892830c536bffff,developed,0.796,50
892830c536fffff,developed,0.85,50
892830c5373ffff,developed,0.574,50
892830c5377ffff,developed,0.365,50
892830c537bffff,developed,0.59,50
892830c5387ffff,grassland,0.877,30
892830c538fffff,grassland,0.656,30
892830c5397ffff,grassland,0.977,30
892830c53a3ffff,developed,0.584,50
892830c53a7ffff,developed,0.857,50
892830c53abffff,developed,0.628,50
892830c53afffff,grassland,0.48,30
892830c53b3ffff,grassland,0.569,30
892830c53b7ffff,developed,0.69,50
892830c53bbffff,developed,0.9,50
892830c53c3ffff,grassland,0.963,30
892830c53c7ffff,grassland,1.0,30
892830c53cbffff,grassland,0.994,30
892830c53cfffff,grassland,0.724,30
892830c53dbffff,grassland,1.0,30
892830c564bffff,grassland,0.814,30
892830c564fffff,grassland,1.0,30
892830c566bffff,grassland,0.994,30
892830c567bffff,grassland,1.0,30
892830c5803ffff,grassland,0.989,30
892830c5807ffff,grassland,0.953,30
892830c580bffff,grassland,1.0,30
892830c580fffff,grassland,0.998,30
892830c5813ffff,grassland,0.989,30
892830c5817ffff,grassland,0.936,30
892830c581bffff,grassland,0.996,30
892830c5833ffff,grassland,0.975,30
892830c5843ffff,developed,0.568,50
892830c5847ffff,grassland,0.574,30
892830c584bffff,developed,0.523,50
892830c584fffff,grassland,0.587,30
892830c5853ffff,developed,0.669,50
892830c5857ffff,grassland,0.508,30
892830c585bffff,developed,0.582,50
892830c5873ffff,grassland,0.87,30
892830c5883ffff,grassland,0.811,30
892830c5887ffff,grassland,0.685,30
892830c588bffff,grassland,0.993,30
892830c588fffff,grassland,1.0,30
892830c5893ffff,grassland,0.806,30
892830c5897ffff,grassland,0.956,30
892830c589bffff,grassland,0.755,30
892830c58a3ffff,grassland,0.976,30
892830c58a7ffff,grassland,0.985,30
892830c58abffff,grassland,1.0,30
892830c58afffff,grassland,0.993,30
892830c58b3ffff,grassland,0.868,30
892830c58b7ffff,grassland,0.999,30
892830c58bbffff,grassland,0.932,30
892830c58c3ffff,developed,0.51,50
892830c58c7ffff,grassland,0.812,30
892830c58cbffff,grassland,0.92,30
892830c58cfffff,developed,0.493,50
892830c58d3ffff,grassland,0.731,30
892830c58d7ffff,grassland,0.87,30
892830c58dbffff,grassland,0.626,30
892830c5a03ffff,wetland,0.86,90
892830c5a07ffff,wetland,0.897,90
892830c5a0bffff,wetland,0.62,90
892830c5a0fffff,wetland,1.0,90
892830c5a13ffff,grassland,0.422,30
892830c5a17ffff,grassland,0.587,30
892830c5a1bffff,developed,0.531,50
892830c5a2bffff,open water,1.0,80
892830c5a3bffff,wetland,0.735,90
892830c5a43ffff,wetland,0.897,90
892830c5a47ffff,wetland,0.857,90
892830c5a4bffff,wetland,0.943,90
892830c5a4fffff,wetland,0.578,90
892830c5a53ffff,wetland,0.457,90
892830c5a57ffff,wetland,0.739,90
892830c5a5bffff,wetland,0.903,90
892830c5a63ffff,open water,1.0,80
892830c5a67ffff,open water,1.0,80
892830c5a6bffff,open water,1.0,80
892830c5a6fffff,open water,1.0,80
892830c5a73ffff,wetland,0.528,90
892830c5a77ffff,open water,0.9,80
892830c5a7bffff,open water,0.942,80
892830c5a83ffff,developed,0.891,50
892830c5a87ffff,developed,0.712,50
892830c5a8bffff,developed,0.91,50
892830c5a8fffff,developed,0.92,50
892830c5a93ffff,developed,0.344,50
892830c5a97ffff,developed,0.766,50
892830c5a9bffff,developed,0.64,50
892830c5aa3ffff,developed,0.609,50
892830c5aa7ffff,grassland,0.751,30
892830c5aabffff,wetland,0.457,90
892830c5ab3ffff,developed,0.846,50
892830c5ab7ffff,grassland,0.675,30
892830c5abbffff,developed,0.956,50
892830c5ac3ffff,grassland,0.509,30
892830c5ac7ffff,developed,0.735,50
892830c5acbffff,grassland,0.918,30
892830c5acfffff,open water,0.574,80
892830c5ad3ffff,developed,0.528,50
892830c5ad7ffff,developed,0.704,50
892830c5adbffff,grassland,0.779,30
892830c5c23ffff,grassland,0.474,30
892830c5c27ffff,grassland,0.468,30
892830c5c2bffff,grassland,0.632,30
892830c5c2fffff,grassland,0.804,30
892830c5c33ffff,grassland,0.97,30
892830c5c37ffff,grassland,0.886,30
892830c5c3bffff,grassland,1.0,30
892830c5c43ffff,grassland,1.0,30
892830c5c47ffff,grassland,1.0,30
892830c5c4bffff,grassland,0.82,30
892830c5c4fffff,grassland,0.935,30
892830c5c53ffff,grassland,1.0,30
892830c5c57ffff,grassland,1.0,30
892830c5c5bffff,grassland,1.0,30
892830c5c63ffff,grassland,0.708,30
892830c5c67ffff,grassland,0.701,30
892830c5c6bffff,grassland,0.806,30
892830c5c6fffff,grassland,0.607,30
892830c5c73ffff,grassland,0.997,30
892830c5c77ffff,grassland,1.0,30
892830c5c7bffff,grassland,1.0,30
892830c5ccbffff,grassland,1.0,30
892830c5d43ffff,grassland,0.991,30
892830c5d47ffff,grassland,0.996,30
892830c5d4bffff,grassland,0.823,30
892830c5d4fffff,grassland,0.862,30
892830c5d53ffff,grassland,0.418,30
892830c5d57ffff,grassland,0.95,30
892830c5d5bffff,grassland,0.943,30
892830c5d7bffff,grassland,0.965,30
892830c5dcbffff,grassland,0.574,30
892830c5dcfffff,grassland,0.555,30
