GEOID,pop,pop_moe,income,income_moe,units,units_moe,occupied,occupied_moe,pop65,pop65_moe,acs_year
060133010001,1085,445,75984.0,22220.0,704,249,599,259,634,309.2555577511906,2024
060133010002,779,544,,,334,186,264,173,92,96.97422337920526,2024
060133010003,2425,603,178919.0,10726.0,669,179,630,164,255,99.06563480844405,2024
060133010004,1005,523,70202.0,11716.0,605,267,366,209,90,71.8192174839019,2024
060133020051,1373,766,44286.0,29175.0,622,170,622,170,455,192.53311403496284,2024
060133020052,2743,1547,96237.0,10360.0,758,274,758,274,235,189.80779752159816,2024
060133020053,2191,946,100861.0,59661.0,601,208,601,208,493,192.11715175902438,2024
060133020054,985,363,106250.0,52208.0,449,151,394,129,121,84.6994687114388,2024
060133020061,1725,609,153393.0,63807.0,518,158,518,158,151,99.62429422585637,2024
060133020062,2467,465,131792.0,32476.0,819,160,819,160,269,106.74268124794318,2024
060133020071,2443,655,153838.0,23059.0,854,212,806,211,255,133.82451195502264,2024
060133020072,2649,1197,120175.0,69724.0,805,248,780,248,334,150.0133327407934,2024
060133020073,2245,820,118333.0,34943.0,664,206,664,206,352,185.21878954360974,2024
060133020091,2773,888,117611.0,44162.0,1021,276,1021,276,496,297.1514765233382,2024
060133020092,1235,606,110528.0,59002.0,393,156,393,156,250,193.0362660227347,2024
060133020093,822,629,88084.0,10217.0,245,147,245,147,121,85.26429498916883,2024
060133020094,2061,473,190208.0,75790.0,634,146,634,146,343,147.13259326199616,2024
060133020111,4679,559,156020.0,26778.0,1316,165,1288,158,334,118.11011811017717,2024
060133020112,1626,724,128750.0,103181.0,546,259,546,259,284,235.34655298091792,2024
060133020121,2484,579,133125.0,55075.0,719,243,701,243,213,81.48619514985344,2024
060133020122,3205,1048,177936.0,15195.0,911,297,911,297,251,125.36745989290841,2024
060133020131,2273,402,147481.0,12391.0,925,266,879,275,166,75.59100475585703,2024
060133020132,651,296,218676.0,69309.0,196,82,196,82,151,72.35329985563892,2024
060133020141,4195,1069,148740.0,22235.0,1164,342,1164,342,519,225.91370033709774,2024
060133020142,3017,1246,122143.0,60697.0,882,330,882,330,263,136.49175799292792,2024
060133020143,1049,473,205917.0,49114.0,285,120,285,120,92,83.74962686484042,2024
060133031041,4476,763,153373.0,32239.0,1168,165,1111,147,384,177.46548960290843,2024
060133031042,2058,582,147386.0,52077.0,770,199,770,199,273,102.71319292087068,2024
060133031051,3446,589,165625.0,47365.0,993,95,963,103,261,104.09130607308182,2024
060133031061,2996,1429,111719.0,57950.0,807,371,771,377,384,187.71520982594885,2024
060133031062,3639,943,91626.0,47704.0,1042,278,1016,268,280,162.97852619286996,2024
060133031063,2586,744,144887.0,50849.0,774,207,774,207,336,180.87288353979432,2024
060133031071,2255,1026,123162.0,47552.0,589,217,589,217,238,126.7990536242286,2024
060133031072,2444,729,146250.0,57146.0,685,166,685,166,236,138.8200273735746,2024
060133031073,986,487,162222.0,140358.0,290,135,290,135,1,53.21653878260028,2024
060133031074,2307,666,142500.0,14789.0,728,175,728,175,179,100.33942395688746,2024
060133032021,3431,822,132385.0,54372.0,1160,272,1160,272,177,90.08329478876757,2024
060133032022,2538,1105,196487.0,33685.0,653,240,653,240,492,255.73228188869703,2024
060133032023,2987,763,125302.0,19987.0,879,181,879,181,414,152.83324245726124,2024
060133032041,2135,425,98750.0,65829.0,811,137,762,152,536,157.71810295587505,2024
060133032042,1129,620,160319.0,99204.0,356,142,356,142,65,54.78138369920935,2024
060133032043,1778,479,226000.0,132436.0,560,116,560,116,172,76.7333043730035,2024
060133032061,3121,1004,142639.0,87940.0,893,254,871,259,206,110.85125168440814,2024
060133032062,1897,565,170139.0,54129.0,618,195,618,195,168,93.28987083279728,2024
060133032071,3417,915,123581.0,35576.0,1024,220,959,216,379,136.12861565446113,2024
060133032072,5644,1790,175684.0,61678.0,1205,285,1205,285,360,152.39094461286078,2024
060133032073,709,241,104167.0,71331.0,318,101,318,101,162,88.70174744614674,2024
060133032081,1332,510,119943.0,100217.0,391,182,391,182,58,48.093658625644196,2024
060133032082,3014,650,146271.0,20639.0,1272,196,1228,205,926,201.67548190099856,2024
060133032091,2991,389,172642.0,19345.0,950,164,950,164,461,146.28738838327794,2024
060133032092,2550,879,109009.0,44176.0,691,273,691,273,150,76.43297717608546,2024
