h3,lidar_pct,lidar_coverage
892830d0883ffff,22.4143,1.0
892830d0893ffff,0.9981,1.0
892830d0897ffff,5.5718,1.0
892830d0993ffff,1.026,1.0
892830d0c07ffff,1.0,1.0
892830d0c17ffff,1.0,1.0
892830d0c23ffff,0.9554,1.0
892830d0c27ffff,0.9661,1.0
892830d0c2bffff,0.9886,1.0
892830d0c2fffff,0.955,1.0
892830d0c33ffff,0.9898,1.0
892830d0c37ffff,0.9252,1.0
892830d0c3bffff,0.9097,1.0
892830d0c83ffff,1.0,1.0
892830d0c87ffff,2.5811,1.0
892830d0c8fffff,0.9884,1.0
892830d0c93ffff,1.0,1.0
892830d0c97ffff,7.2752,1.0
892830d0ca3ffff,1.4437,1.0
892830d0ca7ffff,1.8489,1.0
892830d0cabffff,0.9614,1.0
892830d0cafffff,0.9122,1.0
892830d0cb3ffff,8.5045,1.0
892830d0cb7ffff,11.8171,1.0
892830d0cbbffff,0.9961,1.0
892830d0d03ffff,13.5205,1.0
892830d0d07ffff,3.0675,1.0
892830d0d0bffff,14.283,1.0
892830d0d0fffff,4.0891,1.0
892830d0d13ffff,8.6773,1.0
892830d0d17ffff,17.6267,1.0
892830d0d1bffff,11.0,1.0
892830d0d23ffff,1.0,1.0
892830d0d27ffff,1.0,1.0
892830d0d2bffff,0.9948,1.0
892830d0d2fffff,1.0,1.0
892830d0d33ffff,1.8955,1.0
892830d0d37ffff,0.9769,1.0
892830d0d3bffff,1.0,1.0
892830d0d43ffff,2.6665,1.0
892830d0d47ffff,5.0735,1.0
892830d0d4bffff,12.0547,1.0
892830d0d53ffff,1.0,1.0
892830d0d57ffff,8.4179,1.0
892830d0d5bffff,1.0,1.0
892830d0d63ffff,21.4501,1.0
892830d0d67ffff,2.6354,1.0
892830d0d77ffff,2.5881,1.0
892830d0d83ffff,10.2337,1.0
892830d0d87ffff,16.073,1.0
892830d0d8bffff,10.318,1.0
892830d0d8fffff,8.6143,1.0
892830d0d93ffff,14.1658,1.0
892830d0d97ffff,14.5929,1.0
892830d0d9bffff,11.3625,1.0
892830d0da3ffff,20.0072,1.0
892830d0da7ffff,17.851,1.0
892830d0dabffff,11.4289,1.0
892830d0dafffff,9.5157,1.0
892830d0db3ffff,18.808,1.0
892830d0db7ffff,16.7403,1.0
892830d0dbbffff,16.298,1.0
892830d0dc3ffff,0.9811,1.0
892830d0dc7ffff,1.4468,1.0
892830d0dcbffff,1.0,1.0
892830d0dcfffff,2.6848,1.0
892830d0dd3ffff,1.0,1.0
892830d0dd7ffff,4.0907,1.0
892830d0ddbffff,1.0,1.0
892830d286bffff,0.0,1.0
892830d286fffff,0.0,1.0
892830d28a3ffff,6.9311,1.0
892830d28a7ffff,22.0386,1.0
892830d28afffff,1.8496,1.0
892830d28b7ffff,27.873,1.0
892830d2903ffff,1.5424,1.0
892830d2907ffff,7.7374,1.0
892830d290bffff,10.0287,1.0
892830d290fffff,1.6059,1.0
892830d2913ffff,7.4452,1.0
892830d2917ffff,9.4181,1.0
892830d291bffff,6.7011,1.0
892830d2923ffff,9.9534,1.0
892830d2927ffff,16.0987,1.0
892830d292bffff,5.8624,1.0
892830d292fffff,4.2083,1.0
892830d2933ffff,4.9834,1.0
892830d2937ffff,11.7022,1.0
892830d293bffff,1.0,1.0
892830d2943ffff,5.8395,1.0
892830d2947ffff,15.6083,1.0
892830d294bffff,0.0,1.0
892830d294fffff,9.1208,1.0
892830d2953ffff,3.5027,1.0
892830d2957ffff,28.8371,1.0
892830d2963ffff,6.1198,1.0
892830d2967ffff,1.0,1.0
892830d296bffff,12.9301,1.0
892830d296fffff,3.0825,1.0
892830d2973ffff,5.7914,1.0
892830d2977ffff,0.9817,1.0
892830d297bffff,12.6784,1.0
