h3,city,city_kind,city_geoid
892830d0883ffff,Camino Tassajara,cdp,0610301
892830d0893ffff,San Ramon,city,0668378
892830d0897ffff,San Ramon,city,0668378
892830d0993ffff,Danville,city,0617988
892830d0c07ffff,San Ramon,city,0668378
892830d0c17ffff,Unincorporated,none,
892830d0c23ffff,San Ramon,city,0668378
892830d0c27ffff,San Ramon,city,0668378
892830d0c2bffff,San Ramon,city,0668378
892830d0c2fffff,San Ramon,city,0668378
892830d0c33ffff,San Ramon,city,0668378
892830d0c37ffff,San Ramon,city,0668378
892830d0c3bffff,San Ramon,city,0668378
892830d0c83ffff,Unincorporated,none,
892830d0c87ffff,San Ramon,city,0668378
892830d0c8fffff,Unincorporated,none,
892830d0c93ffff,Unincorporated,none,
892830d0c97ffff,San Ramon,city,0668378
892830d0ca3ffff,San Ramon,city,0668378
892830d0ca7ffff,San Ramon,city,0668378
892830d0cabffff,San Ramon,city,0668378
892830d0cafffff,San Ramon,city,0668378
892830d0cb3ffff,San Ramon,city,0668378
892830d0cb7ffff,San Ramon,city,0668378
892830d0cbbffff,San Ramon,city,0668378
892830d0d03ffff,San Ramon,city,0668378
892830d0d07ffff,San Ramon,city,0668378
892830d0d0bffff,San Ramon,city,0668378
892830d0d0fffff,San Ramon,city,0668378
892830d0d13ffff,San Ramon,city,0668378
892830d0d17ffff,San Ramon,city,0668378
892830d0d1bffff,San Ramon,city,0668378
892830d0d23ffff,San Ramon,city,0668378
892830d0d27ffff,San Ramon,city,0668378
892830d0d2bffff,San Ramon,city,0668378
892830d0d2fffff,San Ramon,city,0668378
892830d0d33ffff,San Ramon,city,0668378
892830d0d37ffff,San Ramon,city,0668378
892830d0d3bffff,San Ramon,city,0668378
892830d0d43ffff,San Ramon,city,0668378
892830d0d47ffff,Danville,city,0617988
892830d0d4bffff,Camino Tassajara,cdp,0610301
892830d0d53ffff,San Ramon,city,0668378
892830d0d57ffff,San Ramon,city,0668378
892830d0d5bffff,San Ramon,city,0668378
892830d0d63ffff,Danville,city,0617988
892830d0d67ffff,San Ramon,city,0668378
892830d0d77ffff,San Ramon,city,0668378
892830d0d83ffff,San Ramon,city,0668378
892830d0d87ffff,San Ramon,city,0668378
892830d0d8bffff,San Ramon,city,0668378
892830d0d8fffff,San Ramon,city,0668378
892830d0d93ffff,San Ramon,city,0668378
892830d0d97ffff,San Ramon,city,0668378
892830d0d9bffff,San Ramon,city,0668378
892830d0da3ffff,San Ramon,city,0668378
892830d0da7ffff,San Ramon,city,0668378
892830d0dabffff,San Ramon,city,0668378
892830d0dafffff,San Ramon,city,0668378
892830d0db3ffff,San Ramon,city,0668378
892830d0db7ffff,San Ramon,city,0668378
892830d0dbbffff,San Ramon,city,0668378
892830d0dc3ffff,San Ramon,city,0668378
892830d0dc7ffff,San Ramon,city,0668378
892830d0dcbffff,San Ramon,city,0668378
892830d0dcfffff,San Ramon,city,0668378
892830d0dd3ffff,San Ramon,city,0668378
892830d0dd7ffff,San Ramon,city,0668378
892830d0ddbffff,San Ramon,city,0668378
892830d286bffff,Unincorporated,none,
892830d286fffff,Unincorporated,none,
892830d28a3ffff,Unincorporated,none,
892830d28a7ffff,San Ramon,city,0668378
