h3,name,holc,access_min,access_km,street_m,access_src,access_snap_m,access_quality
892830d0883ffff,Wendt Ranch,,14.3,1.14,0.0,routed,703.0,approach-review
892830d0893ffff,Monterosso SE 2,,18.6,1.49,0.0,routed,996.0,approach-review
892830d0897ffff,Monterosso SE,,46.9,3.75,0.0,routed,668.0,approach-review
892830d0993ffff,Monterosso SW 2,,46.2,3.7,0.0,routed,242.0,approach-review
892830d0c07ffff,Carlyle NE 2,,45.3,3.63,0.0,routed,983.0,approach-review
892830d0c17ffff,Waterford NE 3,,43.6,3.49,0.0,routed,838.0,approach-review
892830d0c23ffff,Aventura NE 5,,47.3,3.78,0.0,routed,698.0,approach-review
892830d0c27ffff,Aventura N 4,,41.9,3.35,0.0,routed,622.0,approach-review
892830d0c2bffff,Aventura NE 7,,49.9,4.0,0.0,routed,914.0,approach-review
892830d0c2fffff,Aventura N 5,,45.8,3.67,0.0,routed,584.0,approach-review
892830d0c33ffff,Aventura NE 4,,43.6,3.49,0.0,routed,850.0,approach-review
892830d0c37ffff,Aventura N 3,,43.1,3.45,0.0,routed,749.0,approach-review
892830d0c3bffff,Aventura NE 6,,48.4,3.87,0.0,routed,1169.0,approach-review
892830d0c83ffff,Waterford E 2,,42.5,3.4,0.0,routed,585.0,approach-review
892830d0c87ffff,Waterford NE,,38.2,3.06,124.0,routed,396.0,approach-review
892830d0c8fffff,Waterford NE 2,,43.9,3.51,0.0,routed,697.0,approach-review
892830d0c93ffff,Waterford E 3,,41.6,3.33,0.0,routed,442.0,approach-review
892830d0c97ffff,Waterford E,,38.0,3.04,638.0,routed,285.0,approach-review
892830d0ca3ffff,Aventura NE,,36.2,2.9,0.0,routed,254.0,approach-review
892830d0ca7ffff,Aventura N,,35.3,2.83,0.0,routed,275.0,approach-review
892830d0cabffff,Aventura NE 3,,40.8,3.26,0.0,routed,618.0,approach-review
892830d0cafffff,Aventura NE 2,,39.1,3.13,0.0,routed,516.0,approach-review
892830d0cb3ffff,Carlyle,,35.1,2.8,861.0,routed,193.0,approach-review
892830d0cb7ffff,Aventura,,32.2,2.57,1378.0,routed,96.0,network-estimate
892830d0cbbffff,Carlyle NE,,39.5,3.16,0.0,routed,510.0,approach-review
892830d0d03ffff,Solaire & Belvedere NE 2,,25.8,2.06,345.0,routed,178.0,approach-review
892830d0d07ffff,Avanti E,,23.7,1.9,38.0,routed,292.0,approach-review
892830d0d0bffff,Solaire & Belvedere NE 3,,31.9,2.56,573.0,routed,120.0,approach-review
892830d0d0fffff,Avanti NE 2,,33.0,2.64,44.0,routed,168.0,approach-review
892830d0d13ffff,Solaire & Belvedere E 2,,24.3,1.95,1284.0,routed,36.0,network-estimate
892830d0d17ffff,Solaire & Belvedere NE,,20.4,1.64,1157.0,routed,59.0,network-estimate
892830d0d1bffff,Piccadilly Square Park,,30.3,2.42,1677.0,routed,26.0,network-estimate
892830d0d23ffff,Avanti N 2,,29.4,2.35,0.0,routed,645.0,approach-review
892830d0d27ffff,Alta Mira E,,31.9,2.55,0.0,routed,576.0,approach-review
892830d0d2bffff,Avanti NE 3,,45.5,3.64,0.0,routed,518.0,approach-review
892830d0d2fffff,Avanti N 3,,51.4,4.11,0.0,routed,433.0,approach-review
892830d0d33ffff,Avanti N,,24.9,2.0,128.0,routed,338.0,approach-review
892830d0d37ffff,Avanti NW 2,,27.8,2.22,0.0,routed,426.0,approach-review
892830d0d3bffff,Avanti NE,,28.4,2.28,0.0,routed,532.0,approach-review
892830d0d43ffff,Monterosso S 3,,39.2,3.14,0.0,routed,309.0,approach-review
892830d0d47ffff,Monterosso S,,38.4,3.07,403.0,routed,204.0,approach-review
892830d0d4bffff,Monterosso S 2,,22.8,1.82,0.0,routed,550.0,approach-review
892830d0d53ffff,Solaire & Belvedere E 5,,37.9,3.03,0.0,routed,296.0,approach-review
892830d0d57ffff,Solaire & Belvedere NE 4,,35.9,2.87,1019.0,routed,131.0,approach-review
892830d0d5bffff,Monterosso S 4,,42.3,3.39,0.0,routed,305.0,approach-review
892830d0d63ffff,Monterosso,,38.2,3.06,876.0,routed,106.0,approach-review
892830d0d67ffff,Monterosso SW,,43.5,3.48,46.0,routed,294.0,approach-review
892830d0d77ffff,Monterosso SW 3,,35.6,2.85,0.0,routed,304.0,approach-review
892830d0d83ffff,Solaire & Belvedere SE,,20.7,1.66,0.0,routed,141.0,approach-review
892830d0d87ffff,Veranda,,12.9,1.03,1194.0,routed,46.0,network-estimate
892830d0d8bffff,Solaire & Belvedere SE 2,,24.8,1.99,1149.0,routed,39.0,network-estimate
892830d0d8fffff,Solaire & Belvedere E,,19.1,1.53,435.0,routed,148.0,approach-review
892830d0d93ffff,Taramea W,,17.0,1.36,1569.0,routed,60.0,network-estimate
892830d0d97ffff,Shelbourne,,13.1,1.05,967.0,routed,50.0,network-estimate
892830d0d9bffff,Taramea N,,22.3,1.78,673.0,routed,15.0,network-estimate
892830d0da3ffff,Terravista N,,16.4,1.31,1106.0,routed,167.0,approach-review
892830d0da7ffff,Monarch SE,,22.2,1.78,1236.0,routed,141.0,approach-review
892830d0dabffff,Avanti,,19.4,1.55,1216.0,routed,141.0,approach-review
892830d0dafffff,Avanti NW,,23.4,1.87,975.0,routed,251.0,approach-review
892830d0db3ffff,Terravista,,11.7,0.93,2057.0,routed,76.0,network-estimate
892830d0db7ffff,Coronado,,15.7,1.25,1653.0,routed,28.0,network-estimate
892830d0dbbffff,Solaire & Belvedere,,14.8,1.18,1669.0,routed,70.0,network-estimate
892830d0dc3ffff,Fiore NE 2,,33.3,2.66,0.0,routed,429.0,approach-review
892830d0dc7ffff,Solaire & Belvedere E 3,,28.7,2.29,0.0,routed,232.0,approach-review
892830d0dcbffff,Fiore NE 3,,38.9,3.11,0.0,routed,436.0,approach-review
892830d0dcfffff,Solaire & Belvedere E 4,,35.0,2.8,193.0,routed,125.0,approach-review
892830d0dd3ffff,Fiore NE,,29.5,2.36,0.0,routed,396.0,approach-review
892830d0dd7ffff,Fiore N,,28.8,2.3,364.0,routed,69.0,network-estimate
892830d0ddbffff,Aventura N 2,,39.9,3.19,0.0,routed,491.0,approach-review
892830d286bffff,Chantera S,,30.0,2.4,0.0,routed,246.0,approach-review
892830d286fffff,Chantera SW,,26.9,2.15,0.0,routed,261.0,approach-review
892830d28a3ffff,eaves Dublin Apartments NE,,32.5,2.6,917.0,routed,170.0,approach-review
892830d28a7ffff,The Hills at Bent Creek E,,28.7,2.29,1011.0,routed,127.0,approach-review
892830d28afffff,Bent Creek Estates E 2,,30.1,2.41,468.0,routed,178.0,approach-review
892830d28b7ffff,eaves Dublin Apartments,,34.8,2.78,944.0,routed,140.0,approach-review
892830d2903ffff,Old Ranch Summit NE,,18.3,1.47,0.0,routed,391.0,approach-review
892830d2907ffff,Old Ranch Summit NW,,21.0,1.68,232.0,routed,270.0,approach-review
892830d290bffff,Old Ranch Estates N,,23.1,1.85,707.0,routed,184.0,approach-review
892830d290fffff,Old Ranch Estates NW,,23.8,1.91,0.0,routed,62.0,network-estimate
892830d2913ffff,Old Ranch Summit SE,,10.7,0.86,546.0,routed,192.0,approach-review
892830d2917ffff,Old Ranch Summit,,14.2,1.14,1646.0,routed,62.0,network-estimate
892830d291bffff,Old Ranch Estates,,18.7,1.5,705.0,routed,182.0,approach-review
892830d2923ffff,Old Ranch Summit NW 3,,25.6,2.05,1021.0,routed,157.0,approach-review
892830d2927ffff,Old Ranch Summit NW 5,,27.4,2.19,1834.0,routed,74.0,network-estimate
892830d292bffff,Old Ranch Summit N 2,,18.9,1.52,0.0,routed,297.0,approach-review
892830d292fffff,Old Ranch Summit NW 6,,31.1,2.48,252.0,routed,353.0,approach-review
892830d2933ffff,Old Ranch Summit NW 2,,20.0,1.6,872.0,routed,29.0,network-estimate
