h3,lst_c,green_pct
892830d0883ffff,44.6,21.15
892830d0893ffff,47.47,13.16
892830d0897ffff,47.5,16.02
892830d0993ffff,47.3,12.41
892830d0c07ffff,46.81,12.53
892830d0c17ffff,48.17,13.04
892830d0c23ffff,47.04,12.13
892830d0c27ffff,49.17,11.45
892830d0c2bffff,45.36,13.24
892830d0c2fffff,49.02,12.08
892830d0c33ffff,47.05,11.65
892830d0c37ffff,48.97,13.35
892830d0c3bffff,45.51,12.3
892830d0c83ffff,49.12,11.64
892830d0c87ffff,48.34,11.59
892830d0c8fffff,49.32,13.06
892830d0c93ffff,49.23,12.36
892830d0c97ffff,48.29,13.38
892830d0ca3ffff,46.08,12.57
892830d0ca7ffff,49.18,13.22
892830d0cabffff,45.35,12.66
892830d0cafffff,47.73,12.4
892830d0cb3ffff,46.01,16.58
892830d0cb7ffff,46.83,21.97
892830d0cbbffff,45.53,12.19
892830d0d03ffff,47.33,19.7
892830d0d07ffff,50.2,12.96
892830d0d0bffff,45.99,21.1
892830d0d0fffff,50.42,13.8
892830d0d13ffff,46.19,17.39
892830d0d17ffff,46.4,24.63
892830d0d1bffff,45.75,19.96
892830d0d23ffff,48.68,14.17
892830d0d27ffff,47.61,13.09
892830d0d2bffff,48.18,12.68
892830d0d2fffff,49.34,12.54
892830d0d33ffff,48.75,12.63
892830d0d37ffff,48.93,12.76
892830d0d3bffff,49.14,14.95
892830d0d43ffff,47.57,13.5
892830d0d47ffff,47.09,14.64
892830d0d4bffff,46.74,17.24
892830d0d53ffff,48.95,11.14
892830d0d57ffff,47.13,14.25
892830d0d5bffff,49.24,11.64
892830d0d63ffff,49.09,21.82
892830d0d67ffff,49.21,12.91
892830d0d77ffff,48.66,14.23
892830d0d83ffff,46.08,23.08
892830d0d87ffff,44.23,26.33
892830d0d8bffff,45.69,17.28
892830d0d8fffff,46.01,22.82
892830d0d93ffff,46.2,18.64
892830d0d97ffff,45.23,22.98
892830d0d9bffff,46.09,13.47
892830d0da3ffff,45.59,21.95
892830d0da7ffff,46.35,22.3
892830d0dabffff,48.03,16.61
892830d0dafffff,48.73,15.23
892830d0db3ffff,44.18,27.4
892830d0db7ffff,44.96,24.07
892830d0dbbffff,44.39,30.01
892830d0dc3ffff,48.9,11.44
892830d0dc7ffff,47.22,13.7
892830d0dcbffff,49.56,12.88
892830d0dcfffff,46.59,13.28
892830d0dd3ffff,48.48,11.54
892830d0dd7ffff,47.9,11.93
892830d0ddbffff,50.7,11.74
892830d286bffff,47.8,15.88
892830d286fffff,47.68,13.71
892830d28a3ffff,47.64,16.61
892830d28a7ffff,45.55,26.04
892830d28afffff,47.28,16.09
892830d28b7ffff,45.36,32.03
892830d2903ffff,47.82,12.63
892830d2907ffff,47.05,15.46
892830d290bffff,47.65,20.31
892830d290fffff,49.03,11.62
892830d2913ffff,47.58,14.37
892830d2917ffff,46.8,16.02
892830d291bffff,47.41,17.32
892830d2923ffff,45.6,19.94
892830d2927ffff,46.32,21.64
892830d292bffff,46.67,17.71
892830d292fffff,46.55,16.56
892830d2933ffff,44.4,17.95
892830d2937ffff,46.75,17.78
892830d293bffff,47.09,12.77
892830d2943ffff,45.5,17.7
892830d2947ffff,46.63,21.01
892830d294bffff,47.26,12.88
892830d294fffff,44.93,18.05
892830d2953ffff,46.2,16.66
892830d2957ffff,44.42,33.27
892830d2963ffff,50.19,15.88
892830d2967ffff,48.75,12.29
892830d296bffff,48.09,18.66
892830d296fffff,50.37,10.45
892830d2973ffff,51.01,15.22
892830d2977ffff,49.87,11.43
892830d297bffff,47.36,23.97
892830d2983ffff,44.44,27.6
892830d2987ffff,42.37,32.95
892830d298bffff,45.85,21.36
892830d298fffff,44.12,29.45
892830d2993ffff,45.74,22.95
892830d2997ffff,42.64,36.54
892830d299bffff,45.16,21.94
892830d29a3ffff,46.52,20.27
892830d29a7ffff,47.26,18.82
892830d29abffff,43.75,30.03
892830d29afffff,44.69,21.41
892830d29b3ffff,45.71,23.41
892830d29b7ffff,47.71,19.79
892830d29bbffff,44.04,28.47
892830d29c3ffff,45.32,29.99
892830d29c7ffff,46.79,20.0
892830d29cbffff,46.5,18.51
892830d29cfffff,44.78,29.0
892830d29d3ffff,47.02,19.8
892830d29d7ffff,47.26,21.36
892830d29dbffff,44.92,25.41
892830d2a23ffff,48.61,12.05
892830d2a27ffff,46.57,13.03
892830d2a2fffff,47.41,12.92
892830d2a33ffff,48.94,12.67
892830d2a37ffff,46.91,17.51
892830d2aa3ffff,47.01,16.16
892830d2aa7ffff,45.36,19.73
892830d2aabffff,49.66,12.38
892830d2aafffff,46.59,15.1
892830d2ab3ffff,48.74,14.19
892830d2ab7ffff,47.98,13.68
892830d2abbffff,48.79,13.77
892830d2b03ffff,47.72,15.9
