h3,land,land_frac,wc_code
892830d0883ffff,grassland,0.823,30
892830d0893ffff,grassland,1.0,30
892830d0897ffff,grassland,0.956,30
892830d0993ffff,grassland,0.979,30
892830d0c07ffff,grassland,0.992,30
892830d0c17ffff,grassland,0.999,30
892830d0c23ffff,grassland,0.999,30
892830d0c27ffff,grassland,0.836,30
892830d0c2bffff,grassland,1.0,30
892830d0c2fffff,grassland,0.992,30
892830d0c33ffff,grassland,0.98,30
892830d0c37ffff,grassland,0.922,30
892830d0c3bffff,grassland,1.0,30
892830d0c83ffff,grassland,1.0,30
892830d0c87ffff,grassland,0.971,30
892830d0c8fffff,grassland,1.0,30
892830d0c93ffff,grassland,1.0,30
892830d0c97ffff,grassland,0.579,30
892830d0ca3ffff,grassland,0.999,30
892830d0ca7ffff,grassland,0.891,30
892830d0cabffff,grassland,0.987,30
892830d0cafffff,grassland,0.915,30
892830d0cb3ffff,grassland,0.608,30
892830d0cb7ffff,developed,0.61,50
892830d0cbbffff,grassland,0.999,30
892830d0d03ffff,grassland,0.656,30
892830d0d07ffff,grassland,0.921,30
892830d0d0bffff,grassland,0.467,30
892830d0d0fffff,grassland,0.929,30
892830d0d13ffff,developed,0.604,50
892830d0d17ffff,developed,0.454,50
892830d0d1bffff,developed,0.842,50
892830d0d23ffff,grassland,0.994,30
892830d0d27ffff,grassland,1.0,30
892830d0d2bffff,grassland,0.962,30
892830d0d2fffff,grassland,0.959,30
892830d0d33ffff,grassland,0.918,30
892830d0d37ffff,grassland,0.981,30
892830d0d3bffff,grassland,0.998,30
892830d0d43ffff,grassland,0.993,30
892830d0d47ffff,grassland,0.912,30
892830d0d4bffff,grassland,0.939,30
892830d0d53ffff,grassland,0.964,30
892830d0d57ffff,developed,0.698,50
892830d0d5bffff,grassland,0.974,30
892830d0d63ffff,grassland,0.483,30
892830d0d67ffff,grassland,0.949,30
892830d0d77ffff,grassland,0.961,30
892830d0d83ffff,grassland,0.466,30
892830d0d87ffff,developed,0.439,50
892830d0d8bffff,developed,0.791,50
892830d0d8fffff,grassland,0.579,30
892830d0d93ffff,developed,0.742,50
892830d0d97ffff,woodland,0.358,10
892830d0d9bffff,developed,0.832,50
892830d0da3ffff,developed,0.572,50
892830d0da7ffff,developed,0.428,50
892830d0dabffff,developed,0.656,50
892830d0dafffff,developed,0.462,50
892830d0db3ffff,developed,0.586,50
892830d0db7ffff,developed,0.639,50
892830d0dbbffff,developed,0.564,50
892830d0dc3ffff,grassland,0.963,30
892830d0dc7ffff,grassland,0.952,30
892830d0dcbffff,grassland,1.0,30
892830d0dcfffff,grassland,0.81,30
892830d0dd3ffff,grassland,1.0,30
892830d0dd7ffff,grassland,0.715,30
892830d0ddbffff,grassland,0.918,30
892830d286bffff,grassland,1.0,30
892830d286fffff,grassland,1.0,30
892830d28a3ffff,grassland,0.685,30
