id,previous_rank,current_rank,previous_score,current_score,previous_pop,current_pop,previous_ac,current_ac,rank_change
450,1,1,100.0,100.0,184,184,93.8,93.8,0
147,2,2,96.8,96.8,977,977,93.5,93.5,0
446,3,3,96.6,96.6,273,273,93.8,93.8,0
492,4,4,95.8,95.8,315,315,93.8,93.8,0
189,5,5,94.2,94.2,213,213,84.9,84.9,0
214,6,6,94.0,94.0,206,206,84.68,84.68,0
322,7,7,91.4,91.4,240,240,93.8,93.8,0
493,8,8,89.3,89.3,118,118,93.8,93.8,0
291,9,9,87.6,87.6,434,434,92.9,92.9,0
464,10,10,87.5,87.5,915,915,93.5,93.5,0
184,11,11,84.7,84.7,464,464,84.42,84.42,0
530,12,12,84.4,84.4,247,247,84.1,84.1,0
529,13,13,84.2,84.2,456,456,84.1,84.1,0
114,14,14,83.9,83.9,378,378,84.12,84.12,0
490,15,15,83.7,83.7,583,583,93.5,93.5,0
377,16,16,83.3,83.3,665,665,80.9,80.9,0
494,17,17,82.5,82.5,404,404,93.5,93.5,0
143,18,18,82.2,82.2,573,573,93.5,93.5,0
512,19,19,81.8,81.8,466,466,84.1,84.1,0
466,20,20,81.2,81.2,538,538,93.5,93.5,0
402,21,21,80.7,80.7,368,368,89.5,89.5,0
354,22,22,80.6,80.6,490,490,80.9,80.9,0
439,23,23,80.6,80.6,198,198,92.7,92.7,0
98,24,24,80.6,80.6,40,40,93.8,93.8,0
397,25,25,80.3,80.3,243,243,83.9,83.9,0
517,26,26,78.7,78.7,170,170,83.9,83.9,0
296,27,27,78.3,78.3,437,437,92.9,92.9,0
100,28,28,77.6,77.6,35,35,93.8,93.8,0
58,29,29,77.5,77.5,201,201,99.3,99.3,0
489,30,30,77.4,77.4,29,29,93.8,93.8,0
519,31,31,76.5,76.5,225,225,83.9,83.9,0
387,32,32,76.4,76.4,283,283,92.7,92.7,0
396,33,33,76.2,76.2,372,372,84.9,84.9,0
99,34,34,75.8,75.8,15,15,93.8,93.8,0
355,35,35,75.6,75.6,359,359,83.9,83.9,0
26,36,36,75.5,75.5,19,19,99.3,99.3,0
395,37,37,75.3,75.3,369,369,84.9,84.9,0
67,38,38,75.3,75.3,271,271,98.3,98.3,0
518,39,39,74.3,74.3,175,175,83.96,83.96,0
445,40,40,74.1,74.1,397,397,92.7,92.7,0
50,41,41,74.0,74.0,764,764,98.3,98.3,0
57,42,42,73.9,73.9,238,238,99.3,99.3,0
399,43,43,73.7,73.7,221,221,84.9,84.9,0
