h3,lidar_pct,lidar_coverage
8928301000fffff,4.0301,1.0
8928301002bffff,30.4948,1.0
8928301003bffff,30.5477,1.0
89283010047ffff,1.0928,1.0
89283010063ffff,15.0707,1.0
89283010067ffff,32.7763,1.0
8928301006bffff,1.5252,1.0
8928301006fffff,13.1817,1.0
89283010073ffff,1.8653,1.0
89283010077ffff,13.7529,1.0
8928301007bffff,10.376,1.0
89283010103ffff,12.2907,1.0
89283010107ffff,10.7601,1.0
8928301010bffff,24.2881,1.0
8928301010fffff,16.8691,1.0
89283010117ffff,1.7091,1.0
8928301011bffff,11.893,1.0
89283010123ffff,34.0286,1.0
89283010127ffff,14.1229,1.0
8928301012bffff,17.0881,1.0
8928301012fffff,17.6749,1.0
89283010133ffff,14.6336,1.0
89283010137ffff,16.9615,1.0
8928301013bffff,10.8208,1.0
89283010147ffff,7.5509,1.0
89283010157ffff,5.6345,1.0
89283010163ffff,11.8075,1.0
89283010167ffff,8.2835,1.0
89283010173ffff,31.3383,1.0
89283010177ffff,15.6947,1.0
8928301017bffff,17.8956,1.0
892830101abffff,27.9048,1.0
892830101afffff,60.5201,1.0
89283010c03ffff,33.7493,1.0
89283010c0bffff,4.4746,1.0
89283010c13ffff,18.8382,1.0
89283010c17ffff,11.313,1.0
89283010c1bffff,20.583,1.0
89283010c37ffff,0.0,1.0
89283010c43ffff,0.7176,1.0
89283010c53ffff,4.7,1.0
89283010c57ffff,10.9603,1.0
89283010c5bffff,5.7142,1.0
89283010c83ffff,3.4523,1.0
89283010c87ffff,2.9113,1.0
89283010c8fffff,4.2383,1.0
89283010c93ffff,4.8725,1.0
89283010c97ffff,2.0313,1.0
89283010c9bffff,5.3467,1.0
89283010ca3ffff,3.5498,1.0
89283010ca7ffff,1.0283,1.0
89283010cabffff,19.0487,1.0
89283010cafffff,2.078,1.0
89283010cb3ffff,3.2239,1.0
89283010cb7ffff,3.8821,1.0
89283010cbbffff,1.1822,1.0
89283010cc3ffff,14.5353,1.0
89283010cc7ffff,7.8341,1.0
89283010ccbffff,12.0018,1.0
89283010ccfffff,9.6621,1.0
89283010cd3ffff,2.1128,1.0
89283010cdbffff,39.145,1.0
89283010d83ffff,0.0,0.8484
89283010d87ffff,0.0,0.0356
89283010d8bffff,0.0,1.0
89283010d93ffff,0.0,0.3669
89283010d9bffff,0.0,1.0
89283010dc3ffff,0.0,1.0
89283010dd3ffff,0.0,1.0
89283010dd7ffff,0.0,1.0
89283010ddbffff,0.0,1.0
89283010e93ffff,6.7404,1.0
89283010e97ffff,0.9492,1.0
89283012103ffff,24.7631,1.0
89283012107ffff,31.3122,1.0
8928301210bffff,5.0391,1.0
8928301210fffff,9.0021,1.0
89283012113ffff,16.6007,1.0
89283012117ffff,54.6857,1.0
8928301211bffff,2.7384,1.0
89283012123ffff,20.0106,1.0
89283012127ffff,25.7436,1.0
8928301212bffff,3.3318,1.0
8928301212fffff,8.1195,1.0
89283012133ffff,21.9488,1.0
89283012137ffff,26.8263,1.0
8928301213bffff,20.5067,1.0
89283012147ffff,4.1464,1.0
8928301214fffff,8.6395,1.0
89283012163ffff,3.7003,1.0
89283012167ffff,9.6487,1.0
8928301216bffff,13.0587,1.0
8928301216fffff,32.7874,1.0
89283012173ffff,21.2991,1.0
89283012177ffff,6.7965,1.0
8928301217bffff,25.135,1.0
89283012187ffff,31.7937,1.0
8928301218fffff,29.7771,1.0
892830121a3ffff,16.8909,1.0
892830121a7ffff,19.4374,1.0
892830121abffff,48.9047,1.0
892830121afffff,53.4019,1.0
892830121b3ffff,54.2424,1.0
892830121b7ffff,16.1226,1.0
892830121bbffff,29.0786,1.0
89283012303ffff,39.4749,1.0
89283012307ffff,21.3722,1.0
8928301230fffff,18.5729,1.0
89283012313ffff,20.7809,1.0
89283012317ffff,33.3697,1.0
89283012323ffff,12.3095,1.0
89283012327ffff,2.7338,1.0
89283012333ffff,11.3135,1.0
89283012337ffff,18.3906,1.0
8928301233bffff,20.7908,1.0
89283012377ffff,2.0744,1.0
89283012387ffff,31.106,1.0
8928301238bffff,8.1732,1.0
8928301238fffff,31.8095,1.0
892830123a3ffff,37.4234,1.0
892830123a7ffff,51.8783,1.0
892830123abffff,13.7993,1.0
892830123afffff,37.8082,1.0
892830123b3ffff,39.4035,1.0
892830123b7ffff,8.5874,1.0
892830123bbffff,79.1441,1.0
892830125a7ffff,3.7899,1.0
892830125b7ffff,16.6159,1.0
89283012803ffff,14.1191,1.0
89283012807ffff,14.0504,1.0
8928301280bffff,14.0687,1.0
8928301280fffff,18.3394,1.0
89283012813ffff,24.4031,1.0
89283012817ffff,14.571,1.0
8928301281bffff,11.9254,1.0
89283012823ffff,9.6449,1.0
89283012827ffff,7.5058,1.0
8928301282bffff,6.3942,1.0
8928301282fffff,8.8371,1.0
89283012833ffff,5.0024,1.0
89283012837ffff,7.1079,1.0
8928301283bffff,8.4358,1.0
89283012843ffff,7.6998,1.0
89283012847ffff,12.8126,1.0
8928301284bffff,5.2272,1.0
8928301284fffff,5.4588,1.0
89283012853ffff,6.2974,1.0
89283012857ffff,9.6403,1.0
8928301285bffff,8.0112,1.0
89283012863ffff,7.8585,1.0
89283012867ffff,10.8997,1.0
8928301286bffff,6.9115,1.0
8928301286fffff,11.5271,1.0
