h3,canopy_pct,row_canopy_pct,canopy_m2,row_m2,assessed_m2,coverage_frac,canopy_source,canopy_year,canopy_quality
8928301000fffff,0.3249707526322631,0.0,18.0,0.0,5538.96,0.05064614841751364,usfs-2022,2022,partial
8928301002bffff,38.36075949367089,39.01213897028045,2181.96,525.0,5688.0,0.052013548901109374,usfs-2022,2022,partial
8928301003bffff,33.906467147151034,41.30304841601913,37058.0,11313.0,178220.16,1.0,chm-legacy,2009-2020,full
89283010047ffff,0.0,0.0,0.0,0.0,6732.72,0.06155770225895896,usfs-2022,2022,partial
89283010063ffff,24.456426145665617,32.498850457262556,26028.72,9513.0,106428.96,0.9731737040535685,usfs-2022,2022,partial
89283010067ffff,28.034314450525073,36.43162393162393,3411.72,214.0,12169.8,0.11128475490000114,usfs-2022,2022,partial
8928301006bffff,21.859534589870485,0.0,1494.72,0.0,6837.84,0.06252372168394114,usfs-2022,2022,partial
8928301006fffff,29.225048143967065,42.12865497076023,7921.8,891.0,27106.2,0.24786557217173283,usfs-2022,2022,partial
89283010073ffff,0.4634904992146839,0.0,216.72,0.0,46758.24,0.427535009430165,usfs-2022,2022,partial
89283010077ffff,18.578686940939626,33.76748158428526,9069.84,2233.0,48818.52,0.44639551309639214,usfs-2022,2022,partial
8928301007bffff,14.396595914553101,0.0,11424.96,0.0,79358.76,0.7256108003962849,usfs-2022,2022,partial
89283010103ffff,12.326609574645877,4.626001022320668,8762.4,4030.0,71085.24,0.6501783143199072,usfs-2022,2022,partial
89283010107ffff,15.869059105173555,2.8498101908784688,17348.76,13082.0,109324.44,0.9999816180075711,usfs-2022,2022,full
8928301010bffff,28.16516027065738,0.8982967937030285,30794.04,8023.0,109333.8,1.0,usfs-2022,2022,full
8928301010fffff,30.40623528520766,21.090158551458863,33242.76,9084.0,109328.76,1.0,usfs-2022,2022,full
89283010117ffff,0.0,0.0,0.0,0.0,38932.2,0.3560956587214401,usfs-2022,2022,partial
8928301011bffff,3.893715731758752,0.0,830.88,0.0,21339.0,0.19516655847894945,usfs-2022,2022,partial
89283010123ffff,40.06118826423582,14.53999571091572,43792.92,12911.0,109315.08,0.9999851998014102,usfs-2022,2022,full
89283010127ffff,14.01076915476955,9.777212319010939,15315.48,23487.0,109312.2,1.0,usfs-2022,2022,full
8928301012bffff,26.875870631201447,18.522054172177814,29379.96,25503.0,109317.24,0.9999941720092391,usfs-2022,2022,full
8928301012fffff,16.993255259448564,12.329915927626475,18575.64,15054.0,109311.84,0.9999947757926777,usfs-2022,2022,full
89283010133ffff,23.071394266598215,13.140085720730882,25076.16,11089.0,108689.4,0.9942226648874947,usfs-2022,2022,full
89283010137ffff,20.620440960958984,14.116780612528487,22541.4,22250.0,109315.8,1.0,usfs-2022,2022,full
8928301013bffff,16.374575199557416,6.976033026260464,17901.0,8761.0,109321.92,0.999997770228138,usfs-2022,2022,full
89283010147ffff,5.492661501105801,0.0,2557.08,0.0,46554.48,0.4257995170758315,usfs-2022,2022,partial
89283010157ffff,4.299990831576052,2.0550877693734835,1350.72,2471.0,31412.16,0.2872926137214873,usfs-2022,2022,partial
89283010163ffff,28.770560481757123,16.81640956094253,23115.96,14132.0,80345.88,0.7349300947473246,usfs-2022,2022,partial
89283010167ffff,18.26545373766708,15.338923829489866,12136.32,13084.0,66444.12,0.6077999837454642,usfs-2022,2022,partial
89283010173ffff,41.408946023550484,23.894925625065934,45271.44,15582.0,109327.68,0.999989688797511,usfs-2022,2022,full
89283010177ffff,27.0500332589124,18.15033783783784,29572.2,20933.0,109324.08,1.0,usfs-2022,2022,full
8928301017bffff,34.548539360059166,39.28401710755583,17153.64,1380.0,49650.84,0.4541374463304952,usfs-2022,2022,partial
892830101abffff,14.21299715159827,3.93598615916955,3880.08,1599.0,27299.52,0.24970914953884002,usfs-2022,2022,partial
892830101afffff,68.8422256097561,17.30682331676457,32515.56,659.0,47232.0,0.43205346753537505,usfs-2022,2022,partial
89283010c03ffff,0.9314140558848433,0.0,3.96,126.0,425.16,0.0038900705977670644,usfs-2022,2022,partial
89283010c0bffff,35.690607734806626,0.0,4418.64,0.0,12380.4,0.11327525914260538,usfs-2022,2022,partial
89283010c13ffff,23.356256828845044,17.589076512886805,11774.16,3672.0,50411.16,0.46122702298835044,usfs-2022,2022,partial
89283010c17ffff,44.62487820721013,9.146810146041506,1483.92,426.0,3325.32,0.030425885752109135,usfs-2022,2022,partial
89283010c1bffff,30.240544976439654,5.192729435378954,30843.36,9182.0,101993.4,0.9331585158545724,usfs-2022,2022,partial
89283010c37ffff,0.0,0.0,0.0,0.0,178202.88,1.0,chm-legacy,2009-2020,full
89283010c43ffff,0.0,0.0,0.0,0.0,672.12,0.006149230710248906,usfs-2022,2022,partial
89283010c53ffff,5.771896958671202,0.9016044299304273,6144.84,10050.0,106461.36,0.9739775448988566,usfs-2022,2022,partial
89283010c57ffff,27.703230425444207,18.67844291789336,18387.72,8055.0,66373.92,0.6072620298582221,usfs-2022,2022,partial
89283010c5bffff,0.9434949424485525,0.0,584.28,0.0,61927.2,0.5665440592717225,usfs-2022,2022,partial
89283010c83ffff,6.584400610763143,0.0,3042.72,2803.0,46211.04,0.422786853103207,usfs-2022,2022,partial
89283010c87ffff,4.271126249224392,0.7432057681641708,4658.76,3221.0,109075.68,0.9979881704952975,usfs-2022,2022,full
89283010c8fffff,0.0,0.0,0.0,1701.0,7454.52,0.06820440757814494,usfs-2022,2022,partial
89283010c93ffff,4.689158029058184,0.0,3770.28,810.0,80404.2,0.7355927585345676,usfs-2022,2022,partial
89283010c97ffff,0.9884391159711472,0.0,1080.36,0.0,109299.6,0.9999977294122243,usfs-2022,2022,full
89283010c9bffff,0.0,0.0,0.0,0.0,859.32,0.007861563414651817,usfs-2022,2022,partial
89283010ca3ffff,0.2553989396094659,0.0,279.0,0.0,178168.32,1.0,chm-legacy,2009-2020,full
89283010ca7ffff,0.0,0.0,0.0,0.0,178151.04,1.0,chm-legacy,2009-2020,full
89283010cabffff,17.75981897527073,0.0,19397.0,0.0,178185.6,1.0,chm-legacy,2009-2020,full
89283010cafffff,0.0,0.0,0.0,0.0,178174.08,1.0,chm-legacy,2009-2020,full
