h3,canopy_pct,row_canopy_pct,row_m2,canopy_m2,assessed_m2,coverage_frac,flat_frac
8928301000fffff,3.334194882398553,3.792415169660679,5553.0,3644.0,178283.52,1.0,0.898
8928301002bffff,30.658349762451113,14.21188630490956,9562.0,33506.0,178220.16,1.0,0.3154
8928301003bffff,33.906467147151034,41.30304841601913,11313.0,37058.0,178220.16,1.0,0.3244
89283010047ffff,0.1809779271563843,0.0,0.0,198.0,178231.68,1.0,0.9503
89283010063ffff,13.904952670177364,15.71293076193487,15356.0,15198.0,178289.28,1.0,0.2917
89283010067ffff,32.91425616495911,23.18840579710145,305.0,35972.0,178220.16,1.0,0.4265
8928301006bffff,1.4311559087678491,0.0,0.0,1564.0,178295.04,1.0,0.9489
8928301006fffff,12.04200323101777,26.646706586826348,1411.0,13161.0,178272.0,1.0,0.635
89283010073ffff,0.8402003554693812,6.762295081967213,2621.0,918.0,178243.2,1.0,0.8456
89283010077ffff,15.328443568451322,35.71790969051243,7298.0,16753.0,178266.24,1.0,0.5152
8928301007bffff,10.507609292707357,0.0,0.0,11485.0,178266.24,1.0,0.5687
89283010103ffff,15.036524662227682,0.4232804232804233,5420.0,16430.0,178202.88,1.0,0.53
89283010107ffff,11.382586775256932,2.1941489361702127,16946.0,12437.0,178225.92,1.0,0.2558
8928301010bffff,23.15350551120018,0.3861003861003861,10403.0,25299.0,178197.12,1.0,0.3488
8928301010fffff,20.027789446473,11.678267594740912,13156.0,21883.0,178254.72,1.0,0.2061
89283010117ffff,1.1668875456573036,0.0,0.0,1275.0,178197.12,1.0,0.9791
8928301011bffff,19.259857789269557,0.0,0.0,21045.0,178214.4,1.0,0.5314
89283010123ffff,37.15578539107951,8.382526564344746,17879.0,40593.0,178214.4,1.0,0.1784
89283010127ffff,9.943751212258356,6.968876860622462,31680.0,10863.0,178179.84,1.0,0.1129
8928301012bffff,24.2152901244545,11.322314049586776,37083.0,26455.0,178185.6,1.0,0.0262
8928301012fffff,13.183830419749896,7.061562338334196,20696.0,14403.0,178254.72,1.0,0.2713
89283010133ffff,17.50921197233176,9.989630141721397,14999.0,19130.0,178202.88,1.0,0.3507
89283010137ffff,16.662895561948478,6.214500501169395,32337.0,18204.0,178197.12,1.0,0.1491
8928301013bffff,10.877295060770622,3.546430237984134,11906.0,11884.0,178191.36,1.0,0.3323
89283010147ffff,8.072908250654429,0.0,0.0,8821.0,178231.68,1.0,0.6705
89283010157ffff,4.175554262814297,5.049088359046284,3900.0,4563.0,178225.92,1.0,0.7595
89283010163ffff,11.042865455485874,10.817873007577736,19659.0,12065.0,178179.84,1.0,0.3421
89283010167ffff,7.019131334022751,4.450784593437946,19290.0,7669.0,178237.44,1.0,0.4604
89283010173ffff,37.076291724561344,17.943722943722946,21836.0,40510.0,178254.72,1.0,0.0997
89283010177ffff,18.294613719344728,7.8387264232566185,30678.0,19988.0,178266.24,1.0,0.0337
