h3,pop,pct65,income,ac_est,ac_src,occupied,ac_homes,ac_covered_homes,ac_coverage,acs_year
8928301000fffff,0.0,0.0,,65.02,income-model,0.0,0.0,0.0,,2024
8928301002bffff,14.0,41.04,90357.0,59.0,lace,7.110902941222314,4.195432735321165,7.110902941222314,1.0,2024
8928301003bffff,0.0,0.0,,65.02,income-model,0.0,0.0,0.0,,2024
89283010047ffff,0.0,0.0,,65.02,income-model,0.0,0.0,0.0,,2024
89283010063ffff,57.0,41.04,90357.0,59.0,lace,29.56677837180666,17.44439923936593,29.56677837180666,1.0,2024
89283010067ffff,7.0,41.04,90357.0,59.0,lace,3.392802032513989,2.001753199183254,3.392802032513989,1.0,2024
8928301006bffff,0.0,0.0,,65.02,income-model,0.0,0.0,0.0,,2024
8928301006fffff,0.0,0.0,,65.02,income-model,0.0,0.0,0.0,,2024
89283010073ffff,0.0,0.0,,65.02,income-model,0.0,0.0,0.0,,2024
89283010077ffff,13.0,41.04,90356.99999999999,59.0,lace,6.880677089016008,4.059599482519444,6.880677089016008,1.0,2024
8928301007bffff,0.0,0.0,,65.02,income-model,0.0,0.0,0.0,,2024
89283010103ffff,101.0,41.04,90357.0,59.0,lace,52.35354520940817,30.888591673550817,52.35354520940817,1.0,2024
89283010107ffff,270.0,41.04,90357.0,59.0,lace,139.8011534205153,82.48268051810402,139.8011534205153,1.0,2024
8928301010bffff,149.0,41.04,90357.0,59.0,lace,77.24589990180338,45.575080942064,77.24589990180338,1.0,2024
8928301010fffff,102.0,41.04,90357.0,59.0,lace,52.87271848746045,31.194903907601667,52.87271848746045,1.0,2024
89283010117ffff,0.0,0.0,,65.02,income-model,0.0,0.0,0.0,,2024
8928301011bffff,0.0,0.0,,65.02,income-model,0.0,0.0,0.0,,2024
89283010123ffff,123.0,22.74,156447.0,59.0,lace,55.642236303482306,32.82891941905456,55.642236303482306,1.0,2024
89283010127ffff,572.0,26.8,82568.0,59.0,lace,256.59900570517766,151.3934133660548,256.59900570517766,1.0,2024
8928301012bffff,341.0,22.74,156447.0,59.0,lace,154.36059953056534,91.07275372303354,154.36059953056534,1.0,2024
8928301012fffff,431.0,24.94,116372.4172423268,59.0,lace,194.19829925334,114.57699655947059,194.19829925334,1.0,2024
89283010133ffff,151.0,41.04,90357.0,59.0,lace,78.02605795158752,46.03537419143664,78.02605795158752,1.0,2024
