h3,city,city_kind,city_geoid
8928301000fffff,Port Costa,cdp,0658226
8928301002bffff,Port Costa,cdp,0658226
8928301003bffff,Port Costa,cdp,0658226
89283010047ffff,Port Costa,cdp,0658226
89283010063ffff,Port Costa,cdp,0658226
89283010067ffff,Port Costa,cdp,0658226
8928301006bffff,Port Costa,cdp,0658226
8928301006fffff,Port Costa,cdp,0658226
89283010073ffff,Port Costa,cdp,0658226
89283010077ffff,Port Costa,cdp,0658226
8928301007bffff,Port Costa,cdp,0658226
89283010103ffff,Crockett,cdp,0617274
89283010107ffff,Crockett,cdp,0617274
8928301010bffff,Crockett,cdp,0617274
8928301010fffff,Crockett,cdp,0617274
89283010117ffff,Crockett,cdp,0617274
8928301011bffff,Crockett,cdp,0617274
89283010123ffff,Crockett,cdp,0617274
89283010127ffff,Crockett,cdp,0617274
8928301012bffff,Crockett,cdp,0617274
8928301012fffff,Crockett,cdp,0617274
89283010133ffff,Crockett,cdp,0617274
89283010137ffff,Crockett,cdp,0617274
8928301013bffff,Crockett,cdp,0617274
89283010147ffff,Crockett,cdp,0617274
89283010157ffff,Crockett,cdp,0617274
89283010163ffff,Crockett,cdp,0617274
89283010167ffff,Crockett,cdp,0617274
89283010173ffff,Crockett,cdp,0617274
89283010177ffff,Crockett,cdp,0617274
8928301017bffff,Crockett,cdp,0617274
892830101abffff,Crockett,cdp,0617274
892830101afffff,Crockett,cdp,0617274
89283010c03ffff,Crockett,cdp,0617274
89283010c0bffff,Crockett,cdp,0617274
89283010c13ffff,Crockett,cdp,0617274
89283010c17ffff,Crockett,cdp,0617274
89283010c1bffff,Crockett,cdp,0617274
89283010c37ffff,Rodeo,cdp,0662490
89283010c43ffff,Crockett,cdp,0617274
89283010c53ffff,Crockett,cdp,0617274
89283010c57ffff,Crockett,cdp,0617274
89283010c5bffff,Crockett,cdp,0617274
89283010c83ffff,Rodeo,cdp,0662490
89283010c87ffff,Rodeo,cdp,0662490
89283010c8fffff,Rodeo,cdp,0662490
89283010c93ffff,Rodeo,cdp,0662490
89283010c97ffff,Rodeo,cdp,0662490
89283010c9bffff,Rodeo,cdp,0662490
89283010ca3ffff,Rodeo,cdp,0662490
89283010ca7ffff,Rodeo,cdp,0662490
89283010cabffff,Rodeo,cdp,0662490
89283010cafffff,Rodeo,cdp,0662490
