h3,name,holc,access_min,access_km,street_m,access_src,access_snap_m,access_quality,inside_frac
8928301000fffff,Crockett SE 10,,60.9,4.87,0.0,routed,138.0,approach-review,0.051
8928301002bffff,Crockett E 6,,46.1,3.69,214.0,routed,85.0,network-estimate,0.125
8928301003bffff,Crockett SE 9,,52.4,4.19,227.0,routed,187.0,approach-review,0.302
89283010047ffff,Hampton Bay S 7,,68.0,5.44,0.0,routed,151.0,approach-review,0.062
89283010063ffff,Hampton Bay S 3,,50.5,4.04,1030.0,routed,32.0,network-estimate,0.973
89283010067ffff,Hampton Bay S 2,,45.5,3.64,20.0,routed,161.0,approach-review,0.111
8928301006bffff,Hampton Bay S,,53.6,4.29,0.0,routed,243.0,approach-review,0.063
8928301006fffff,Hampton Bay,,48.3,3.86,95.0,routed,151.0,approach-review,0.248
89283010073ffff,Hampton Bay S 6,,55.3,4.42,0.0,routed,301.0,approach-review,0.428
89283010077ffff,Hampton Bay S 5,,50.4,4.03,426.0,routed,155.0,approach-review,0.66
8928301007bffff,Hampton Bay S 4,,54.8,4.39,0.0,routed,338.0,approach-review,0.726
89283010103ffff,Crockett SE 5,,16.0,1.28,307.0,routed,307.0,approach-review,0.65
89283010107ffff,Crockett SE 2,,11.2,0.9,970.0,routed,29.0,network-estimate,1.0
8928301010bffff,Crockett SE 6,,15.7,1.26,588.0,routed,198.0,approach-review,1.0
8928301010fffff,Crockett SE 3,,10.1,0.81,851.0,routed,104.0,approach-review,1.0
89283010117ffff,Crockett SE 4,,15.6,1.25,0.0,routed,382.0,approach-review,0.356
8928301011bffff,Crockett SE 7,,23.3,1.86,0.0,routed,256.0,approach-review,0.195
89283010123ffff,Alexander Park,,0.6,0.05,1097.0,routed,25.0,network-estimate,1.0
89283010127ffff,Valona NE,,4.8,0.38,2012.0,routed,57.0,network-estimate,1.0
8928301012bffff,Crockett NE,,6.2,0.5,2563.0,routed,56.0,network-estimate,1.0
8928301012fffff,Crockett,,0.9,0.07,1281.0,routed,53.0,network-estimate,1.0
89283010133ffff,Crockett S,,5.1,0.4,894.0,routed,186.0,approach-review,0.994
89283010137ffff,Valona,,7.1,0.57,2121.0,routed,53.0,network-estimate,1.0
8928301013bffff,Crockett SE,,5.6,0.45,721.0,routed,66.0,network-estimate,1.0
89283010147ffff,Crockett E 5,,15.9,1.27,0.0,routed,301.0,approach-review,0.426
89283010157ffff,Crockett SE 8,,24.2,1.94,181.0,routed,215.0,approach-review,0.287
89283010163ffff,Crockett E 3,,12.8,1.02,1282.0,routed,152.0,approach-review,0.735
89283010167ffff,Crockett NE 3,,8.9,0.71,1240.0,routed,62.0,network-estimate,0.608
89283010173ffff,Crockett E 2,,11.1,0.89,1519.0,routed,119.0,approach-review,1.0
89283010177ffff,Crockett E,,6.4,0.51,1863.0,routed,65.0,network-estimate,1.0
8928301017bffff,Crockett E 4,,14.8,1.18,162.0,routed,310.0,approach-review,0.454
892830101abffff,Crockett S 2,,11.0,0.88,103.0,routed,217.0,approach-review,0.25
892830101afffff,Valona S,,9.0,0.72,46.0,routed,235.0,approach-review,0.432
89283010c03ffff,Valona W 6,,19.1,1.53,7.0,routed,240.0,approach-review,0.004
89283010c0bffff,Valona NW 3,,16.7,1.33,0.0,routed,364.0,approach-review,0.113
89283010c13ffff,Valona W 5,,21.6,1.73,264.0,routed,190.0,approach-review,0.461
89283010c17ffff,Valona W 8,,26.2,2.1,22.0,routed,128.0,approach-review,0.03
89283010c1bffff,Valona W 4,,17.9,1.43,650.0,routed,184.0,approach-review,0.933
89283010c37ffff,Carquinez Highlands Mobile Home Park,,36.0,2.88,0.0,routed,774.0,approach-review,0.006
89283010c43ffff,Valona N 2,,11.7,0.94,0.0,routed,270.0,approach-review,0.006
89283010c53ffff,Valona NW,,8.2,0.65,735.0,routed,114.0,approach-review,0.974
89283010c57ffff,Valona NW 2,,12.2,0.98,734.0,routed,81.0,network-estimate,0.607
89283010c5bffff,Valona N,,4.6,0.37,0.0,routed,208.0,approach-review,0.567
89283010c83ffff,Valona W 9,,36.9,2.95,327.0,routed,414.0,approach-review,0.423
89283010c87ffff,Bayo Vista NE 14,,34.9,2.79,218.0,routed,255.0,approach-review,0.998
89283010c8fffff,Valona W 7,,31.6,2.53,187.0,routed,302.0,approach-review,0.068
89283010c93ffff,Valona SW 8,,42.1,3.37,0.0,routed,413.0,approach-review,0.923
89283010c97ffff,Bayo Vista NE 11,,38.9,3.11,0.0,routed,388.0,approach-review,1.0
89283010c9bffff,Valona SW 5,,45.9,3.67,0.0,routed,416.0,approach-review,0.063
89283010ca3ffff,Bayo Vista NE 16,,35.0,2.8,0.0,routed,231.0,approach-review,0.435
89283010ca7ffff,Bayo Vista NE 15,,45.0,3.6,0.0,routed,292.0,approach-review,1.0
