h3,lst_c,green_pct
8928301000fffff,39.23,15.08
8928301002bffff,37.47,25.65
8928301003bffff,34.73,34.26
89283010047ffff,40.87,12.04
89283010063ffff,37.87,23.8
89283010067ffff,39.63,20.22
8928301006bffff,24.52,0.0
8928301006fffff,31.2,0.0
89283010073ffff,39.95,15.08
89283010077ffff,37.79,21.94
8928301007bffff,34.92,17.24
89283010103ffff,41.15,20.03
89283010107ffff,40.62,18.54
8928301010bffff,37.32,26.75
8928301010fffff,36.66,28.7
89283010117ffff,41.24,13.73
8928301011bffff,39.37,26.14
89283010123ffff,38.18,31.63
89283010127ffff,40.25,12.4
8928301012bffff,38.35,23.9
8928301012fffff,40.34,12.44
89283010133ffff,38.2,22.11
89283010137ffff,40.58,22.21
8928301013bffff,37.15,24.36
89283010147ffff,37.39,21.35
89283010157ffff,42.51,16.01
89283010163ffff,33.28,11.66
89283010167ffff,32.62,0.0
89283010173ffff,36.59,32.56
89283010177ffff,39.21,24.07
8928301017bffff,33.16,25.57
892830101abffff,36.16,29.86
892830101afffff,34.73,45.0
89283010c03ffff,34.05,44.24
89283010c0bffff,26.25,0.0
89283010c13ffff,39.28,28.8
89283010c17ffff,39.5,21.1
89283010c1bffff,38.79,27.02
89283010c37ffff,21.95,0.0
89283010c43ffff,24.57,0.0
89283010c53ffff,36.41,10.88
89283010c57ffff,31.76,4.49
89283010c5bffff,32.02,0.0
89283010c83ffff,42.22,11.92
89283010c87ffff,41.09,12.65
89283010c8fffff,40.91,13.71
89283010c93ffff,41.27,12.51
89283010c97ffff,41.57,5.45
89283010c9bffff,42.86,11.15
89283010ca3ffff,41.8,7.06
89283010ca7ffff,27.27,0.0
89283010cabffff,38.16,23.85
89283010cafffff,29.91,0.0
89283010cb3ffff,40.59,11.15
89283010cb7ffff,41.74,5.66
89283010cbbffff,39.59,11.54
89283010cc3ffff,39.67,21.76
89283010cc7ffff,42.65,17.25
89283010ccbffff,40.81,15.89
89283010ccfffff,41.91,19.4
89283010cd3ffff,41.19,16.63
89283010cdbffff,36.6,38.76
89283010d83ffff,21.16,0.0
89283010d87ffff,21.08,0.0
89283010d8bffff,21.1,0.0
89283010d93ffff,21.27,0.0
