h3,land,land_frac,wc_code
8928301000fffff,grassland,0.971,30
8928301002bffff,woodland,0.583,10
8928301003bffff,woodland,0.599,10
89283010047ffff,grassland,0.993,30
89283010063ffff,woodland,0.426,10
89283010067ffff,grassland,0.508,30
8928301006bffff,open water,0.92,80
8928301006fffff,open water,0.491,80
89283010073ffff,grassland,0.96,30
89283010077ffff,grassland,0.652,30
8928301007bffff,grassland,0.517,30
89283010103ffff,grassland,0.597,30
89283010107ffff,developed,0.493,50
8928301010bffff,grassland,0.398,30
8928301010fffff,woodland,0.531,10
89283010117ffff,grassland,0.998,30
8928301011bffff,grassland,0.651,30
89283010123ffff,woodland,0.532,10
89283010127ffff,developed,0.835,50
8928301012bffff,developed,0.639,50
8928301012fffff,developed,0.797,50
89283010133ffff,grassland,0.387,30
89283010137ffff,developed,0.709,50
8928301013bffff,woodland,0.383,10
89283010147ffff,grassland,0.892,30
89283010157ffff,grassland,0.767,30
89283010163ffff,woodland,0.392,10
89283010167ffff,open water,0.423,80
89283010173ffff,woodland,0.628,10
89283010177ffff,developed,0.575,50
8928301017bffff,woodland,0.503,10
892830101abffff,woodland,0.443,10
892830101afffff,woodland,0.905,10
89283010c03ffff,woodland,0.798,10
89283010c0bffff,open water,0.702,80
89283010c13ffff,grassland,0.522,30
89283010c17ffff,grassland,0.626,30
89283010c1bffff,woodland,0.579,10
89283010c37ffff,open water,1.0,80
89283010c43ffff,open water,0.89,80
89283010c53ffff,developed,0.735,50
89283010c57ffff,open water,0.433,80
89283010c5bffff,developed,0.627,50
89283010c83ffff,grassland,0.938,30
89283010c87ffff,grassland,0.859,30
89283010c8fffff,grassland,0.819,30
89283010c93ffff,grassland,0.563,30
89283010c97ffff,developed,0.528,50
89283010c9bffff,grassland,0.661,30
89283010ca3ffff,bare ground,0.491,60
89283010ca7ffff,open water,0.839,80
89283010cabffff,woodland,0.434,10
89283010cafffff,open water,0.648,80
89283010cb3ffff,grassland,0.587,30
89283010cb7ffff,bare ground,0.518,60
89283010cbbffff,grassland,0.988,30
89283010cc3ffff,woodland,0.418,10
89283010cc7ffff,grassland,0.539,30
89283010ccbffff,developed,0.775,50
89283010ccfffff,developed,0.512,50
89283010cd3ffff,grassland,0.93,30
89283010cdbffff,woodland,0.747,10
89283010d83ffff,open water,1.0,80
89283010d87ffff,open water,1.0,80
89283010d8bffff,open water,1.0,80
89283010d93ffff,open water,1.0,80
89283010d97ffff,open water,1.0,80
89283010d9bffff,open water,0.846,80
89283010db7ffff,open water,1.0,80
89283010dc3ffff,open water,1.0,80
89283010dd3ffff,open water,1.0,80
89283010dd7ffff,open water,0.963,80
89283010ddbffff,open water,1.0,80
89283010e93ffff,open water,0.537,80
89283010e97ffff,open water,0.934,80
89283012103ffff,woodland,0.485,10
89283012107ffff,woodland,0.586,10
8928301210bffff,developed,0.787,50
8928301210fffff,developed,0.722,50
89283012113ffff,grassland,0.76,30
89283012117ffff,woodland,0.733,10
8928301211bffff,grassland,0.962,30
89283012123ffff,woodland,0.368,10
89283012127ffff,woodland,0.455,10
8928301212bffff,grassland,0.606,30
8928301212fffff,developed,0.67,50
89283012133ffff,woodland,0.489,10
89283012137ffff,grassland,0.554,30
8928301213bffff,developed,0.482,50
89283012147ffff,grassland,0.883,30
8928301214fffff,grassland,0.903,30
89283012163ffff,grassland,0.967,30
89283012167ffff,grassland,0.809,30
8928301216bffff,grassland,0.847,30
8928301216fffff,grassland,0.577,30
89283012173ffff,grassland,0.459,30
89283012177ffff,grassland,0.92,30
8928301217bffff,grassland,0.702,30
89283012187ffff,woodland,0.504,10
8928301218fffff,woodland,0.508,10
892830121a3ffff,grassland,0.777,30
892830121a7ffff,grassland,0.662,30
892830121abffff,woodland,0.625,10
892830121afffff,woodland,0.622,10
892830121b3ffff,woodland,0.797,10
892830121b7ffff,grassland,0.423,30
892830121bbffff,grassland,0.612,30
89283012303ffff,woodland,0.564,10
89283012307ffff,grassland,0.647,30
8928301230fffff,grassland,0.599,30
89283012313ffff,grassland,0.739,30
89283012317ffff,woodland,0.689,10
89283012323ffff,grassland,0.608,30
89283012327ffff,grassland,0.706,30
89283012333ffff,grassland,0.82,30
89283012337ffff,grassland,0.575,30
8928301233bffff,grassland,0.478,30
89283012377ffff,grassland,0.698,30
89283012387ffff,grassland,0.617,30
8928301238bffff,grassland,0.894,30
8928301238fffff,grassland,0.594,30
892830123a3ffff,grassland,0.543,30
892830123a7ffff,woodland,0.624,10
892830123abffff,grassland,0.622,30
892830123afffff,woodland,0.568,10
892830123b3ffff,grassland,0.503,30
892830123b7ffff,grassland,0.885,30
892830123bbffff,woodland,0.964,10
892830125a7ffff,grassland,0.62,30
892830125b7ffff,developed,0.464,50
89283012803ffff,developed,0.6,50
89283012807ffff,developed,0.536,50
8928301280bffff,developed,0.665,50
8928301280fffff,developed,0.541,50
89283012813ffff,developed,0.571,50
89283012817ffff,developed,0.429,50
8928301281bffff,developed,0.684,50
89283012823ffff,developed,0.737,50
89283012827ffff,developed,0.816,50
8928301282bffff,developed,0.785,50
8928301282fffff,developed,0.655,50
89283012833ffff,developed,0.948,50
89283012837ffff,developed,0.838,50
8928301283bffff,developed,0.558,50
89283012843ffff,developed,0.556,50
89283012847ffff,developed,0.619,50
8928301284bffff,developed,0.655,50
8928301284fffff,developed,0.814,50
89283012853ffff,developed,0.498,50
89283012857ffff,developed,0.691,50
8928301285bffff,grassland,0.819,30
89283012863ffff,developed,0.595,50
89283012867ffff,developed,0.696,50
8928301286bffff,grassland,0.546,30
8928301286fffff,developed,0.428,50
89283012873ffff,developed,0.819,50
89283012877ffff,developed,0.731,50
8928301287bffff,developed,0.713,50
89283012883ffff,developed,0.598,50
89283012887ffff,developed,0.587,50
8928301288bffff,developed,0.593,50
8928301288fffff,developed,0.598,50
89283012893ffff,developed,0.778,50
89283012897ffff,developed,0.604,50
8928301289bffff,developed,0.517,50
892830128a3ffff,grassland,0.788,30
892830128a7ffff,developed,0.719,50
892830128abffff,developed,0.54,50
892830128afffff,developed,0.497,50
892830128b3ffff,developed,0.519,50
892830128b7ffff,developed,0.528,50
892830128bbffff,grassland,0.581,30
892830128c3ffff,developed,0.567,50
892830128c7ffff,developed,0.686,50
892830128cbffff,grassland,0.749,30
892830128cfffff,developed,0.704,50
892830128d3ffff,grassland,0.708,30
892830128d7ffff,grassland,0.424,30
89283012903ffff,open water,1.0,80
89283012907ffff,open water,1.0,80
8928301290bffff,open water,1.0,80
8928301290fffff,open water,1.0,80
89283012913ffff,open water,1.0,80
89283012917ffff,open water,1.0,80
8928301291bffff,open water,1.0,80
89283012923ffff,open water,1.0,80
89283012927ffff,open water,1.0,80
8928301292bffff,open water,1.0,80
8928301292fffff,open water,1.0,80
89283012933ffff,open water,1.0,80
89283012937ffff,open water,1.0,80
8928301293bffff,open water,1.0,80
89283012943ffff,open water,0.476,80
89283012947ffff,open water,1.0,80
8928301294bffff,developed,0.822,50
8928301294fffff,open water,0.691,80
89283012953ffff,developed,0.612,50
89283012957ffff,open water,1.0,80
8928301295bffff,developed,0.815,50
89283012963ffff,open water,1.0,80
89283012967ffff,open water,1.0,80
8928301296bffff,open water,1.0,80
8928301296fffff,open water,1.0,80
89283012973ffff,open water,1.0,80
89283012977ffff,open water,1.0,80
8928301297bffff,open water,1.0,80
89283012983ffff,open water,0.532,80
89283012987ffff,open water,1.0,80
8928301298bffff,open water,1.0,80
8928301298fffff,open water,1.0,80
89283012993ffff,grassland,0.478,30
89283012997ffff,open water,0.985,80
8928301299bffff,developed,0.335,50
892830129a3ffff,open water,1.0,80
892830129a7ffff,open water,1.0,80
892830129abffff,open water,1.0,80
892830129afffff,open water,1.0,80
892830129b3ffff,open water,1.0,80
892830129b7ffff,open water,1.0,80
892830129bbffff,open water,1.0,80
892830129c3ffff,grassland,0.369,30
892830129c7ffff,open water,0.885,80
892830129cbffff,developed,0.415,50
892830129cfffff,open water,0.434,80
892830129d3ffff,developed,0.673,50
892830129d7ffff,grassland,0.606,30
892830129dbffff,developed,0.709,50
89283012a03ffff,grassland,0.906,30
89283012a07ffff,grassland,0.737,30
89283012a0bffff,grassland,0.944,30
89283012a0fffff,grassland,0.473,30
89283012a13ffff,grassland,0.883,30
89283012a17ffff,grassland,0.856,30
89283012a1bffff,grassland,0.998,30
89283012a23ffff,grassland,0.469,30
89283012a27ffff,developed,0.763,50
89283012a2bffff,grassland,0.904,30
89283012a2fffff,grassland,0.42,30
89283012a33ffff,grassland,0.847,30
89283012a37ffff,grassland,0.447,30
89283012a3bffff,developed,0.579,50
89283012a63ffff,grassland,0.894,30
89283012a67ffff,grassland,0.858,30
89283012a6fffff,grassland,0.918,30
89283012a73ffff,grassland,0.914,30
89283012a77ffff,grassland,0.812,30
89283012a83ffff,grassland,0.941,30
89283012a87ffff,grassland,0.76,30
89283012a8bffff,grassland,0.827,30
89283012a8fffff,grassland,1.0,30
89283012a93ffff,grassland,0.6,30
89283012a97ffff,grassland,0.675,30
89283012a9bffff,grassland,1.0,30
89283012aa3ffff,grassland,0.765,30
89283012aa7ffff,grassland,0.758,30
89283012aabffff,grassland,0.729,30
89283012aafffff,grassland,0.585,30
89283012ab3ffff,grassland,0.841,30
89283012ab7ffff,grassland,0.91,30
89283012abbffff,grassland,0.835,30
89283012ac7ffff,grassland,0.982,30
89283012ad7ffff,grassland,0.963,30
89283012b03ffff,developed,0.535,50
89283012b07ffff,open water,1.0,80
89283012b0bffff,developed,0.898,50
89283012b0fffff,developed,0.506,50
89283012b13ffff,developed,0.536,50
89283012b17ffff,open water,0.684,80
89283012b1bffff,developed,0.834,50
89283012b23ffff,open water,1.0,80
89283012b2bffff,open water,1.0,80
89283012b2fffff,open water,1.0,80
89283012b33ffff,open water,1.0,80
89283012b3bffff,open water,1.0,80
89283012b43ffff,developed,0.804,50
89283012b47ffff,developed,0.958,50
89283012b4bffff,developed,0.602,50
89283012b4fffff,developed,0.452,50
89283012b53ffff,developed,0.869,50
